pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Alakazam,71,move,1,Expanding Force,93.4%,,,,,,,,
Alakazam,71,move,2,Protect,85.7%,,,,,,,,
Alakazam,71,move,3,Focus Blast,51.9%,,,,,,,,
Alakazam,71,move,4,Dazzling Gleam,44.8%,,,,,,,,
Alakazam,71,move,5,Shadow Ball,36.0%,,,,,,,,
Alakazam,71,move,6,Speed Swap,13.1%,,,,,,,,
Alakazam,71,move,7,Encore,12.7%,,,,,,,,
Alakazam,71,move,8,Nasty Plot,12.4%,,,,,,,,
Alakazam,71,move,9,Psychic,11.3%,,,,,,,,
Alakazam,71,move,10,Energy Ball,8.0%,,,,,,,,
Alakazam,71,held_item,1,Alakazite,84.0%,,,,,,,,
Alakazam,71,held_item,2,Focus Sash,6.4%,,,,,,,,
Alakazam,71,held_item,3,Life Orb,5.6%,,,,,,,,
Alakazam,71,held_item,4,Choice Scarf,1.1%,,,,,,,,
Alakazam,71,held_item,5,Colbur Berry,0.6%,,,,,,,,
Alakazam,71,held_item,6,Quick Claw,0.3%,,,,,,,,
Alakazam,71,held_item,7,Wide Lens,0.3%,,,,,,,,
Alakazam,71,held_item,8,Twisted Spoon,0.2%,,,,,,,,
Alakazam,71,held_item,9,Light Clay,0.2%,,,,,,,,
Alakazam,71,held_item,10,Air Balloon,0.2%,,,,,,,,
Alakazam,71,teammate,1,Indeedee-F,,,,,,,,,
Alakazam,71,teammate,2,Sneasler,,,,,,,,,
Alakazam,71,teammate,3,Torkoal,,,,,,,,,
Alakazam,71,teammate,4,Indeedee,,,,,,,,,
Alakazam,71,teammate,5,Incineroar,,,,,,,,,
Alakazam,71,teammate,6,Armarouge,,,,,,,,,
Alakazam,71,teammate,7,Kingambit,,,,,,,,,
Alakazam,71,teammate,8,Basculegion,,,,,,,,,
Alakazam,71,teammate,9,Golisopod,,,,,,,,,
Alakazam,71,teammate,10,Garchomp,,,,,,,,,
Alakazam,71,stat_alignment,1,Timid,58.6%,Speed,Attack,,,,,,
Alakazam,71,stat_alignment,2,Modest,39.8%,Sp. Atk,Attack,,,,,,
Alakazam,71,stat_alignment,3,Hasty,0.7%,Speed,Defense,,,,,,
Alakazam,71,stat_alignment,4,Mild,0.4%,Sp. Atk,Defense,,,,,,
Alakazam,71,stat_alignment,5,Bold,0.3%,Defense,Attack,,,,,,
Alakazam,71,stat_alignment,6,Quiet,0.1%,Sp. Atk,Speed,,,,,,
Alakazam,71,stat_alignment,7,Bashful,0.1%,,,,,,,,
Alakazam,71,stat_alignment,8,Naive,0.0%,Speed,Sp. Def,,,,,,
Alakazam,71,stat_alignment,9,Calm,0.0%,Sp. Def,Attack,,,,,,
Alakazam,71,stat_alignment,10,Adamant,0.0%,Attack,Sp. Atk,,,,,,
Alakazam,71,stat_points,1,,54.1%,,,2,0,0,32,0,32
Alakazam,71,stat_points,2,,10.0%,,,0,0,2,32,0,32
Alakazam,71,stat_points,3,,9.2%,,,0,0,0,32,2,32
Alakazam,71,stat_points,4,,4.4%,,,1,0,1,32,0,32
Alakazam,71,stat_points,5,,2.9%,,,1,0,0,32,1,32
Alakazam,71,stat_points,6,,2.5%,,,0,0,0,32,0,32
Alakazam,71,stat_points,7,,1.0%,,,3,0,0,32,0,31
Alakazam,71,stat_points,8,,0.9%,,,0,0,0,32,3,31
Alakazam,71,stat_points,9,,0.8%,,,16,0,0,24,0,26
Alakazam,71,stat_points,10,,0.7%,,,17,0,0,32,0,17
Alakazam,71,ability,1,Inner Focus,59.8%,,,,,,,,
Alakazam,71,ability,2,Magic Guard,33.4%,,,,,,,,
Alakazam,71,ability,3,Synchronize,6.7%,,,,,,,,
