pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Aromatisse,171,move,1,Trick Room,97.6%,,,,,,,,
Aromatisse,171,move,2,Moonblast,71.7%,,,,,,,,
Aromatisse,171,move,3,Dazzling Gleam,38.9%,,,,,,,,
Aromatisse,171,move,4,Encore,38.2%,,,,,,,,
Aromatisse,171,move,5,Heal Pulse,35.3%,,,,,,,,
Aromatisse,171,move,6,Protect,25.6%,,,,,,,,
Aromatisse,171,move,7,Sunny Day,15.7%,,,,,,,,
Aromatisse,171,move,8,Rain Dance,9.6%,,,,,,,,
Aromatisse,171,move,9,Fake Tears,8.9%,,,,,,,,
Aromatisse,171,move,10,Light Screen,6.9%,,,,,,,,
Aromatisse,171,held_item,1,Babiri Berry,42.8%,,,,,,,,
Aromatisse,171,held_item,2,Sitrus Berry,25.1%,,,,,,,,
Aromatisse,171,held_item,3,Fairy Feather,16.5%,,,,,,,,
Aromatisse,171,held_item,4,Focus Sash,4.6%,,,,,,,,
Aromatisse,171,held_item,5,Leftovers,3.3%,,,,,,,,
Aromatisse,171,held_item,6,Grassy Seed,3.0%,,,,,,,,
Aromatisse,171,held_item,7,Light Clay,1.9%,,,,,,,,
Aromatisse,171,held_item,8,Unknown Item 542,1.4%,,,,,,,,
Aromatisse,171,held_item,9,Lum Berry,0.4%,,,,,,,,
Aromatisse,171,held_item,10,Poison Barb,0.4%,,,,,,,,
Aromatisse,171,teammate,1,Farigiraf,,,,,,,,,
Aromatisse,171,teammate,2,Sinistcha,,,,,,,,,
Aromatisse,171,teammate,3,Raichu,,,,,,,,,
Aromatisse,171,teammate,4,Torkoal,,,,,,,,,
Aromatisse,171,teammate,5,Toxtricity,,,,,,,,,
Aromatisse,171,teammate,6,Lopunny,,,,,,,,,
Aromatisse,171,teammate,7,Snorlax,,,,,,,,,
Aromatisse,171,teammate,8,Golisopod,,,,,,,,,
Aromatisse,171,teammate,9,Primarina,,,,,,,,,
Aromatisse,171,teammate,10,Camerupt,,,,,,,,,
Aromatisse,171,stat_alignment,1,Quiet,47.8%,Sp. Atk,Speed,,,,,,
Aromatisse,171,stat_alignment,2,Relaxed,20.8%,Defense,Speed,,,,,,
Aromatisse,171,stat_alignment,3,Sassy,7.2%,Sp. Def,Speed,,,,,,
Aromatisse,171,stat_alignment,4,Bold,2.6%,Defense,Attack,,,,,,
Aromatisse,171,stat_alignment,5,Calm,0.9%,Sp. Def,Attack,,,,,,
Aromatisse,171,stat_alignment,6,Modest,0.7%,Sp. Atk,Attack,,,,,,
Aromatisse,171,stat_points,1,,17.8%,,,32,0,0,32,2,0
Aromatisse,171,stat_points,2,,16.1%,,,32,0,23,0,11,0
Aromatisse,171,stat_points,3,,10.3%,,,32,0,2,32,0,0
Aromatisse,171,stat_points,4,,10.2%,,,32,0,18,0,16,0
Aromatisse,171,stat_points,5,,8.6%,,,30,0,0,31,5,0
Aromatisse,171,stat_points,6,,8.2%,,,32,0,32,0,2,0
Aromatisse,171,stat_points,7,,3.6%,,,32,0,0,31,3,0
Aromatisse,171,stat_points,8,,3.4%,,,32,0,20,0,14,0
Aromatisse,171,stat_points,9,,2.9%,,,16,0,28,1,21,0
Aromatisse,171,stat_points,10,,2.4%,,,30,0,0,32,4,0
Aromatisse,171,ability,1,Aroma Veil,99.4%,,,,,,,,
Aromatisse,171,ability,2,Healer,0.6%,,,,,,,,
