pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Audino,112,move,1,Trick Room,83.5%,,,,,,,,
Audino,112,move,2,Simple Beam,73.9%,,,,,,,,
Audino,112,move,3,Heal Pulse,67.0%,,,,,,,,
Audino,112,move,4,Protect,56.7%,,,,,,,,
Audino,112,move,5,Life Dew,25.8%,,,,,,,,
Audino,112,move,6,Dazzling Gleam,9.8%,,,,,,,,
Audino,112,move,7,Calm Mind,8.0%,,,,,,,,
Audino,112,move,8,Yawn,6.1%,,,,,,,,
Audino,112,move,9,Encore,4.7%,,,,,,,,
Audino,112,move,10,Ally Switch,4.7%,,,,,,,,
Audino,112,held_item,1,Mental Herb,13.6%,,,,,,,,
Audino,112,held_item,2,Audinite,19.2%,,,,,,,,
Audino,112,held_item,3,Chople Berry,5.1%,,,,,,,,
Audino,112,held_item,4,Sitrus Berry,47.7%,,,,,,,,
Audino,112,held_item,5,White Herb,2.3%,,,,,,,,
Audino,112,held_item,6,Light Clay,9.6%,,,,,,,,
Audino,112,held_item,7,Quick Claw,1.1%,,,,,,,,
Audino,112,held_item,8,Choice Scarf,0.6%,,,,,,,,
Audino,112,held_item,9,Focus Sash,0.5%,,,,,,,,
Audino,112,held_item,10,Lopunnite,0.4%,,,,,,,,
Audino,112,teammate,1,Overqwil,,,,,,,,,
Audino,112,teammate,2,Sableye,,,,,,,,,
Audino,112,teammate,3,Hisuian Zoroark,,,,,,,,,
Audino,112,teammate,4,Farigiraf,,,,,,,,,
Audino,112,teammate,5,Slowbro,,,,,,,,,
Audino,112,teammate,6,Snorlax,,,,,,,,,
Audino,112,teammate,7,Whimsicott,,,,,,,,,
Audino,112,teammate,8,Maushold Form 1,,,,,,,,,
Audino,112,teammate,9,Malamar,,,,,,,,,
Audino,112,teammate,10,Indeedee Female,,,,,,,,,
Audino,112,stat_alignment,1,Relaxed,50.7%,Defense,Speed,,,,,,
Audino,112,stat_alignment,2,Sassy,21.8%,Sp. Def,Speed,,,,,,
Audino,112,stat_alignment,3,Quiet,4.9%,Sp. Atk,Speed,,,,,,
Audino,112,stat_alignment,4,Calm,4.9%,Sp. Def,Attack,,,,,,
Audino,112,stat_alignment,5,Bold,14.2%,Defense,Attack,,,,,,
Audino,112,stat_alignment,6,Modest,2.4%,Sp. Atk,Attack,,,,,,
Audino,112,stat_alignment,7,Timid,0.7%,Speed,Attack,,,,,,
Audino,112,stat_alignment,8,Impish,0.3%,Defense,Sp. Atk,,,,,,
Audino,112,stat_alignment,9,Brave,0.1%,Attack,Speed,,,,,,
Audino,112,stat_points,1,,30.8%,,,32,0,32,0,2,0
Audino,112,stat_points,2,,7.0%,,,32,0,9,0,25,0
Audino,112,stat_points,3,,6.9%,,,32,0,24,0,10,0
Audino,112,stat_points,4,,6.8%,,,32,0,14,0,20,0
Audino,112,stat_points,5,,5.2%,,,32,0,15,0,19,0
Audino,112,stat_points,6,,4.7%,,,32,0,19,0,15,0
Audino,112,stat_points,7,,2.7%,,,32,0,2,32,0,0
Audino,112,stat_points,8,,2.6%,,,32,0,24,0,8,0
Audino,112,stat_points,9,,2.3%,,,32,0,20,11,3,0
Audino,112,stat_points,10,,1.8%,,,31,0,16,0,19,0
Audino,112,ability,1,Healer,80.2%,,,,,,,,
Audino,112,ability,2,Regenerator,19.2%,,,,,,,,
Audino,112,ability,3,Klutz,0.6%,,,,,,,,
