pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Avalugg-Hisui,209,move,1,Rock Slide,88.2%,,,,,,,,
Avalugg-Hisui,209,move,2,Mountain Gale,86.0%,,,,,,,,
Avalugg-Hisui,209,move,3,Wide Guard,72.4%,,,,,,,,
Avalugg-Hisui,209,move,4,Body Press,64.2%,,,,,,,,
Avalugg-Hisui,209,move,5,Protect,31.9%,,,,,,,,
Avalugg-Hisui,209,move,6,Iron Defense,6.7%,,,,,,,,
Avalugg-Hisui,209,move,7,Mirror Coat,6.3%,,,,,,,,
Avalugg-Hisui,209,move,8,Crunch,5.9%,,,,,,,,
Avalugg-Hisui,209,move,9,Ice Fang,5.5%,,,,,,,,
Avalugg-Hisui,209,move,10,Ice Spinner,5.3%,,,,,,,,
Avalugg-Hisui,209,held_item,1,Wide Lens,36.0%,,,,,,,,
Avalugg-Hisui,209,held_item,2,Leftovers,22.7%,,,,,,,,
Avalugg-Hisui,209,held_item,3,Never-Melt Ice,6.4%,,,,,,,,
Avalugg-Hisui,209,held_item,4,Quick Claw,6.2%,,,,,,,,
Avalugg-Hisui,209,held_item,5,Bright Powder,4.7%,,,,,,,,
Avalugg-Hisui,209,held_item,6,Sitrus Berry,4.6%,,,,,,,,
Avalugg-Hisui,209,held_item,7,King's Rock,3.5%,,,,,,,,
Avalugg-Hisui,209,held_item,8,Rocky Helmet,3.1%,,,,,,,,
Avalugg-Hisui,209,held_item,9,Expert Belt,2.7%,,,,,,,,
Avalugg-Hisui,209,held_item,10,Zoom Lens,2.0%,,,,,,,,
Avalugg-Hisui,209,teammate,1,Farigiraf,,,,,,,,,
Avalugg-Hisui,209,teammate,2,Indeedee-F,,,,,,,,,
Avalugg-Hisui,209,teammate,3,Camerupt,,,,,,,,,
Avalugg-Hisui,209,teammate,4,Torkoal,,,,,,,,,
Avalugg-Hisui,209,teammate,5,Golisopod,,,,,,,,,
Avalugg-Hisui,209,teammate,6,Froslass,,,,,,,,,
Avalugg-Hisui,209,teammate,7,Hatterene,,,,,,,,,
Avalugg-Hisui,209,teammate,8,Charizard,,,,,,,,,
Avalugg-Hisui,209,teammate,9,Sinistcha,,,,,,,,,
Avalugg-Hisui,209,teammate,10,Kingambit,,,,,,,,,
Avalugg-Hisui,209,stat_alignment,1,Brave,68.7%,Attack,Speed,,,,,,
Avalugg-Hisui,209,stat_alignment,2,Adamant,13.7%,Attack,Sp. Atk,,,,,,
Avalugg-Hisui,209,stat_alignment,3,Relaxed,8.9%,Defense,Speed,,,,,,
Avalugg-Hisui,209,stat_alignment,4,Careful,4.1%,Sp. Def,Sp. Atk,,,,,,
Avalugg-Hisui,209,stat_alignment,5,Sassy,3.0%,Sp. Def,Speed,,,,,,
Avalugg-Hisui,209,stat_alignment,6,Impish,1.3%,Defense,Sp. Atk,,,,,,
Avalugg-Hisui,209,stat_alignment,7,Naughty,0.1%,Attack,Sp. Def,,,,,,
Avalugg-Hisui,209,stat_points,1,,51.6%,,,2,32,32,0,0,0
Avalugg-Hisui,209,stat_points,2,,14.4%,,,32,32,2,0,0,0
Avalugg-Hisui,209,stat_points,3,,7.5%,,,32,32,0,0,2,0
Avalugg-Hisui,209,stat_points,4,,5.6%,,,0,32,32,0,2,0
Avalugg-Hisui,209,stat_points,5,,3.7%,,,32,2,0,0,32,0
Avalugg-Hisui,209,stat_points,6,,1.9%,,,2,32,0,0,32,0
Avalugg-Hisui,209,stat_points,7,,1.5%,,,32,2,32,0,0,0
Avalugg-Hisui,209,stat_points,8,,1.3%,,,30,10,26,0,0,0
Avalugg-Hisui,209,stat_points,9,,1.0%,,,5,31,1,0,29,0
Avalugg-Hisui,209,stat_points,10,,1.0%,,,30,4,0,0,32,0
Avalugg-Hisui,209,ability,1,Sturdy,85.2%,,,,,,,,
Avalugg-Hisui,209,ability,2,Ice Body,8.9%,,,,,,,,
Avalugg-Hisui,209,ability,3,Strong Jaw,5.9%,,,,,,,,
