pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Avalugg,247,move,1,Body Press,78.0%,,,,,,,,
Avalugg,247,move,2,Wide Guard,62.8%,,,,,,,,
Avalugg,247,move,3,Ice Spinner,35.1%,,,,,,,,
Avalugg,247,move,4,Mirror Coat,34.7%,,,,,,,,
Avalugg,247,move,5,Protect,26.3%,,,,,,,,
Avalugg,247,move,6,Iron Defense,23.1%,,,,,,,,
Avalugg,247,move,7,Icicle Crash,20.6%,,,,,,,,
Avalugg,247,move,8,Rock Slide,19.9%,,,,,,,,
Avalugg,247,move,9,Recover,16.1%,,,,,,,,
Avalugg,247,move,10,Snowscape,11.1%,,,,,,,,
Avalugg,247,held_item,1,Leftovers,35.2%,,,,,,,,
Avalugg,247,held_item,2,Quick Claw,11.0%,,,,,,,,
Avalugg,247,held_item,3,Rocky Helmet,10.1%,,,,,,,,
Avalugg,247,held_item,4,Wide Lens,9.3%,,,,,,,,
Avalugg,247,held_item,5,Sitrus Berry,7.2%,,,,,,,,
Avalugg,247,held_item,6,Grassy Seed,6.1%,,,,,,,,
Avalugg,247,held_item,7,Focus Sash,2.9%,,,,,,,,
Avalugg,247,held_item,8,Light Clay,2.6%,,,,,,,,
Avalugg,247,held_item,9,Occa Berry,2.3%,,,,,,,,
Avalugg,247,held_item,10,Lum Berry,2.2%,,,,,,,,
Avalugg,247,teammate,1,Baxcalibur,,,,,,,,,
Avalugg,247,teammate,2,Ninetales-Alola,,,,,,,,,
Avalugg,247,teammate,3,Rillaboom,,,,,,,,,
Avalugg,247,teammate,4,Froslass,,,,,,,,,
Avalugg,247,teammate,5,Golisopod,,,,,,,,,
Avalugg,247,teammate,6,Farigiraf,,,,,,,,,
Avalugg,247,teammate,7,Basculegion,,,,,,,,,
Avalugg,247,teammate,8,Kingambit,,,,,,,,,
Avalugg,247,teammate,9,Staraptor,,,,,,,,,
Avalugg,247,teammate,10,Torkoal,,,,,,,,,
Avalugg,247,stat_alignment,1,Relaxed,36.1%,Defense,Speed,,,,,,
Avalugg,247,stat_alignment,2,Impish,22.2%,Defense,Sp. Atk,,,,,,
Avalugg,247,stat_alignment,3,Careful,14.7%,Sp. Def,Sp. Atk,,,,,,
Avalugg,247,stat_alignment,4,Adamant,12.2%,Attack,Sp. Atk,,,,,,
Avalugg,247,stat_alignment,5,Sassy,8.8%,Sp. Def,Speed,,,,,,
Avalugg,247,stat_alignment,6,Brave,5.7%,Attack,Speed,,,,,,
Avalugg,247,stat_alignment,7,Naughty,0.2%,Attack,Sp. Def,,,,,,
Avalugg,247,stat_alignment,8,Lax,0.1%,Defense,Sp. Def,,,,,,
Avalugg,247,stat_points,1,,23.8%,,,32,0,32,0,2,0
Avalugg,247,stat_points,2,,19.3%,,,32,2,32,0,0,0
Avalugg,247,stat_points,3,,9.5%,,,0,32,2,0,32,0
Avalugg,247,stat_points,4,,6.3%,,,2,32,32,0,0,0
Avalugg,247,stat_points,5,,5.4%,,,32,0,2,0,32,0
Avalugg,247,stat_points,6,,4.9%,,,2,32,0,0,32,0
Avalugg,247,stat_points,7,,4.3%,,,1,1,32,0,32,0
Avalugg,247,stat_points,8,,3.8%,,,32,0,32,0,0,0
Avalugg,247,stat_points,9,,3.4%,,,32,2,0,0,32,0
Avalugg,247,stat_points,10,,2.8%,,,0,32,32,0,2,0
Avalugg,247,ability,1,Sturdy,68.1%,,,,,,,,
Avalugg,247,ability,2,Ice Body,19.5%,,,,,,,,
Avalugg,247,ability,3,Own Tempo,12.4%,,,,,,,,
