pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Banette,189,move,1,Poltergeist,90.9%,,,,,,,,
Banette,189,move,2,Destiny Bond,85.2%,,,,,,,,
Banette,189,move,3,Swagger,45.1%,,,,,,,,
Banette,189,move,4,Trick Room,38.9%,,,,,,,,
Banette,189,move,5,Encore,28.9%,,,,,,,,
Banette,189,move,6,Will-O-Wisp,15.4%,,,,,,,,
Banette,189,move,7,Psych Up,12.2%,,,,,,,,
Banette,189,move,8,Protect,10.8%,,,,,,,,
Banette,189,move,9,Shadow Sneak,10.2%,,,,,,,,
Banette,189,move,10,Rain Dance,9.1%,,,,,,,,
Banette,189,held_item,1,Banettite,99.4%,,,,,,,,
Banette,189,held_item,2,Focus Sash,0.5%,,,,,,,,
Banette,189,held_item,3,Quick Claw,0.2%,,,,,,,,
Banette,189,teammate,1,Sneasler,,,,,,,,,
Banette,189,teammate,2,Archaludon,,,,,,,,,
Banette,189,teammate,3,Politoed,,,,,,,,,
Banette,189,teammate,4,Sylveon,,,,,,,,,
Banette,189,teammate,5,Corviknight,,,,,,,,,
Banette,189,teammate,6,Rillaboom,,,,,,,,,
Banette,189,teammate,7,Kingambit,,,,,,,,,
Banette,189,teammate,8,Basculegion Male,,,,,,,,,
Banette,189,teammate,9,Pawmot,,,,,,,,,
Banette,189,teammate,10,Overqwil,,,,,,,,,
Banette,189,stat_alignment,1,Relaxed,31.1%,Defense,Speed,,,,,,
Banette,189,stat_alignment,2,Adamant,29.5%,Attack,Sp. Atk,,,,,,
Banette,189,stat_alignment,3,Brave,23.7%,Attack,Speed,,,,,,
Banette,189,stat_alignment,4,Impish,8.9%,Defense,Sp. Atk,,,,,,
Banette,189,stat_alignment,5,Sassy,4.3%,Sp. Def,Speed,,,,,,
Banette,189,stat_alignment,6,Careful,1.7%,Sp. Def,Sp. Atk,,,,,,
Banette,189,stat_alignment,7,Modest,0.5%,Sp. Atk,Attack,,,,,,
Banette,189,stat_alignment,8,Jolly,0.3%,Speed,Sp. Atk,,,,,,
Banette,189,stat_points,1,,23.2%,,,32,3,30,0,1,0
Banette,189,stat_points,2,,10.3%,,,32,32,0,0,2,0
Banette,189,stat_points,3,,8.2%,,,32,0,15,0,19,0
Banette,189,stat_points,4,,8.2%,,,32,32,2,0,0,0
Banette,189,stat_points,5,,4.3%,,,32,0,17,0,17,0
Banette,189,stat_points,6,,4.3%,,,32,3,21,0,10,0
Banette,189,stat_points,7,,4.2%,,,32,4,30,0,0,0
Banette,189,stat_points,8,,3.7%,,,0,32,0,32,0,0
Banette,189,stat_points,9,,3.2%,,,2,32,32,0,0,0
Banette,189,stat_points,10,,2.6%,,,32,5,9,0,20,0
Banette,189,ability,1,Frisk,96.6%,,,,,,,,
Banette,189,ability,2,Cursed Body,3.1%,,,,,,,,
Banette,189,ability,3,Insomnia,0.3%,,,,,,,,
