pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Barbaracle,230,move,1,Rock Slide,78.6%,,,,,,,,
Barbaracle,230,move,2,Protect,75.7%,,,,,,,,
Barbaracle,230,move,3,Close Combat,52.6%,,,,,,,,
Barbaracle,230,move,4,Liquidation,42.7%,,,,,,,,
Barbaracle,230,move,5,Shell Smash,42.3%,,,,,,,,
Barbaracle,230,move,6,Aqua Cutter,27.0%,,,,,,,,
Barbaracle,230,move,7,Cross Chop,23.6%,,,,,,,,
Barbaracle,230,move,8,Stone Edge,22.2%,,,,,,,,
Barbaracle,230,move,9,Poison Jab,11.2%,,,,,,,,
Barbaracle,230,move,10,Shadow Claw,6.5%,,,,,,,,
Barbaracle,230,held_item,1,Barbaracite,50.5%,,,,,,,,
Barbaracle,230,held_item,2,Scope Lens,27.0%,,,,,,,,
Barbaracle,230,held_item,3,Focus Sash,6.7%,,,,,,,,
Barbaracle,230,held_item,4,White Herb,6.3%,,,,,,,,
Barbaracle,230,held_item,5,Shuca Berry,3.8%,,,,,,,,
Barbaracle,230,held_item,6,Life Orb,2.5%,,,,,,,,
Barbaracle,230,held_item,7,Mystic Water,0.7%,,,,,,,,
Barbaracle,230,held_item,8,Rindo Berry,0.5%,,,,,,,,
Barbaracle,230,held_item,9,Chople Berry,0.5%,,,,,,,,
Barbaracle,230,held_item,10,Wide Lens,0.4%,,,,,,,,
Barbaracle,230,teammate,1,Rillaboom,,,,,,,,,
Barbaracle,230,teammate,2,Indeedee-F,,,,,,,,,
Barbaracle,230,teammate,3,Klefki,,,,,,,,,
Barbaracle,230,teammate,4,Clefable,,,,,,,,,
Barbaracle,230,teammate,5,Golisopod,,,,,,,,,
Barbaracle,230,teammate,6,Pelipper,,,,,,,,,
Barbaracle,230,teammate,7,Incineroar,,,,,,,,,
Barbaracle,230,teammate,8,Baxcalibur,,,,,,,,,
Barbaracle,230,teammate,9,Pyroar,,,,,,,,,
Barbaracle,230,teammate,10,Grapploct,,,,,,,,,
Barbaracle,230,stat_alignment,1,Adamant,62.7%,Attack,Sp. Atk,,,,,,
Barbaracle,230,stat_alignment,2,Brave,19.5%,Attack,Speed,,,,,,
Barbaracle,230,stat_alignment,3,Jolly,13.7%,Speed,Sp. Atk,,,,,,
Barbaracle,230,stat_alignment,4,Careful,2.7%,Sp. Def,Sp. Atk,,,,,,
Barbaracle,230,stat_alignment,5,Impish,1.3%,Defense,Sp. Atk,,,,,,
Barbaracle,230,stat_alignment,6,Sassy,0.2%,Sp. Def,Speed,,,,,,
Barbaracle,230,stat_points,1,,19.8%,,,2,32,0,0,0,32
Barbaracle,230,stat_points,2,,19.5%,,,32,32,0,0,2,0
Barbaracle,230,stat_points,3,,12.1%,,,32,15,10,0,9,0
Barbaracle,230,stat_points,4,,4.5%,,,0,32,2,0,0,32
Barbaracle,230,stat_points,5,,4.1%,,,32,15,0,0,4,15
Barbaracle,230,stat_points,6,,3.2%,,,30,11,0,0,6,19
Barbaracle,230,stat_points,7,,3.1%,,,2,32,32,0,0,0
Barbaracle,230,stat_points,8,,3.1%,,,25,32,0,0,1,8
Barbaracle,230,stat_points,9,,2.5%,,,9,32,4,0,6,15
Barbaracle,230,stat_points,10,,1.8%,,,32,32,0,0,0,2
Barbaracle,230,ability,1,Tough Claws,62.5%,,,,,,,,
Barbaracle,230,ability,2,Sniper,34.4%,,,,,,,,
Barbaracle,230,ability,3,Pickpocket,3.1%,,,,,,,,
