pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Clawitzer,137,move,1,Aura Sphere,91.3%,,,,,,,,
Clawitzer,137,move,2,Dark Pulse,86.4%,,,,,,,,
Clawitzer,137,move,3,Water Pulse,85.9%,,,,,,,,
Clawitzer,137,move,4,Protect,55.0%,,,,,,,,
Clawitzer,137,move,5,Dragon Pulse,33.8%,,,,,,,,
Clawitzer,137,move,6,Heal Pulse,11.9%,,,,,,,,
Clawitzer,137,move,7,Terrain Pulse,8.9%,,,,,,,,
Clawitzer,137,move,8,Ice Beam,8.8%,,,,,,,,
Clawitzer,137,move,9,Muddy Water,5.9%,,,,,,,,
Clawitzer,137,move,10,Flash Cannon,1.8%,,,,,,,,
Clawitzer,137,held_item,1,Life Orb,49.0%,,,,,,,,
Clawitzer,137,held_item,2,Expert Belt,17.4%,,,,,,,,
Clawitzer,137,held_item,3,Wise Glasses,6.5%,,,,,,,,
Clawitzer,137,held_item,4,Sitrus Berry,6.3%,,,,,,,,
Clawitzer,137,held_item,5,Mystic Water,5.2%,,,,,,,,
Clawitzer,137,held_item,6,Focus Sash,3.6%,,,,,,,,
Clawitzer,137,held_item,7,Rindo Berry,2.9%,,,,,,,,
Clawitzer,137,held_item,8,Leftovers,1.9%,,,,,,,,
Clawitzer,137,held_item,9,Choice Scarf,1.9%,,,,,,,,
Clawitzer,137,held_item,10,Quick Claw,1.7%,,,,,,,,
Clawitzer,137,teammate,1,Farigiraf,,,,,,,,,
Clawitzer,137,teammate,2,Mawile,,,,,,,,,
Clawitzer,137,teammate,3,Incineroar,,,,,,,,,
Clawitzer,137,teammate,4,Sinistcha,,,,,,,,,
Clawitzer,137,teammate,5,Torkoal,,,,,,,,,
Clawitzer,137,teammate,6,Sylveon,,,,,,,,,
Clawitzer,137,teammate,7,Raichu,,,,,,,,,
Clawitzer,137,teammate,8,Kingambit,,,,,,,,,
Clawitzer,137,teammate,9,Whimsicott,,,,,,,,,
Clawitzer,137,teammate,10,Tyranitar,,,,,,,,,
Clawitzer,137,stat_alignment,1,Quiet,51.0%,Sp. Atk,Speed,,,,,,
Clawitzer,137,stat_alignment,2,Modest,39.1%,Sp. Atk,Attack,,,,,,
Clawitzer,137,stat_alignment,3,Timid,3.4%,Speed,Attack,,,,,,
Clawitzer,137,stat_alignment,4,Bold,2.0%,Defense,Attack,,,,,,
Clawitzer,137,stat_alignment,5,Calm,0.6%,Sp. Def,Attack,,,,,,
Clawitzer,137,stat_alignment,6,Gentle,0.5%,Sp. Def,Defense,,,,,,
Clawitzer,137,stat_alignment,7,Mild,0.4%,Sp. Atk,Defense,,,,,,
Clawitzer,137,stat_alignment,8,Relaxed,0.4%,Defense,Speed,,,,,,
Clawitzer,137,stat_alignment,9,Adamant,0.3%,Attack,Sp. Atk,,,,,,
Clawitzer,137,stat_alignment,10,Hasty,0.1%,Speed,Defense,,,,,,
Clawitzer,137,stat_points,1,,25.0%,,,32,0,0,32,2,0
Clawitzer,137,stat_points,2,,18.9%,,,32,0,2,32,0,0
Clawitzer,137,stat_points,3,,7.1%,,,2,0,0,32,0,32
Clawitzer,137,stat_points,4,,3.3%,,,32,0,1,32,1,0
Clawitzer,137,stat_points,5,,3.2%,,,2,0,0,32,32,0
Clawitzer,137,stat_points,6,,1.9%,,,0,0,2,32,32,0
Clawitzer,137,stat_points,7,,1.6%,,,0,0,32,32,2,0
Clawitzer,137,stat_points,8,,1.3%,,,0,0,2,32,0,32
Clawitzer,137,ability,1,Mega Launcher,100.0%,,,,,,,,
