pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Conkeldurr,130,move,1,Ice Punch,69.3%,,,,,,,,
Conkeldurr,130,move,2,Drain Punch,64.8%,,,,,,,,
Conkeldurr,130,move,3,Mach Punch,51.9%,,,,,,,,
Conkeldurr,130,move,4,Thunder Punch,49.0%,,,,,,,,
Conkeldurr,130,move,5,Wide Guard,33.2%,,,,,,,,
Conkeldurr,130,move,6,Rock Slide,22.0%,,,,,,,,
Conkeldurr,130,move,7,Fire Punch,16.9%,,,,,,,,
Conkeldurr,130,move,8,Protect,14.7%,,,,,,,,
Conkeldurr,130,move,9,Close Combat,14.2%,,,,,,,,
Conkeldurr,130,move,10,Knock Off,12.8%,,,,,,,,
Conkeldurr,130,held_item,1,Life Orb,47.1%,,,,,,,,
Conkeldurr,130,held_item,2,Expert Belt,19.9%,,,,,,,,
Conkeldurr,130,held_item,3,Black Belt,9.2%,,,,,,,,
Conkeldurr,130,held_item,4,Leftovers,6.4%,,,,,,,,
Conkeldurr,130,held_item,5,Psychic Seed,2.9%,,,,,,,,
Conkeldurr,130,held_item,6,Sitrus Berry,2.6%,,,,,,,,
Conkeldurr,130,held_item,7,Focus Sash,2.1%,,,,,,,,
Conkeldurr,130,held_item,8,White Herb,1.6%,,,,,,,,
Conkeldurr,130,held_item,9,Coba Berry,1.5%,,,,,,,,
Conkeldurr,130,held_item,10,Muscle Band,1.3%,,,,,,,,
Conkeldurr,130,teammate,1,Indeedee-F,,,,,,,,,
Conkeldurr,130,teammate,2,Golisopod,,,,,,,,,
Conkeldurr,130,teammate,3,Farigiraf,,,,,,,,,
Conkeldurr,130,teammate,4,Camerupt,,,,,,,,,
Conkeldurr,130,teammate,5,Torkoal,,,,,,,,,
Conkeldurr,130,teammate,6,Kingambit,,,,,,,,,
Conkeldurr,130,teammate,7,Hatterene,,,,,,,,,
Conkeldurr,130,teammate,8,Armarouge,,,,,,,,,
Conkeldurr,130,teammate,9,Rillaboom,,,,,,,,,
Conkeldurr,130,teammate,10,Incineroar,,,,,,,,,
Conkeldurr,130,stat_alignment,1,Brave,73.6%,Attack,Speed,,,,,,
Conkeldurr,130,stat_alignment,2,Adamant,19.1%,Attack,Sp. Atk,,,,,,
Conkeldurr,130,stat_alignment,3,Sassy,4.2%,Sp. Def,Speed,,,,,,
Conkeldurr,130,stat_alignment,4,Careful,1.8%,Sp. Def,Sp. Atk,,,,,,
Conkeldurr,130,stat_alignment,5,Relaxed,0.6%,Defense,Speed,,,,,,
Conkeldurr,130,stat_alignment,6,Jolly,0.3%,Speed,Sp. Atk,,,,,,
Conkeldurr,130,stat_alignment,7,Gentle,0.2%,Sp. Def,Defense,,,,,,
Conkeldurr,130,stat_alignment,8,Naughty,0.1%,Attack,Sp. Def,,,,,,
Conkeldurr,130,stat_alignment,9,Lonely,0.1%,Attack,Defense,,,,,,
Conkeldurr,130,stat_alignment,10,Impish,0.1%,Defense,Sp. Atk,,,,,,
Conkeldurr,130,stat_points,1,,29.4%,,,32,32,0,0,2,0
Conkeldurr,130,stat_points,2,,22.1%,,,32,32,2,0,0,0
Conkeldurr,130,stat_points,3,,8.3%,,,2,32,0,0,32,0
Conkeldurr,130,stat_points,4,,2.7%,,,19,32,0,0,15,0
Conkeldurr,130,stat_points,5,,2.5%,,,0,2,32,0,32,0
Conkeldurr,130,stat_points,6,,2.4%,,,29,32,0,0,5,0
Conkeldurr,130,stat_points,7,,1.6%,,,4,32,0,0,30,0
Conkeldurr,130,stat_points,8,,1.5%,,,0,32,2,0,32,0
Conkeldurr,130,stat_points,9,,1.4%,,,27,32,1,0,6,0
Conkeldurr,130,stat_points,10,,1.2%,,,32,24,10,0,0,0
Conkeldurr,130,ability,1,Iron Fist,68.3%,,,,,,,,
Conkeldurr,130,ability,2,Sheer Force,28.1%,,,,,,,,
Conkeldurr,130,ability,3,Guts,3.6%,,,,,,,,
