pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Feraligatr,156,move,1,Liquidation,81.3%,,,,,,,,
Feraligatr,156,move,2,Protect,67.2%,,,,,,,,
Feraligatr,156,move,3,Ice Punch,41.2%,,,,,,,,
Feraligatr,156,move,4,Aqua Jet,35.2%,,,,,,,,
Feraligatr,156,move,5,Dragon Dance,29.6%,,,,,,,,
Feraligatr,156,move,6,Double-Edge,25.5%,,,,,,,,
Feraligatr,156,move,7,Body Slam,19.5%,,,,,,,,
Feraligatr,156,move,8,Crunch,15.8%,,,,,,,,
Feraligatr,156,move,9,Rock Slide,11.7%,,,,,,,,
Feraligatr,156,move,10,Swords Dance,8.4%,,,,,,,,
Feraligatr,156,held_item,1,Feraligite,61.9%,,,,,,,,
Feraligatr,156,held_item,2,Life Orb,29.6%,,,,,,,,
Feraligatr,156,held_item,3,Leftovers,2.9%,,,,,,,,
Feraligatr,156,held_item,4,Quick Claw,1.5%,,,,,,,,
Feraligatr,156,held_item,5,Mystic Water,1.5%,,,,,,,,
Feraligatr,156,held_item,6,Choice Scarf,0.6%,,,,,,,,
Feraligatr,156,held_item,7,Sitrus Berry,0.4%,,,,,,,,
Feraligatr,156,held_item,8,Expert Belt,0.4%,,,,,,,,
Feraligatr,156,held_item,9,Shell Bell,0.2%,,,,,,,,
Feraligatr,156,held_item,10,Muscle Band,0.2%,,,,,,,,
Feraligatr,156,teammate,1,Rillaboom,,,,,,,,,
Feraligatr,156,teammate,2,Sneasler,,,,,,,,,
Feraligatr,156,teammate,3,Incineroar,,,,,,,,,
Feraligatr,156,teammate,4,Pelipper,,,,,,,,,
Feraligatr,156,teammate,5,Whimsicott,,,,,,,,,
Feraligatr,156,teammate,6,Farigiraf,,,,,,,,,
Feraligatr,156,teammate,7,Indeedee-F,,,,,,,,,
Feraligatr,156,teammate,8,Sinistcha,,,,,,,,,
Feraligatr,156,teammate,9,Archaludon,,,,,,,,,
Feraligatr,156,teammate,10,Golisopod,,,,,,,,,
Feraligatr,156,stat_alignment,1,Adamant,59.0%,Attack,Sp. Atk,,,,,,
Feraligatr,156,stat_alignment,2,Jolly,18.2%,Speed,Sp. Atk,,,,,,
Feraligatr,156,stat_alignment,3,Brave,13.6%,Attack,Speed,,,,,,
Feraligatr,156,stat_alignment,4,Careful,4.5%,Sp. Def,Sp. Atk,,,,,,
Feraligatr,156,stat_alignment,5,Modest,1.6%,Sp. Atk,Attack,,,,,,
Feraligatr,156,stat_alignment,6,Impish,0.8%,Defense,Sp. Atk,,,,,,
Feraligatr,156,stat_alignment,7,Serious,0.6%,,,,,,,,
Feraligatr,156,stat_alignment,8,Sassy,0.5%,Sp. Def,Speed,,,,,,
Feraligatr,156,stat_alignment,9,Naughty,0.5%,Attack,Sp. Def,,,,,,
Feraligatr,156,stat_alignment,10,Relaxed,0.3%,Defense,Speed,,,,,,
Feraligatr,156,stat_points,1,,15.5%,,,32,32,0,0,2,0
Feraligatr,156,stat_points,2,,15.5%,,,2,32,0,0,0,32
Feraligatr,156,stat_points,3,,4.8%,,,32,32,0,0,0,2
Feraligatr,156,stat_points,4,,3.4%,,,32,32,2,0,0,0
Feraligatr,156,stat_points,5,,2.6%,,,0,32,0,0,2,32
Feraligatr,156,stat_points,6,,2.6%,,,0,32,2,0,0,32
Feraligatr,156,stat_points,7,,2.4%,,,2,32,0,0,32,0
Feraligatr,156,stat_points,8,,2.2%,,,31,15,0,0,20,0
Feraligatr,156,stat_points,9,,1.5%,,,31,32,0,0,0,3
Feraligatr,156,stat_points,10,,1.4%,,,20,32,8,0,0,6
Feraligatr,156,ability,1,Sheer Force,88.1%,,,,,,,,
Feraligatr,156,ability,2,Torrent,11.9%,,,,,,,,
