pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Flareon,239,move,1,Flare Blitz,72.0%,,,,,,,,
Flareon,239,move,2,Superpower,53.4%,,,,,,,,
Flareon,239,move,3,Protect,42.7%,,,,,,,,
Flareon,239,move,4,Detect,27.0%,,,,,,,,
Flareon,239,move,5,Quick Attack,25.5%,,,,,,,,
Flareon,239,move,6,Bite,21.2%,,,,,,,,
Flareon,239,move,7,Dig,19.3%,,,,,,,,
Flareon,239,move,8,Curse,17.4%,,,,,,,,
Flareon,239,move,9,Fire Fang,13.8%,,,,,,,,
Flareon,239,move,10,Temper Flare,12.0%,,,,,,,,
Flareon,239,held_item,1,Leftovers,18.6%,,,,,,,,
Flareon,239,held_item,2,Sitrus Berry,15.1%,,,,,,,,
Flareon,239,held_item,3,Charcoal,13.6%,,,,,,,,
Flareon,239,held_item,4,Life Orb,11.1%,,,,,,,,
Flareon,239,held_item,5,White Herb,8.2%,,,,,,,,
Flareon,239,held_item,6,Scope Lens,5.9%,,,,,,,,
Flareon,239,held_item,7,Focus Sash,5.5%,,,,,,,,
Flareon,239,held_item,8,Expert Belt,4.3%,,,,,,,,
Flareon,239,held_item,9,Muscle Band,3.5%,,,,,,,,
Flareon,239,held_item,10,Choice Scarf,2.4%,,,,,,,,
Flareon,239,teammate,1,Umbreon,,,,,,,,,
Flareon,239,teammate,2,Vaporeon,,,,,,,,,
Flareon,239,teammate,3,Sylveon,,,,,,,,,
Flareon,239,teammate,4,Jolteon,,,,,,,,,
Flareon,239,teammate,5,Espeon,,,,,,,,,
Flareon,239,teammate,6,Empoleon,,,,,,,,,
Flareon,239,teammate,7,Weavile,,,,,,,,,
Flareon,239,teammate,8,Glaceon,,,,,,,,,
Flareon,239,teammate,9,Altaria,,,,,,,,,
Flareon,239,teammate,10,Roserade,,,,,,,,,
Flareon,239,stat_alignment,1,Adamant,41.5%,Attack,Sp. Atk,,,,,,
Flareon,239,stat_alignment,2,Brave,17.6%,Attack,Speed,,,,,,
Flareon,239,stat_alignment,3,Careful,16.0%,Sp. Def,Sp. Atk,,,,,,
Flareon,239,stat_alignment,4,Impish,11.3%,Defense,Sp. Atk,,,,,,
Flareon,239,stat_alignment,5,Jolly,6.3%,Speed,Sp. Atk,,,,,,
Flareon,239,stat_alignment,6,Quiet,3.1%,Sp. Atk,Speed,,,,,,
Flareon,239,stat_alignment,7,Sassy,1.6%,Sp. Def,Speed,,,,,,
Flareon,239,stat_alignment,8,Modest,0.9%,Sp. Atk,Attack,,,,,,
Flareon,239,stat_alignment,9,Serious,0.5%,,,,,,,,
Flareon,239,stat_alignment,10,Relaxed,0.4%,Defense,Speed,,,,,,
Flareon,239,stat_points,1,,23.8%,,,32,32,2,0,0,0
Flareon,239,stat_points,2,,13.5%,,,0,15,19,0,32,0
Flareon,239,stat_points,3,,6.6%,,,25,15,26,0,0,0
Flareon,239,stat_points,4,,5.3%,,,2,32,0,0,0,32
Flareon,239,stat_points,5,,2.3%,,,0,32,2,0,32,0
Flareon,239,stat_points,6,,2.3%,,,32,12,0,0,16,6
Flareon,239,stat_points,7,,2.2%,,,2,32,32,0,0,0
Flareon,239,stat_points,8,,2.1%,,,0,32,0,0,2,32
Flareon,239,stat_points,9,,2.1%,,,0,32,2,0,0,32
Flareon,239,stat_points,10,,2.0%,,,0,32,0,0,0,32
Flareon,239,ability,1,Flash Fire,88.3%,,,,,,,,
Flareon,239,ability,2,Guts,11.7%,,,,,,,,
