pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Forretress,241,move,1,Explosion,56.9%,,,,,,,,
Forretress,241,move,2,Ice Spinner,35.3%,,,,,,,,
Forretress,241,move,3,Gyro Ball,33.8%,,,,,,,,
Forretress,241,move,4,Stealth Rock,32.4%,,,,,,,,
Forretress,241,move,5,Iron Head,28.9%,,,,,,,,
Forretress,241,move,6,Body Press,28.9%,,,,,,,,
Forretress,241,move,7,Protect,28.4%,,,,,,,,
Forretress,241,move,8,Steel Roller,24.5%,,,,,,,,
Forretress,241,move,9,Bug Bite,17.6%,,,,,,,,
Forretress,241,move,10,Lunge,15.7%,,,,,,,,
Forretress,241,held_item,1,Expert Belt,17.6%,,,,,,,,
Forretress,241,held_item,2,Unknown Item 278,16.2%,,,,,,,,
Forretress,241,held_item,3,Unknown Item 564,12.3%,,,,,,,,
Forretress,241,held_item,4,Grassy Seed,9.3%,,,,,,,,
Forretress,241,held_item,5,Psychic Seed,8.8%,,,,,,,,
Forretress,241,held_item,6,Leftovers,7.4%,,,,,,,,
Forretress,241,held_item,7,Muscle Band,5.4%,,,,,,,,
Forretress,241,held_item,8,Unknown Item 544,4.9%,,,,,,,,
Forretress,241,held_item,9,Rocky Helmet,4.4%,,,,,,,,
Forretress,241,held_item,10,Quick Claw,2.9%,,,,,,,,
Forretress,241,teammate,1,Pawmot,,,,,,,,,
Forretress,241,teammate,2,Talonflame,,,,,,,,,
Forretress,241,teammate,3,Milotic,,,,,,,,,
Forretress,241,teammate,4,Liepard,,,,,,,,,
Forretress,241,teammate,5,Gardevoir,,,,,,,,,
Forretress,241,teammate,6,Sinistcha,,,,,,,,,
Forretress,241,teammate,7,Lucario,,,,,,,,,
Forretress,241,teammate,8,Golisopod,,,,,,,,,
Forretress,241,teammate,9,Overqwil,,,,,,,,,
Forretress,241,teammate,10,Farigiraf,,,,,,,,,
Forretress,241,stat_alignment,1,Brave,38.2%,Attack,Speed,,,,,,
Forretress,241,stat_alignment,2,Relaxed,16.2%,Defense,Speed,,,,,,
Forretress,241,stat_alignment,3,Adamant,15.2%,Attack,Sp. Atk,,,,,,
Forretress,241,stat_alignment,4,Naughty,14.2%,Attack,Sp. Def,,,,,,
Forretress,241,stat_alignment,5,Sassy,6.9%,Sp. Def,Speed,,,,,,
Forretress,241,stat_alignment,6,Impish,5.9%,Defense,Sp. Atk,,,,,,
Forretress,241,stat_alignment,7,Careful,3.4%,Sp. Def,Sp. Atk,,,,,,
Forretress,241,stat_points,1,,17.6%,,,2,32,0,0,32,0
Forretress,241,stat_points,2,,14.2%,,,2,32,0,0,0,0
Forretress,241,stat_points,3,,11.3%,,,0,32,32,0,2,0
Forretress,241,stat_points,4,,6.4%,,,32,0,2,0,32,0
Forretress,241,stat_points,5,,5.4%,,,2,32,32,0,0,0
Forretress,241,stat_points,6,,5.4%,,,24,32,10,0,0,0
Forretress,241,stat_points,7,,4.9%,,,32,0,32,0,2,0
Forretress,241,stat_points,8,,4.4%,,,32,0,0,0,32,0
Forretress,241,stat_points,9,,3.9%,,,31,32,0,0,3,0
Forretress,241,stat_points,10,,3.4%,,,3,30,1,0,32,0
Forretress,241,ability,1,Sturdy,90.7%,,,,,,,,
Forretress,241,ability,2,Overcoat,9.3%,,,,,,,,
