pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Froslass,36,move,1,Blizzard,99.2%,,,,,,,,
Froslass,36,move,2,Protect,94.0%,,,,,,,,
Froslass,36,move,3,Shadow Ball,82.5%,,,,,,,,
Froslass,36,move,4,Aurora Veil,80.1%,,,,,,,,
Froslass,36,move,5,Rain Dance,15.1%,,,,,,,,
Froslass,36,move,6,Thunderbolt,5.9%,,,,,,,,
Froslass,36,move,7,Taunt,5.2%,,,,,,,,
Froslass,36,move,8,Destiny Bond,3.7%,,,,,,,,
Froslass,36,move,9,Nasty Plot,3.4%,,,,,,,,
Froslass,36,move,10,Will-O-Wisp,1.5%,,,,,,,,
Froslass,36,held_item,1,Froslassite,99.2%,,,,,,,,
Froslass,36,held_item,2,Focus Sash,0.2%,,,,,,,,
Froslass,36,held_item,3,Choice Scarf,0.2%,,,,,,,,
Froslass,36,held_item,4,Never-Melt Ice,0.1%,,,,,,,,
Froslass,36,held_item,5,Sitrus Berry,0.0%,,,,,,,,
Froslass,36,held_item,6,Life Orb,0.0%,,,,,,,,
Froslass,36,held_item,7,Bright Powder,0.0%,,,,,,,,
Froslass,36,held_item,8,Light Clay,0.0%,,,,,,,,
Froslass,36,held_item,9,Eject Button,0.0%,,,,,,,,
Froslass,36,held_item,10,Quick Claw,0.0%,,,,,,,,
Froslass,36,teammate,1,Rillaboom,,,,,,,,,
Froslass,36,teammate,2,Sneasler,,,,,,,,,
Froslass,36,teammate,3,Kingambit,,,,,,,,,
Froslass,36,teammate,4,Incineroar,,,,,,,,,
Froslass,36,teammate,5,Basculegion,,,,,,,,,
Froslass,36,teammate,6,Archaludon,,,,,,,,,
Froslass,36,teammate,7,Salamence,,,,,,,,,
Froslass,36,teammate,8,Politoed,,,,,,,,,
Froslass,36,teammate,9,Gengar,,,,,,,,,
Froslass,36,teammate,10,Garchomp,,,,,,,,,
Froslass,36,stat_alignment,1,Timid,74.6%,Speed,Attack,,,,,,
Froslass,36,stat_alignment,2,Modest,23.9%,Sp. Atk,Attack,,,,,,
Froslass,36,stat_alignment,3,Hasty,0.5%,Speed,Defense,,,,,,
Froslass,36,stat_alignment,4,Mild,0.3%,Sp. Atk,Defense,,,,,,
Froslass,36,stat_alignment,5,Bold,0.2%,Defense,Attack,,,,,,
Froslass,36,stat_alignment,6,Calm,0.2%,Sp. Def,Attack,,,,,,
Froslass,36,stat_alignment,7,Quiet,0.1%,Sp. Atk,Speed,,,,,,
Froslass,36,stat_alignment,8,Jolly,0.1%,Speed,Sp. Atk,,,,,,
Froslass,36,stat_alignment,9,Naive,0.0%,Speed,Sp. Def,,,,,,
Froslass,36,stat_alignment,10,Serious,0.0%,,,,,,,,
Froslass,36,stat_points,1,,28.7%,,,2,0,0,32,0,32
Froslass,36,stat_points,2,,5.9%,,,12,0,1,20,1,32
Froslass,36,stat_points,3,,4.4%,,,32,0,2,0,0,32
Froslass,36,stat_points,4,,4.1%,,,32,0,0,2,0,32
Froslass,36,stat_points,5,,3.8%,,,0,0,2,32,0,32
Froslass,36,stat_points,6,,3.6%,,,14,0,0,20,0,32
Froslass,36,stat_points,7,,3.3%,,,0,0,0,32,2,32
Froslass,36,stat_points,8,,2.6%,,,24,0,0,10,0,32
Froslass,36,stat_points,9,,1.6%,,,32,0,10,0,0,24
Froslass,36,stat_points,10,,1.6%,,,25,0,0,0,14,27
Froslass,36,ability,1,Cursed Body,78.2%,,,,,,,,
Froslass,36,ability,2,Snow Cloak,21.8%,,,,,,,,
