pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Furfrou Natural Form,257,move,1,Psychic Fangs,30.0%,,,,,,,,
Furfrou Natural Form,257,move,2,Snarl,47.5%,,,,,,,,
Furfrou Natural Form,257,move,3,Cotton Guard,40.0%,,,,,,,,
Furfrou Natural Form,257,move,4,Fire Fang,35.0%,,,,,,,,
Furfrou Natural Form,257,move,5,Ice Fang,7.5%,,,,,,,,
Furfrou Natural Form,257,move,6,Thunder Wave,20.0%,,,,,,,,
Furfrou Natural Form,257,move,7,Endeavor,27.5%,,,,,,,,
Furfrou Natural Form,257,move,8,Hyper Voice,17.5%,,,,,,,,
Furfrou Natural Form,257,move,9,Roar,17.5%,,,,,,,,
Furfrou Natural Form,257,move,10,Sucker Punch,17.5%,,,,,,,,
Furfrou Natural Form,257,held_item,1,Rocky Helmet,25.0%,,,,,,,,
Furfrou Natural Form,257,held_item,2,Sitrus Berry,7.5%,,,,,,,,
Furfrou Natural Form,257,held_item,3,Unknown Item 253,10.0%,,,,,,,,
Furfrou Natural Form,257,held_item,4,Chesto Berry,7.5%,,,,,,,,
Furfrou Natural Form,257,held_item,5,Unknown Item 564,25.0%,,,,,,,,
Furfrou Natural Form,257,held_item,6,Leftovers,25.0%,,,,,,,,
Furfrou Natural Form,257,teammate,1,Primarina,,,,,,,,,
Furfrou Natural Form,257,teammate,2,Gardevoir,,,,,,,,,
Furfrou Natural Form,257,teammate,3,Sinistcha,,,,,,,,,
Furfrou Natural Form,257,teammate,4,Aegislash Shield Forme,,,,,,,,,
Furfrou Natural Form,257,teammate,5,Rillaboom,,,,,,,,,
Furfrou Natural Form,257,teammate,6,Volcarona,,,,,,,,,
Furfrou Natural Form,257,teammate,7,Farigiraf,,,,,,,,,
Furfrou Natural Form,257,teammate,8,Baxcalibur,,,,,,,,,
Furfrou Natural Form,257,teammate,9,Mawile,,,,,,,,,
Furfrou Natural Form,257,teammate,10,Ninetales,,,,,,,,,
Furfrou Natural Form,257,stat_alignment,1,Impish,22.5%,Defense,Sp. Atk,,,,,,
Furfrou Natural Form,257,stat_alignment,2,Careful,22.5%,Sp. Def,Sp. Atk,,,,,,
Furfrou Natural Form,257,stat_alignment,3,Adamant,20.0%,Attack,Sp. Atk,,,,,,
Furfrou Natural Form,257,stat_alignment,4,Bold,7.5%,Defense,Attack,,,,,,
Furfrou Natural Form,257,stat_alignment,5,Jolly,5.0%,Speed,Sp. Atk,,,,,,
Furfrou Natural Form,257,stat_alignment,6,Calm,2.5%,Sp. Def,Attack,,,,,,
Furfrou Natural Form,257,stat_points,1,,2.5%,,,2,32,0,0,32,0
Furfrou Natural Form,257,stat_points,2,,17.5%,,,32,0,32,0,0,0
Furfrou Natural Form,257,stat_points,3,,15.0%,,,0,32,0,0,32,0
Furfrou Natural Form,257,stat_points,4,,10.0%,,,0,32,32,0,0,2
Furfrou Natural Form,257,stat_points,5,,7.5%,,,32,0,32,0,2,0
Furfrou Natural Form,257,stat_points,6,,5.0%,,,21,32,10,0,3,0
Furfrou Natural Form,257,stat_points,7,,5.0%,,,14,0,20,0,0,32
Furfrou Natural Form,257,stat_points,8,,5.0%,,,32,0,4,0,5,25
Furfrou Natural Form,257,stat_points,9,,5.0%,,,32,2,32,0,0,0
Furfrou Natural Form,257,stat_points,10,,5.0%,,,10,32,13,0,0,10
Furfrou Natural Form,257,ability,1,Fur Coat,100.0%,,,,,,,,
