pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Furfrou,252,move,1,Cotton Guard,51.4%,,,,,,,,
Furfrou,252,move,2,Psychic Fangs,44.9%,,,,,,,,
Furfrou,252,move,3,Snarl,40.7%,,,,,,,,
Furfrou,252,move,4,Sucker Punch,27.9%,,,,,,,,
Furfrou,252,move,5,Baby-Doll Eyes,25.0%,,,,,,,,
Furfrou,252,move,6,Protect,22.0%,,,,,,,,
Furfrou,252,move,7,Endeavor,20.0%,,,,,,,,
Furfrou,252,move,8,Charm,18.2%,,,,,,,,
Furfrou,252,move,9,Thunder Wave,18.0%,,,,,,,,
Furfrou,252,move,10,Fire Fang,17.5%,,,,,,,,
Furfrou,252,held_item,1,Leftovers,24.2%,,,,,,,,
Furfrou,252,held_item,2,Sitrus Berry,15.5%,,,,,,,,
Furfrou,252,held_item,3,Chople Berry,11.2%,,,,,,,,
Furfrou,252,held_item,4,Rocky Helmet,10.5%,,,,,,,,
Furfrou,252,held_item,5,Muscle Band,9.3%,,,,,,,,
Furfrou,252,held_item,6,King's Rock,6.7%,,,,,,,,
Furfrou,252,held_item,7,Chesto Berry,5.8%,,,,,,,,
Furfrou,252,held_item,8,Life Orb,3.8%,,,,,,,,
Furfrou,252,held_item,9,Bright Powder,2.3%,,,,,,,,
Furfrou,252,held_item,10,Shell Bell,2.0%,,,,,,,,
Furfrou,252,teammate,1,Whimsicott,,,,,,,,,
Furfrou,252,teammate,2,Golisopod,,,,,,,,,
Furfrou,252,teammate,3,Rillaboom,,,,,,,,,
Furfrou,252,teammate,4,Garchomp,,,,,,,,,
Furfrou,252,teammate,5,Farigiraf,,,,,,,,,
Furfrou,252,teammate,6,Chesnaught,,,,,,,,,
Furfrou,252,teammate,7,Annihilape,,,,,,,,,
Furfrou,252,teammate,8,Lucario,,,,,,,,,
Furfrou,252,teammate,9,Indeedee-F,,,,,,,,,
Furfrou,252,teammate,10,Sylveon,,,,,,,,,
Furfrou,252,stat_alignment,1,Impish,29.7%,Defense,Sp. Atk,,,,,,
Furfrou,252,stat_alignment,2,Adamant,25.5%,Attack,Sp. Atk,,,,,,
Furfrou,252,stat_alignment,3,Jolly,23.4%,Speed,Sp. Atk,,,,,,
Furfrou,252,stat_alignment,4,Careful,9.3%,Sp. Def,Sp. Atk,,,,,,
Furfrou,252,stat_alignment,5,Relaxed,2.0%,Defense,Speed,,,,,,
Furfrou,252,stat_alignment,6,Sassy,1.8%,Sp. Def,Speed,,,,,,
Furfrou,252,stat_alignment,7,Calm,1.5%,Sp. Def,Attack,,,,,,
Furfrou,252,stat_alignment,8,Bold,1.3%,Defense,Attack,,,,,,
Furfrou,252,stat_alignment,9,Gentle,1.3%,Sp. Def,Defense,,,,,,
Furfrou,252,stat_alignment,10,Hasty,1.2%,Speed,Defense,,,,,,
Furfrou,252,stat_points,1,,13.9%,,,32,0,32,0,2,0
Furfrou,252,stat_points,2,,12.5%,,,4,0,20,0,10,32
Furfrou,252,stat_points,3,,10.0%,,,2,32,32,0,0,0
Furfrou,252,stat_points,4,,5.3%,,,32,32,0,0,2,0
Furfrou,252,stat_points,5,,5.2%,,,32,0,2,0,32,0
Furfrou,252,stat_points,6,,5.0%,,,3,21,22,0,20,0
Furfrou,252,stat_points,7,,4.3%,,,2,32,0,0,0,32
Furfrou,252,stat_points,8,,4.3%,,,32,0,20,0,14,0
Furfrou,252,stat_points,9,,4.0%,,,11,0,23,0,0,32
Furfrou,252,stat_points,10,,3.7%,,,32,0,4,0,5,25
Furfrou,252,ability,1,Fur Coat,100.0%,,,,,,,,
