pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Grapploct,112,move,1,Storm Throw,96.3%,,,,,,,,
Grapploct,112,move,2,Mach Punch,64.9%,,,,,,,,
Grapploct,112,move,3,Detect,62.0%,,,,,,,,
Grapploct,112,move,4,Feint,22.7%,,,,,,,,
Grapploct,112,move,5,Ice Punch,20.1%,,,,,,,,
Grapploct,112,move,6,Sucker Punch,19.5%,,,,,,,,
Grapploct,112,move,7,Protect,19.3%,,,,,,,,
Grapploct,112,move,8,Topsy-Turvy,18.0%,,,,,,,,
Grapploct,112,move,9,Octolock,17.5%,,,,,,,,
Grapploct,112,move,10,Coaching,13.7%,,,,,,,,
Grapploct,112,held_item,1,Black Belt,32.1%,,,,,,,,
Grapploct,112,held_item,2,Life Orb,24.6%,,,,,,,,
Grapploct,112,held_item,3,Psychic Seed,10.7%,,,,,,,,
Grapploct,112,held_item,4,Sitrus Berry,8.6%,,,,,,,,
Grapploct,112,held_item,5,Focus Sash,6.9%,,,,,,,,
Grapploct,112,held_item,6,Expert Belt,3.4%,,,,,,,,
Grapploct,112,held_item,7,Rocky Helmet,2.9%,,,,,,,,
Grapploct,112,held_item,8,Roseli Berry,2.4%,,,,,,,,
Grapploct,112,held_item,9,Leftovers,2.4%,,,,,,,,
Grapploct,112,held_item,10,Lucarionite,1.8%,,,,,,,,
Grapploct,112,teammate,1,Golisopod,,,,,,,,,
Grapploct,112,teammate,2,Indeedee Female,,,,,,,,,
Grapploct,112,teammate,3,Armarouge,,,,,,,,,
Grapploct,112,teammate,4,Farigiraf,,,,,,,,,
Grapploct,112,teammate,5,Rillaboom,,,,,,,,,
Grapploct,112,teammate,6,Hatterene,,,,,,,,,
Grapploct,112,teammate,7,Torkoal,,,,,,,,,
Grapploct,112,teammate,8,Salamence,,,,,,,,,
Grapploct,112,teammate,9,Gardevoir,,,,,,,,,
Grapploct,112,teammate,10,Pelipper,,,,,,,,,
Grapploct,112,stat_alignment,1,Brave,66.3%,Attack,Speed,,,,,,
Grapploct,112,stat_alignment,2,Adamant,26.3%,Attack,Sp. Atk,,,,,,
Grapploct,112,stat_alignment,3,Careful,2.4%,Sp. Def,Sp. Atk,,,,,,
Grapploct,112,stat_alignment,4,Impish,1.3%,Defense,Sp. Atk,,,,,,
Grapploct,112,stat_alignment,5,Quiet,1.2%,Sp. Atk,Speed,,,,,,
Grapploct,112,stat_alignment,6,Sassy,1.2%,Sp. Def,Speed,,,,,,
Grapploct,112,stat_alignment,7,Relaxed,0.8%,Defense,Speed,,,,,,
Grapploct,112,stat_alignment,8,Jolly,0.7%,Speed,Sp. Atk,,,,,,
Grapploct,112,stat_alignment,9,Lonely,0.1%,Attack,Defense,,,,,,
Grapploct,112,stat_points,1,,38.1%,,,32,32,0,0,2,0
Grapploct,112,stat_points,2,,11.3%,,,32,32,2,0,0,0
Grapploct,112,stat_points,3,,5.8%,,,32,32,1,0,1,0
Grapploct,112,stat_points,4,,4.3%,,,32,12,11,0,11,0
Grapploct,112,stat_points,5,,2.4%,,,32,32,0,2,0,0
Grapploct,112,stat_points,6,,2.1%,,,14,32,20,0,0,0
Grapploct,112,stat_points,7,,1.8%,,,24,32,10,0,0,0
Grapploct,112,stat_points,8,,1.7%,,,2,32,0,0,0,32
Grapploct,112,stat_points,9,,1.6%,,,15,32,4,0,15,0
Grapploct,112,stat_points,10,,1.5%,,,12,23,0,0,0,31
Grapploct,112,ability,1,Technician,97.7%,,,,,,,,
Grapploct,112,ability,2,Limber,2.3%,,,,,,,,
