pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Hippowdon,158,move,1,Yawn,58.8%,,,,,,,,
Hippowdon,158,move,2,Protect,48.1%,,,,,,,,
Hippowdon,158,move,3,Earthquake,45.4%,,,,,,,,
Hippowdon,158,move,4,High Horsepower,43.8%,,,,,,,,
Hippowdon,158,move,5,Slack Off,40.7%,,,,,,,,
Hippowdon,158,move,6,Stealth Rock,34.3%,,,,,,,,
Hippowdon,158,move,7,Whirlwind,24.0%,,,,,,,,
Hippowdon,158,move,8,Rock Slide,21.2%,,,,,,,,
Hippowdon,158,move,9,Ice Fang,14.2%,,,,,,,,
Hippowdon,158,move,10,Rock Tomb,9.4%,,,,,,,,
Hippowdon,158,held_item,1,Leftovers,31.4%,,,,,,,,
Hippowdon,158,held_item,2,Sitrus Berry,23.4%,,,,,,,,
Hippowdon,158,held_item,3,Rocky Helmet,12.4%,,,,,,,,
Hippowdon,158,held_item,4,Smooth Rock,2.9%,,,,,,,,
Hippowdon,158,held_item,5,Quick Claw,1.4%,,,,,,,,
Hippowdon,158,held_item,6,Passho Berry,1.4%,,,,,,,,
Hippowdon,158,held_item,7,Bright Powder,1.1%,,,,,,,,
Hippowdon,158,held_item,8,Soft Sand,1.0%,,,,,,,,
Hippowdon,158,held_item,9,Psychic Seed,1.0%,,,,,,,,
Hippowdon,158,held_item,10,Expert Belt,1.0%,,,,,,,,
Hippowdon,158,teammate,1,Salamence,,,,,,,,,
Hippowdon,158,teammate,2,Rillaboom,,,,,,,,,
Hippowdon,158,teammate,3,Glimmora,,,,,,,,,
Hippowdon,158,teammate,4,Incineroar,,,,,,,,,
Hippowdon,158,teammate,5,Golisopod,,,,,,,,,
Hippowdon,158,teammate,6,Garchomp,,,,,,,,,
Hippowdon,158,teammate,7,Kingambit,,,,,,,,,
Hippowdon,158,teammate,8,Gholdengo,,,,,,,,,
Hippowdon,158,teammate,9,Sneasler,,,,,,,,,
Hippowdon,158,teammate,10,Excadrill,,,,,,,,,
Hippowdon,158,stat_alignment,1,Careful,39.1%,Sp. Def,Sp. Atk,,,,,,
Hippowdon,158,stat_alignment,2,Impish,18.7%,Defense,Sp. Atk,,,,,,
Hippowdon,158,stat_alignment,3,Brave,15.5%,Attack,Speed,,,,,,
Hippowdon,158,stat_alignment,4,Adamant,9.2%,Attack,Sp. Atk,,,,,,
Hippowdon,158,stat_alignment,5,Relaxed,8.1%,Defense,Speed,,,,,,
Hippowdon,158,stat_alignment,6,Sassy,7.2%,Sp. Def,Speed,,,,,,
Hippowdon,158,stat_alignment,7,Calm,0.6%,Sp. Def,Attack,,,,,,
Hippowdon,158,stat_alignment,8,Lonely,0.4%,Attack,Defense,,,,,,
Hippowdon,158,stat_alignment,9,Bold,0.3%,Defense,Attack,,,,,,
Hippowdon,158,stat_alignment,10,Jolly,0.3%,Speed,Sp. Atk,,,,,,
Hippowdon,158,stat_points,1,,17.6%,,,32,0,2,0,32,0
Hippowdon,158,stat_points,2,,12.2%,,,32,0,1,0,32,0
Hippowdon,158,stat_points,3,,7.3%,,,32,8,2,0,24,0
Hippowdon,158,stat_points,4,,5.9%,,,32,0,6,0,28,0
Hippowdon,158,stat_points,5,,4.0%,,,32,0,32,0,2,0
Hippowdon,158,stat_points,6,,3.1%,,,2,0,32,0,32,0
Hippowdon,158,stat_points,7,,3.1%,,,0,32,2,0,32,0
Hippowdon,158,stat_points,8,,3.1%,,,32,0,14,0,20,0
Hippowdon,158,stat_points,9,,2.8%,,,32,32,0,0,2,0
Hippowdon,158,stat_points,10,,2.8%,,,32,32,2,0,0,0
Hippowdon,158,ability,1,Sand Stream,97.6%,,,,,,,,
Hippowdon,158,ability,2,Sand Force,2.4%,,,,,,,,
