pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Hydrapple,196,move,1,Fickle Beam,84.7%,,,,,,,,
Hydrapple,196,move,2,Protect,75.6%,,,,,,,,
Hydrapple,196,move,3,Earth Power,59.2%,,,,,,,,
Hydrapple,196,move,4,Giga Drain,49.4%,,,,,,,,
Hydrapple,196,move,5,Pollen Puff,25.9%,,,,,,,,
Hydrapple,196,move,6,Leaf Storm,23.4%,,,,,,,,
Hydrapple,196,move,7,Energy Ball,19.0%,,,,,,,,
Hydrapple,196,move,8,Draco Meteor,15.0%,,,,,,,,
Hydrapple,196,move,9,Yawn,10.0%,,,,,,,,
Hydrapple,196,move,10,Recover,8.4%,,,,,,,,
Hydrapple,196,held_item,1,Life Orb,34.1%,,,,,,,,
Hydrapple,196,held_item,2,Sitrus Berry,17.1%,,,,,,,,
Hydrapple,196,held_item,3,Leftovers,12.9%,,,,,,,,
Hydrapple,196,held_item,4,Eject Button,5.8%,,,,,,,,
Hydrapple,196,held_item,5,Dragon Fang,4.4%,,,,,,,,
Hydrapple,196,held_item,6,Psychic Seed,4.3%,,,,,,,,
Hydrapple,196,held_item,7,Quick Claw,4.1%,,,,,,,,
Hydrapple,196,held_item,8,White Herb,3.3%,,,,,,,,
Hydrapple,196,held_item,9,Unknown Item 188,2.4%,,,,,,,,
Hydrapple,196,held_item,10,Wise Glasses,1.8%,,,,,,,,
Hydrapple,196,teammate,1,Indeedee-F,,,,,,,,,
Hydrapple,196,teammate,2,Golisopod,,,,,,,,,
Hydrapple,196,teammate,3,Hatterene,,,,,,,,,
Hydrapple,196,teammate,4,Farigiraf,,,,,,,,,
Hydrapple,196,teammate,5,Incineroar,,,,,,,,,
Hydrapple,196,teammate,6,Armarouge,,,,,,,,,
Hydrapple,196,teammate,7,Torkoal,,,,,,,,,
Hydrapple,196,teammate,8,Gardevoir,,,,,,,,,
Hydrapple,196,teammate,9,Flapple,,,,,,,,,
Hydrapple,196,teammate,10,Gourgeist-Super,,,,,,,,,
Hydrapple,196,stat_alignment,1,Quiet,59.3%,Sp. Atk,Speed,,,,,,
Hydrapple,196,stat_alignment,2,Modest,21.6%,Sp. Atk,Attack,,,,,,
Hydrapple,196,stat_alignment,3,Sassy,6.8%,Sp. Def,Speed,,,,,,
Hydrapple,196,stat_alignment,4,Calm,5.2%,Sp. Def,Attack,,,,,,
Hydrapple,196,stat_alignment,5,Bold,4.8%,Defense,Attack,,,,,,
Hydrapple,196,stat_alignment,6,Relaxed,2.3%,Defense,Speed,,,,,,
Hydrapple,196,stat_alignment,7,Timid,0.1%,Speed,Attack,,,,,,
Hydrapple,196,stat_points,1,,37.3%,,,32,0,0,32,2,0
Hydrapple,196,stat_points,2,,15.6%,,,32,0,2,32,0,0
Hydrapple,196,stat_points,3,,5.9%,,,0,0,2,32,32,0
Hydrapple,196,stat_points,4,,4.6%,,,31,0,3,0,32,0
Hydrapple,196,stat_points,5,,3.8%,,,4,0,10,22,28,2
Hydrapple,196,stat_points,6,,3.1%,,,2,0,0,32,32,0
Hydrapple,196,stat_points,7,,2.4%,,,32,0,0,32,0,2
Hydrapple,196,stat_points,8,,2.2%,,,2,0,32,32,0,0
Hydrapple,196,stat_points,9,,2.0%,,,0,0,32,32,2,0
Hydrapple,196,stat_points,10,,2.0%,,,30,0,0,4,32,0
Hydrapple,196,ability,1,Regenerator,74.4%,,,,,,,,
Hydrapple,196,ability,2,Supersweet Syrup,21.7%,,,,,,,,
Hydrapple,196,ability,3,Sticky Hold,4.0%,,,,,,,,
