pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Inteleon,69,move,1,Snipe Shot,88.0%,,,,,,,,
Inteleon,69,move,2,Protect,81.7%,,,,,,,,
Inteleon,69,move,3,Ice Beam,74.5%,,,,,,,,
Inteleon,69,move,4,Focus Energy,40.3%,,,,,,,,
Inteleon,69,move,5,Dark Pulse,23.1%,,,,,,,,
Inteleon,69,move,6,Muddy Water,19.2%,,,,,,,,
Inteleon,69,move,7,Vacuum Wave,15.6%,,,,,,,,
Inteleon,69,move,8,Air Cutter,10.1%,,,,,,,,
Inteleon,69,move,9,Icy Wind,7.1%,,,,,,,,
Inteleon,69,move,10,Surf,4.7%,,,,,,,,
Inteleon,69,held_item,1,Scope Lens,61.1%,,,,,,,,
Inteleon,69,held_item,2,Focus Sash,19.1%,,,,,,,,
Inteleon,69,held_item,3,Mystic Water,8.4%,,,,,,,,
Inteleon,69,held_item,4,Life Orb,6.4%,,,,,,,,
Inteleon,69,held_item,5,Choice Scarf,1.5%,,,,,,,,
Inteleon,69,held_item,6,Unknown Item 267,1.4%,,,,,,,,
Inteleon,69,held_item,7,Expert Belt,0.6%,,,,,,,,
Inteleon,69,held_item,8,Unknown Item 186,0.2%,,,,,,,,
Inteleon,69,held_item,9,Wide Lens,0.2%,,,,,,,,
Inteleon,69,held_item,10,Light Clay,0.2%,,,,,,,,
Inteleon,69,teammate,1,Rillaboom,,,,,,,,,
Inteleon,69,teammate,2,Indeedee Female,,,,,,,,,
Inteleon,69,teammate,3,Pelipper,,,,,,,,,
Inteleon,69,teammate,4,Sneasler,,,,,,,,,
Inteleon,69,teammate,5,Golisopod,,,,,,,,,
Inteleon,69,teammate,6,Salamence,,,,,,,,,
Inteleon,69,teammate,7,Incineroar,,,,,,,,,
Inteleon,69,teammate,8,Archaludon,,,,,,,,,
Inteleon,69,teammate,9,Whimsicott,,,,,,,,,
Inteleon,69,teammate,10,Raichu,,,,,,,,,
Inteleon,69,stat_alignment,1,Timid,65.0%,Speed,Attack,,,,,,
Inteleon,69,stat_alignment,2,Modest,32.4%,Sp. Atk,Attack,,,,,,
Inteleon,69,stat_alignment,3,Hasty,0.9%,Speed,Defense,,,,,,
Inteleon,69,stat_alignment,4,Mild,0.7%,Sp. Atk,Defense,,,,,,
Inteleon,69,stat_alignment,5,Quiet,0.4%,Sp. Atk,Speed,,,,,,
Inteleon,69,stat_alignment,6,Jolly,0.3%,Speed,Sp. Atk,,,,,,
Inteleon,69,stat_alignment,7,Gentle,0.2%,Sp. Def,Defense,,,,,,
Inteleon,69,stat_alignment,8,Naive,0.1%,Speed,Sp. Def,,,,,,
Inteleon,69,stat_alignment,9,Bold,0.1%,Defense,Attack,,,,,,
Inteleon,69,stat_points,1,,66.0%,,,2,0,0,32,0,32
Inteleon,69,stat_points,2,,9.6%,,,0,0,2,32,0,32
Inteleon,69,stat_points,3,,8.4%,,,0,0,0,32,2,32
Inteleon,69,stat_points,4,,4.3%,,,0,0,0,32,0,32
Inteleon,69,stat_points,5,,2.8%,,,25,0,0,32,0,9
Inteleon,69,stat_points,6,,1.0%,,,0,0,1,32,1,32
Inteleon,69,stat_points,7,,0.6%,,,1,0,0,32,0,32
Inteleon,69,stat_points,8,,0.5%,,,0,0,18,32,2,14
Inteleon,69,stat_points,9,,0.4%,,,1,0,1,32,0,32
Inteleon,69,stat_points,10,,0.4%,,,32,0,0,32,0,2
Inteleon,69,ability,1,Sniper,93.9%,,,,,,,,
Inteleon,69,ability,2,Torrent,6.1%,,,,,,,,
