pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Lycanroc,205,move,1,Rock Slide,88.3%,,,,,,,,
Lycanroc,205,move,2,Close Combat,75.8%,,,,,,,,
Lycanroc,205,move,3,Accelerock,69.0%,,,,,,,,
Lycanroc,205,move,4,Protect,42.6%,,,,,,,,
Lycanroc,205,move,5,Psychic Fangs,27.0%,,,,,,,,
Lycanroc,205,move,6,Fire Fang,22.6%,,,,,,,,
Lycanroc,205,move,7,Endeavor,11.4%,,,,,,,,
Lycanroc,205,move,8,Taunt,8.4%,,,,,,,,
Lycanroc,205,move,9,Roar,7.1%,,,,,,,,
Lycanroc,205,move,10,Iron Head,6.1%,,,,,,,,
Lycanroc,205,held_item,1,Focus Sash,54.0%,,,,,,,,
Lycanroc,205,held_item,2,Life Orb,31.5%,,,,,,,,
Lycanroc,205,held_item,3,Hard Stone,5.5%,,,,,,,,
Lycanroc,205,held_item,4,Expert Belt,1.7%,,,,,,,,
Lycanroc,205,held_item,5,King's Rock,1.7%,,,,,,,,
Lycanroc,205,held_item,6,Choice Scarf,1.3%,,,,,,,,
Lycanroc,205,held_item,7,White Herb,1.3%,,,,,,,,
Lycanroc,205,held_item,8,Quick Claw,1.0%,,,,,,,,
Lycanroc,205,held_item,9,Muscle Band,0.6%,,,,,,,,
Lycanroc,205,held_item,10,Sitrus Berry,0.5%,,,,,,,,
Lycanroc,205,teammate,1,Tyranitar,,,,,,,,,
Lycanroc,205,teammate,2,Rillaboom,,,,,,,,,
Lycanroc,205,teammate,3,Ninetales-Alola,,,,,,,,,
Lycanroc,205,teammate,4,Decidueye-Hisui,,,,,,,,,
Lycanroc,205,teammate,5,Typhlosion-Hisui,,,,,,,,,
Lycanroc,205,teammate,6,Salamence,,,,,,,,,
Lycanroc,205,teammate,7,Sneasler,,,,,,,,,
Lycanroc,205,teammate,8,Indeedee-F,,,,,,,,,
Lycanroc,205,teammate,9,Basculegion,,,,,,,,,
Lycanroc,205,teammate,10,Milotic,,,,,,,,,
Lycanroc,205,stat_alignment,1,Jolly,56.2%,Speed,Sp. Atk,,,,,,
Lycanroc,205,stat_alignment,2,Adamant,38.1%,Attack,Sp. Atk,,,,,,
Lycanroc,205,stat_alignment,3,Lonely,2.3%,Attack,Defense,,,,,,
Lycanroc,205,stat_alignment,4,Naive,1.4%,Speed,Sp. Def,,,,,,
Lycanroc,205,stat_alignment,5,Hasty,1.0%,Speed,Defense,,,,,,
Lycanroc,205,stat_alignment,6,Naughty,0.6%,Attack,Sp. Def,,,,,,
Lycanroc,205,stat_alignment,7,Brave,0.2%,Attack,Speed,,,,,,
Lycanroc,205,stat_alignment,8,Modest,0.1%,Sp. Atk,Attack,,,,,,
Lycanroc,205,stat_alignment,9,Gentle,0.1%,Sp. Def,Defense,,,,,,
Lycanroc,205,stat_alignment,10,Lax,0.1%,Defense,Sp. Def,,,,,,
Lycanroc,205,stat_points,1,,38.1%,,,2,32,0,0,0,32
Lycanroc,205,stat_points,2,,22.1%,,,1,32,0,0,0,32
Lycanroc,205,stat_points,3,,6.8%,,,1,32,0,0,1,32
Lycanroc,205,stat_points,4,,5.9%,,,0,32,0,0,0,32
Lycanroc,205,stat_points,5,,5.6%,,,0,32,1,0,1,32
Lycanroc,205,stat_points,6,,5.4%,,,0,32,2,0,0,32
Lycanroc,205,stat_points,7,,5.2%,,,0,32,0,0,2,32
Lycanroc,205,stat_points,8,,1.7%,,,0,32,0,0,32,2
Lycanroc,205,stat_points,9,,1.2%,,,0,32,0,0,8,26
Lycanroc,205,stat_points,10,,1.0%,,,2,32,9,0,0,23
Lycanroc,205,ability,1,Sand Rush,76.9%,,,,,,,,
Lycanroc,205,ability,2,Steadfast,13.6%,,,,,,,,
Lycanroc,205,ability,3,Keen Eye,9.6%,,,,,,,,
