pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Mamoswine,78,move,1,Ice Shard,83.7%,,,,,,,,
Mamoswine,78,move,2,Protect,73.9%,,,,,,,,
Mamoswine,78,move,3,High Horsepower,70.9%,,,,,,,,
Mamoswine,78,move,4,Icicle Crash,61.4%,,,,,,,,
Mamoswine,78,move,5,Earthquake,39.1%,,,,,,,,
Mamoswine,78,move,6,Rock Slide,27.5%,,,,,,,,
Mamoswine,78,move,7,Icicle Spear,10.2%,,,,,,,,
Mamoswine,78,move,8,Knock Off,3.8%,,,,,,,,
Mamoswine,78,move,9,Superpower,3.6%,,,,,,,,
Mamoswine,78,move,10,Stone Edge,3.4%,,,,,,,,
Mamoswine,78,held_item,1,Focus Sash,43.1%,,,,,,,,
Mamoswine,78,held_item,2,Life Orb,28.7%,,,,,,,,
Mamoswine,78,held_item,3,Choice Scarf,15.1%,,,,,,,,
Mamoswine,78,held_item,4,Expert Belt,2.6%,,,,,,,,
Mamoswine,78,held_item,5,Never-Melt Ice,1.7%,,,,,,,,
Mamoswine,78,held_item,6,Leftovers,1.3%,,,,,,,,
Mamoswine,78,held_item,7,Sitrus Berry,1.0%,,,,,,,,
Mamoswine,78,held_item,8,Chople Berry,0.9%,,,,,,,,
Mamoswine,78,held_item,9,Soft Sand,0.7%,,,,,,,,
Mamoswine,78,held_item,10,White Herb,0.5%,,,,,,,,
Mamoswine,78,teammate,1,Salamence,,,,,,,,,
Mamoswine,78,teammate,2,Sneasler,,,,,,,,,
Mamoswine,78,teammate,3,Rillaboom,,,,,,,,,
Mamoswine,78,teammate,4,Incineroar,,,,,,,,,
Mamoswine,78,teammate,5,Charizard,,,,,,,,,
Mamoswine,78,teammate,6,Indeedee-F,,,,,,,,,
Mamoswine,78,teammate,7,Kingambit,,,,,,,,,
Mamoswine,78,teammate,8,Golisopod,,,,,,,,,
Mamoswine,78,teammate,9,Farigiraf,,,,,,,,,
Mamoswine,78,teammate,10,Whimsicott,,,,,,,,,
Mamoswine,78,stat_alignment,1,Adamant,78.2%,Attack,Sp. Atk,,,,,,
Mamoswine,78,stat_alignment,2,Jolly,14.6%,Speed,Sp. Atk,,,,,,
Mamoswine,78,stat_alignment,3,Brave,3.1%,Attack,Speed,,,,,,
Mamoswine,78,stat_alignment,4,Naughty,1.5%,Attack,Sp. Def,,,,,,
Mamoswine,78,stat_alignment,5,Impish,1.1%,Defense,Sp. Atk,,,,,,
Mamoswine,78,stat_alignment,6,Careful,0.5%,Sp. Def,Sp. Atk,,,,,,
Mamoswine,78,stat_alignment,7,Lonely,0.5%,Attack,Defense,,,,,,
Mamoswine,78,stat_alignment,8,Serious,0.2%,,,,,,,,
Mamoswine,78,stat_alignment,9,Bold,0.1%,Defense,Attack,,,,,,
Mamoswine,78,stat_alignment,10,Bashful,0.1%,,,,,,,,
Mamoswine,78,stat_points,1,,42.4%,,,2,32,0,0,0,32
Mamoswine,78,stat_points,2,,9.8%,,,0,32,0,0,2,32
Mamoswine,78,stat_points,3,,7.6%,,,0,32,2,0,0,32
Mamoswine,78,stat_points,4,,3.0%,,,0,32,0,0,0,32
Mamoswine,78,stat_points,5,,2.9%,,,32,32,0,0,0,2
Mamoswine,78,stat_points,6,,2.9%,,,32,32,2,0,0,0
Mamoswine,78,stat_points,7,,2.6%,,,32,32,0,0,2,0
Mamoswine,78,stat_points,8,,2.0%,,,1,32,0,0,0,32
Mamoswine,78,stat_points,9,,1.7%,,,15,32,0,0,0,19
Mamoswine,78,stat_points,10,,1.2%,,,1,32,0,0,1,32
Mamoswine,78,ability,1,Oblivious,83.2%,,,,,,,,
Mamoswine,78,ability,2,Thick Fat,15.8%,,,,,,,,
Mamoswine,78,ability,3,Snow Cloak,1.0%,,,,,,,,
