pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Milotic,16,move,1,Protect,78.7%,,,,,,,,
Milotic,16,move,2,Scald,77.3%,,,,,,,,
Milotic,16,move,3,Ice Beam,64.2%,,,,,,,,
Milotic,16,move,4,Icy Wind,46.9%,,,,,,,,
Milotic,16,move,5,Recover,30.2%,,,,,,,,
Milotic,16,move,6,Muddy Water,23.9%,,,,,,,,
Milotic,16,move,7,Coil,19.4%,,,,,,,,
Milotic,16,move,8,Life Dew,18.2%,,,,,,,,
Milotic,16,move,9,Hypnosis,18.0%,,,,,,,,
Milotic,16,move,10,Haze,5.6%,,,,,,,,
Milotic,16,held_item,1,Leftovers,63.8%,,,,,,,,
Milotic,16,held_item,2,Sitrus Berry,24.7%,,,,,,,,
Milotic,16,held_item,3,Grassy Seed,3.3%,,,,,,,,
Milotic,16,held_item,4,Rindo Berry,1.4%,,,,,,,,
Milotic,16,held_item,5,Rocky Helmet,0.9%,,,,,,,,
Milotic,16,held_item,6,Wide Lens,0.9%,,,,,,,,
Milotic,16,held_item,7,Mystic Water,0.8%,,,,,,,,
Milotic,16,held_item,8,Life Orb,0.8%,,,,,,,,
Milotic,16,held_item,9,Psychic Seed,0.7%,,,,,,,,
Milotic,16,held_item,10,Choice Scarf,0.6%,,,,,,,,
Milotic,16,teammate,1,Rillaboom,,,,,,,,,
Milotic,16,teammate,2,Salamence,,,,,,,,,
Milotic,16,teammate,3,Sneasler,,,,,,,,,
Milotic,16,teammate,4,Tyranitar,,,,,,,,,
Milotic,16,teammate,5,Incineroar,,,,,,,,,
Milotic,16,teammate,6,Golisopod,,,,,,,,,
Milotic,16,teammate,7,Excadrill,,,,,,,,,
Milotic,16,teammate,8,Gholdengo,,,,,,,,,
Milotic,16,teammate,9,Indeedee Female,,,,,,,,,
Milotic,16,teammate,10,Kingambit,,,,,,,,,
Milotic,16,stat_alignment,1,Modest,39.5%,Sp. Atk,Attack,,,,,,
Milotic,16,stat_alignment,2,Bold,27.5%,Defense,Attack,,,,,,
Milotic,16,stat_alignment,3,Calm,27.2%,Sp. Def,Attack,,,,,,
Milotic,16,stat_alignment,4,Timid,1.7%,Speed,Attack,,,,,,
Milotic,16,stat_alignment,5,Quiet,1.7%,Sp. Atk,Speed,,,,,,
Milotic,16,stat_alignment,6,Relaxed,1.1%,Defense,Speed,,,,,,
Milotic,16,stat_alignment,7,Sassy,0.9%,Sp. Def,Speed,,,,,,
Milotic,16,stat_alignment,8,Mild,0.1%,Sp. Atk,Defense,,,,,,
Milotic,16,stat_alignment,9,Impish,0.1%,Defense,Sp. Atk,,,,,,
Milotic,16,stat_alignment,10,Careful,0.1%,Sp. Def,Sp. Atk,,,,,,
Milotic,16,stat_points,1,,4.9%,,,32,0,32,0,2,0
Milotic,16,stat_points,2,,4.7%,,,20,0,20,4,8,14
Milotic,16,stat_points,3,,3.8%,,,32,0,2,32,0,0
Milotic,16,stat_points,4,,2.5%,,,32,0,32,2,0,0
Milotic,16,stat_points,5,,2.4%,,,32,0,11,10,0,13
Milotic,16,stat_points,6,,2.1%,,,32,0,19,10,0,5
Milotic,16,stat_points,7,,1.8%,,,32,0,27,0,5,2
Milotic,16,stat_points,8,,1.4%,,,32,0,32,0,0,2
Milotic,16,stat_points,9,,1.3%,,,0,0,32,32,2,0
Milotic,16,stat_points,10,,1.1%,,,10,0,2,22,0,32
Milotic,16,ability,1,Competitive,99.7%,,,,,,,,
Milotic,16,ability,2,Marvel Scale,0.2%,,,,,,,,
Milotic,16,ability,3,Cute Charm,0.1%,,,,,,,,
