pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Morpeko,193,move,1,Aura Wheel,99.6%,,,,,,,,
Morpeko,193,move,2,Fake Out,71.0%,,,,,,,,
Morpeko,193,move,3,Protect,61.0%,,,,,,,,
Morpeko,193,move,4,Knock Off,28.0%,,,,,,,,
Morpeko,193,move,5,Parting Shot,26.0%,,,,,,,,
Morpeko,193,move,6,Endeavor,21.8%,,,,,,,,
Morpeko,193,move,7,Psychic Fangs,12.5%,,,,,,,,
Morpeko,193,move,8,Taunt,11.7%,,,,,,,,
Morpeko,193,move,9,Reversal,9.5%,,,,,,,,
Morpeko,193,move,10,Ice Fang,7.5%,,,,,,,,
Morpeko,193,held_item,1,Focus Sash,71.7%,,,,,,,,
Morpeko,193,held_item,2,Life Orb,8.1%,,,,,,,,
Morpeko,193,held_item,3,Sitrus Berry,2.5%,,,,,,,,
Morpeko,193,held_item,4,Choice Scarf,2.3%,,,,,,,,
Morpeko,193,held_item,5,Expert Belt,2.1%,,,,,,,,
Morpeko,193,held_item,6,Air Balloon,2.1%,,,,,,,,
Morpeko,193,held_item,7,Chople Berry,1.4%,,,,,,,,
Morpeko,193,held_item,8,Metronome,1.4%,,,,,,,,
Morpeko,193,held_item,9,Psychic Seed,1.3%,,,,,,,,
Morpeko,193,held_item,10,Quick Claw,0.9%,,,,,,,,
Morpeko,193,teammate,1,Rillaboom,,,,,,,,,
Morpeko,193,teammate,2,Lucario,,,,,,,,,
Morpeko,193,teammate,3,Garchomp,,,,,,,,,
Morpeko,193,teammate,4,Charizard,,,,,,,,,
Morpeko,193,teammate,5,Incineroar,,,,,,,,,
Morpeko,193,teammate,6,Raichu,,,,,,,,,
Morpeko,193,teammate,7,Dragonite,,,,,,,,,
Morpeko,193,teammate,8,Indeedee-F,,,,,,,,,
Morpeko,193,teammate,9,Sneasler,,,,,,,,,
Morpeko,193,teammate,10,Salamence,,,,,,,,,
Morpeko,193,stat_alignment,1,Jolly,49.4%,Speed,Sp. Atk,,,,,,
Morpeko,193,stat_alignment,2,Adamant,38.4%,Attack,Sp. Atk,,,,,,
Morpeko,193,stat_alignment,3,Naughty,3.9%,Attack,Sp. Def,,,,,,
Morpeko,193,stat_alignment,4,Impish,3.2%,Defense,Sp. Atk,,,,,,
Morpeko,193,stat_alignment,5,Hasty,1.7%,Speed,Defense,,,,,,
Morpeko,193,stat_alignment,6,Lonely,1.2%,Attack,Defense,,,,,,
Morpeko,193,stat_alignment,7,Brave,1.0%,Attack,Speed,,,,,,
Morpeko,193,stat_alignment,8,Naive,0.4%,Speed,Sp. Def,,,,,,
Morpeko,193,stat_alignment,9,Careful,0.3%,Sp. Def,Sp. Atk,,,,,,
Morpeko,193,stat_alignment,10,Lax,0.3%,Defense,Sp. Def,,,,,,
Morpeko,193,stat_points,1,,48.6%,,,2,32,0,0,0,32
Morpeko,193,stat_points,2,,12.9%,,,0,32,2,0,0,32
Morpeko,193,stat_points,3,,9.6%,,,0,32,0,0,2,32
Morpeko,193,stat_points,4,,5.6%,,,0,32,0,0,0,32
Morpeko,193,stat_points,5,,2.8%,,,32,32,0,0,0,2
Morpeko,193,stat_points,6,,2.3%,,,2,32,32,0,0,0
Morpeko,193,stat_points,7,,1.9%,,,0,32,32,0,2,0
Morpeko,193,stat_points,8,,1.8%,,,27,31,0,0,0,8
Morpeko,193,stat_points,9,,1.6%,,,0,32,1,0,1,32
Morpeko,193,stat_points,10,,1.5%,,,32,32,0,0,2,0
Morpeko,193,ability,1,Hunger Switch,100.0%,,,,,,,,
