pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Orthworm,153,move,1,Body Press,85.9%,,,,,,,,
Orthworm,153,move,2,Shed Tail,72.7%,,,,,,,,
Orthworm,153,move,3,Heavy Slam,59.3%,,,,,,,,
Orthworm,153,move,4,Iron Defense,47.5%,,,,,,,,
Orthworm,153,move,5,Protect,40.8%,,,,,,,,
Orthworm,153,move,6,Helping Hand,20.0%,,,,,,,,
Orthworm,153,move,7,Iron Head,14.9%,,,,,,,,
Orthworm,153,move,8,Stealth Rock,8.1%,,,,,,,,
Orthworm,153,move,9,Coil,7.3%,,,,,,,,
Orthworm,153,move,10,Metal Burst,6.3%,,,,,,,,
Orthworm,153,held_item,1,Sitrus Berry,60.7%,,,,,,,,
Orthworm,153,held_item,2,Leftovers,20.4%,,,,,,,,
Orthworm,153,held_item,3,Occa Berry,5.0%,,,,,,,,
Orthworm,153,held_item,4,Chople Berry,3.3%,,,,,,,,
Orthworm,153,held_item,5,Quick Claw,2.8%,,,,,,,,
Orthworm,153,held_item,6,Focus Sash,1.5%,,,,,,,,
Orthworm,153,held_item,7,Lum Berry,0.8%,,,,,,,,
Orthworm,153,held_item,8,Bright Powder,0.6%,,,,,,,,
Orthworm,153,held_item,9,Shell Bell,0.6%,,,,,,,,
Orthworm,153,held_item,10,Metronome,0.5%,,,,,,,,
Orthworm,153,teammate,1,Garchomp,,,,,,,,,
Orthworm,153,teammate,2,Tyranitar,,,,,,,,,
Orthworm,153,teammate,3,Sinistcha,,,,,,,,,
Orthworm,153,teammate,4,Incineroar,,,,,,,,,
Orthworm,153,teammate,5,Basculegion Male,,,,,,,,,
Orthworm,153,teammate,6,Froslass,,,,,,,,,
Orthworm,153,teammate,7,Aerodactyl,,,,,,,,,
Orthworm,153,teammate,8,Whimsicott,,,,,,,,,
Orthworm,153,teammate,9,Farigiraf,,,,,,,,,
Orthworm,153,teammate,10,Raichu,,,,,,,,,
Orthworm,153,stat_alignment,1,Impish,37.3%,Defense,Sp. Atk,,,,,,
Orthworm,153,stat_alignment,2,Careful,21.3%,Sp. Def,Sp. Atk,,,,,,
Orthworm,153,stat_alignment,3,Relaxed,18.9%,Defense,Speed,,,,,,
Orthworm,153,stat_alignment,4,Sassy,9.1%,Sp. Def,Speed,,,,,,
Orthworm,153,stat_alignment,5,Adamant,5.8%,Attack,Sp. Atk,,,,,,
Orthworm,153,stat_alignment,6,Brave,2.7%,Attack,Speed,,,,,,
Orthworm,153,stat_alignment,7,Bold,1.6%,Defense,Attack,,,,,,
Orthworm,153,stat_alignment,8,Jolly,1.2%,Speed,Sp. Atk,,,,,,
Orthworm,153,stat_alignment,9,Lax,0.5%,Defense,Sp. Def,,,,,,
Orthworm,153,stat_alignment,10,Calm,0.5%,Sp. Def,Attack,,,,,,
Orthworm,153,stat_points,1,,18.5%,,,32,0,2,0,32,0
Orthworm,153,stat_points,2,,15.5%,,,32,0,32,0,2,0
Orthworm,153,stat_points,3,,6.4%,,,32,0,5,0,29,0
Orthworm,153,stat_points,4,,3.6%,,,2,0,32,0,32,0
Orthworm,153,stat_points,5,,3.0%,,,32,2,32,0,0,0
Orthworm,153,stat_points,6,,1.9%,,,32,0,32,0,0,0
Orthworm,153,stat_points,7,,1.7%,,,31,0,32,0,3,0
Orthworm,153,stat_points,8,,1.7%,,,2,32,32,0,0,0
Orthworm,153,ability,1,Earth Eater,99.3%,,,,,,,,
Orthworm,153,ability,2,Sand Veil,0.7%,,,,,,,,
