pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Paldean Tauros Aqua Breed,181,move,1,Close Combat,79.4%,,,,,,,,
Paldean Tauros Aqua Breed,181,move,2,Aqua Jet,76.7%,,,,,,,,
Paldean Tauros Aqua Breed,181,move,3,Protect,72.9%,,,,,,,,
Paldean Tauros Aqua Breed,181,move,4,Raging Bull,58.7%,,,,,,,,
Paldean Tauros Aqua Breed,181,move,5,Wave Crash,18.2%,,,,,,,,
Paldean Tauros Aqua Breed,181,move,6,Rock Slide,27.2%,,,,,,,,
Paldean Tauros Aqua Breed,181,move,7,Earthquake,21.9%,,,,,,,,
Paldean Tauros Aqua Breed,181,move,8,Wild Charge,11.2%,,,,,,,,
Paldean Tauros Aqua Breed,181,move,9,Iron Head,7.3%,,,,,,,,
Paldean Tauros Aqua Breed,181,move,10,High Horsepower,6.1%,,,,,,,,
Paldean Tauros Aqua Breed,181,held_item,1,Life Orb,43.1%,,,,,,,,
Paldean Tauros Aqua Breed,181,held_item,2,Mystic Water,1.1%,,,,,,,,
Paldean Tauros Aqua Breed,181,held_item,3,Choice Scarf,11.0%,,,,,,,,
Paldean Tauros Aqua Breed,181,held_item,4,White Herb,10.2%,,,,,,,,
Paldean Tauros Aqua Breed,181,held_item,5,Sitrus Berry,9.8%,,,,,,,,
Paldean Tauros Aqua Breed,181,held_item,6,Soft Sand,8.2%,,,,,,,,
Paldean Tauros Aqua Breed,181,held_item,7,Psychic Seed,6.5%,,,,,,,,
Paldean Tauros Aqua Breed,181,held_item,8,King's Rock,3.0%,,,,,,,,
Paldean Tauros Aqua Breed,181,held_item,9,Wide Lens,2.8%,,,,,,,,
Paldean Tauros Aqua Breed,181,held_item,10,Leftovers,1.8%,,,,,,,,
Paldean Tauros Aqua Breed,181,teammate,1,Rillaboom,,,,,,,,,
Paldean Tauros Aqua Breed,181,teammate,2,Indeedee Female,,,,,,,,,
Paldean Tauros Aqua Breed,181,teammate,3,Salamence,,,,,,,,,
Paldean Tauros Aqua Breed,181,teammate,4,Metagross,,,,,,,,,
Paldean Tauros Aqua Breed,181,teammate,5,Kingambit,,,,,,,,,
Paldean Tauros Aqua Breed,181,teammate,6,Talonflame,,,,,,,,,
Paldean Tauros Aqua Breed,181,teammate,7,Raichu,,,,,,,,,
Paldean Tauros Aqua Breed,181,teammate,8,Whimsicott,,,,,,,,,
Paldean Tauros Aqua Breed,181,teammate,9,Pinsir,,,,,,,,,
Paldean Tauros Aqua Breed,181,teammate,10,Farigiraf,,,,,,,,,
Paldean Tauros Aqua Breed,181,stat_alignment,1,Adamant,57.4%,Attack,Sp. Atk,,,,,,
Paldean Tauros Aqua Breed,181,stat_alignment,2,Jolly,31.6%,Speed,Sp. Atk,,,,,,
Paldean Tauros Aqua Breed,181,stat_alignment,3,Careful,7.3%,Sp. Def,Sp. Atk,,,,,,
Paldean Tauros Aqua Breed,181,stat_alignment,4,Lonely,1.9%,Attack,Defense,,,,,,
Paldean Tauros Aqua Breed,181,stat_alignment,5,Brave,0.7%,Attack,Speed,,,,,,
Paldean Tauros Aqua Breed,181,stat_alignment,6,Hasty,0.4%,Speed,Defense,,,,,,
Paldean Tauros Aqua Breed,181,stat_alignment,7,Naughty,0.4%,Attack,Sp. Def,,,,,,
Paldean Tauros Aqua Breed,181,stat_alignment,8,Impish,0.2%,Defense,Sp. Atk,,,,,,
Paldean Tauros Aqua Breed,181,stat_points,1,,28.3%,,,2,32,0,0,0,32
Paldean Tauros Aqua Breed,181,stat_points,2,,10.2%,,,5,32,0,0,0,29
Paldean Tauros Aqua Breed,181,stat_points,3,,5.9%,,,19,16,0,0,20,11
Paldean Tauros Aqua Breed,181,stat_points,4,,5.4%,,,5,32,29,0,0,0
Paldean Tauros Aqua Breed,181,stat_points,5,,5.1%,,,0,32,2,0,0,32
Paldean Tauros Aqua Breed,181,stat_points,6,,4.9%,,,15,10,8,0,1,32
Paldean Tauros Aqua Breed,181,stat_points,7,,4.2%,,,0,32,0,0,2,32
Paldean Tauros Aqua Breed,181,stat_points,8,,3.2%,,,32,32,0,0,0,2
Paldean Tauros Aqua Breed,181,stat_points,9,,2.2%,,,22,12,0,0,0,32
Paldean Tauros Aqua Breed,181,stat_points,10,,1.7%,,,26,30,5,0,5,0
Paldean Tauros Aqua Breed,181,ability,1,Intimidate,57.3%,,,,,,,,
Paldean Tauros Aqua Breed,181,ability,2,Anger Point,41.3%,,,,,,,,
Paldean Tauros Aqua Breed,181,ability,3,Cud Chew,1.4%,,,,,,,,
