pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Pinsir,227,move,1,Feint,58.2%,,,,,,,,
Pinsir,227,move,2,Body Slam,55.8%,,,,,,,,
Pinsir,227,move,3,Storm Throw,48.0%,,,,,,,,
Pinsir,227,move,4,Detect,41.5%,,,,,,,,
Pinsir,227,move,5,Protect,37.8%,,,,,,,,
Pinsir,227,move,6,Lunge,28.1%,,,,,,,,
Pinsir,227,move,7,Close Combat,20.6%,,,,,,,,
Pinsir,227,move,8,X-Scissor,16.0%,,,,,,,,
Pinsir,227,move,9,Quick Attack,14.7%,,,,,,,,
Pinsir,227,move,10,Rock Slide,13.8%,,,,,,,,
Pinsir,227,held_item,1,Pinsirite,84.8%,,,,,,,,
Pinsir,227,held_item,2,Expert Belt,2.9%,,,,,,,,
Pinsir,227,held_item,3,Life Orb,1.9%,,,,,,,,
Pinsir,227,held_item,4,Quick Claw,1.6%,,,,,,,,
Pinsir,227,held_item,5,Silver Powder,1.5%,,,,,,,,
Pinsir,227,held_item,6,Metronome,1.3%,,,,,,,,
Pinsir,227,held_item,7,Choice Scarf,1.3%,,,,,,,,
Pinsir,227,held_item,8,Wide Lens,0.8%,,,,,,,,
Pinsir,227,held_item,9,Sitrus Berry,0.7%,,,,,,,,
Pinsir,227,held_item,10,Focus Sash,0.7%,,,,,,,,
Pinsir,227,teammate,1,Metagross,,,,,,,,,
Pinsir,227,teammate,2,Tauros-Paldea-Aqua,,,,,,,,,
Pinsir,227,teammate,3,Talonflame,,,,,,,,,
Pinsir,227,teammate,4,Whimsicott,,,,,,,,,
Pinsir,227,teammate,5,Farigiraf,,,,,,,,,
Pinsir,227,teammate,6,Garchomp,,,,,,,,,
Pinsir,227,teammate,7,Rillaboom,,,,,,,,,
Pinsir,227,teammate,8,Incineroar,,,,,,,,,
Pinsir,227,teammate,9,Volcarona,,,,,,,,,
Pinsir,227,teammate,10,Charizard,,,,,,,,,
Pinsir,227,stat_alignment,1,Jolly,63.8%,Speed,Sp. Atk,,,,,,
Pinsir,227,stat_alignment,2,Adamant,24.2%,Attack,Sp. Atk,,,,,,
Pinsir,227,stat_alignment,3,Brave,2.3%,Attack,Speed,,,,,,
Pinsir,227,stat_alignment,4,Timid,1.7%,Speed,Attack,,,,,,
Pinsir,227,stat_alignment,5,Naughty,1.3%,Attack,Sp. Def,,,,,,
Pinsir,227,stat_alignment,6,Serious,1.2%,,,,,,,,
Pinsir,227,stat_alignment,7,Impish,1.2%,Defense,Sp. Atk,,,,,,
Pinsir,227,stat_alignment,8,Lonely,1.1%,Attack,Defense,,,,,,
Pinsir,227,stat_alignment,9,Sassy,1.1%,Sp. Def,Speed,,,,,,
Pinsir,227,stat_alignment,10,Lax,0.9%,Defense,Sp. Def,,,,,,
Pinsir,227,stat_points,1,,23.6%,,,2,32,0,0,0,32
Pinsir,227,stat_points,2,,12.2%,,,32,0,2,0,0,32
Pinsir,227,stat_points,3,,7.7%,,,0,32,0,0,2,32
Pinsir,227,stat_points,4,,4.4%,,,2,32,0,0,32,0
Pinsir,227,stat_points,5,,4.2%,,,0,32,2,0,0,32
Pinsir,227,stat_points,6,,4.0%,,,1,32,1,0,0,32
Pinsir,227,stat_points,7,,3.7%,,,13,0,21,0,0,32
Pinsir,227,stat_points,8,,2.8%,,,32,32,0,0,0,2
Pinsir,227,stat_points,9,,2.6%,,,0,32,0,0,0,32
Pinsir,227,stat_points,10,,2.3%,,,10,24,0,0,0,32
Pinsir,227,ability,1,Hyper Cutter,73.4%,,,,,,,,
Pinsir,227,ability,2,Moxie,15.0%,,,,,,,,
Pinsir,227,ability,3,Mold Breaker,11.6%,,,,,,,,
