pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Rhyperior,161,move,1,Rock Slide,71.2%,,,,,,,,
Rhyperior,161,move,2,Protect,66.0%,,,,,,,,
Rhyperior,161,move,3,High Horsepower,36.0%,,,,,,,,
Rhyperior,161,move,4,Ice Punch,34.2%,,,,,,,,
Rhyperior,161,move,5,Earthquake,59.4%,,,,,,,,
Rhyperior,161,move,6,Hammer Arm,8.9%,,,,,,,,
Rhyperior,161,move,7,Rock Wrecker,8.7%,,,,,,,,
Rhyperior,161,move,8,Thunder Punch,7.8%,,,,,,,,
Rhyperior,161,move,9,Temper Flare,4.8%,,,,,,,,
Rhyperior,161,move,10,Heat Crash,4.5%,,,,,,,,
Rhyperior,161,held_item,1,Life Orb,63.0%,,,,,,,,
Rhyperior,161,held_item,2,Soft Sand,1.2%,,,,,,,,
Rhyperior,161,held_item,3,Hard Stone,6.3%,,,,,,,,
Rhyperior,161,held_item,4,Unknown Item 278,6.3%,,,,,,,,
Rhyperior,161,held_item,5,Leftovers,6.2%,,,,,,,,
Rhyperior,161,held_item,6,Focus Sash,6.0%,,,,,,,,
Rhyperior,161,held_item,7,White Herb,4.5%,,,,,,,,
Rhyperior,161,held_item,8,Quick Claw,4.5%,,,,,,,,
Rhyperior,161,held_item,9,Sitrus Berry,3.7%,,,,,,,,
Rhyperior,161,held_item,10,Expert Belt,3.0%,,,,,,,,
Rhyperior,161,teammate,1,Indeedee Female,,,,,,,,,
Rhyperior,161,teammate,2,Torkoal,,,,,,,,,
Rhyperior,161,teammate,3,Golisopod,,,,,,,,,
Rhyperior,161,teammate,4,Hatterene,,,,,,,,,
Rhyperior,161,teammate,5,Farigiraf,,,,,,,,,
Rhyperior,161,teammate,6,Armarouge,,,,,,,,,
Rhyperior,161,teammate,7,Incineroar,,,,,,,,,
Rhyperior,161,teammate,8,Kingambit,,,,,,,,,
Rhyperior,161,teammate,9,Pelipper,,,,,,,,,
Rhyperior,161,teammate,10,Rillaboom,,,,,,,,,
Rhyperior,161,stat_alignment,1,Brave,49.1%,Attack,Speed,,,,,,
Rhyperior,161,stat_alignment,2,Adamant,30.3%,Attack,Sp. Atk,,,,,,
Rhyperior,161,stat_alignment,3,Sassy,3.7%,Sp. Def,Speed,,,,,,
Rhyperior,161,stat_alignment,4,Jolly,3.3%,Speed,Sp. Atk,,,,,,
Rhyperior,161,stat_alignment,5,Careful,2.5%,Sp. Def,Sp. Atk,,,,,,
Rhyperior,161,stat_alignment,6,Impish,0.4%,Defense,Sp. Atk,,,,,,
Rhyperior,161,stat_alignment,7,Relaxed,0.3%,Defense,Speed,,,,,,
Rhyperior,161,stat_alignment,8,Serious,0.3%,,,,,,,,
Rhyperior,161,stat_points,1,,19.5%,,,32,32,0,0,2,0
Rhyperior,161,stat_points,2,,17.5%,,,32,32,2,0,0,0
Rhyperior,161,stat_points,3,,9.4%,,,2,32,0,0,32,0
Rhyperior,161,stat_points,4,,5.5%,,,0,32,2,0,32,0
Rhyperior,161,stat_points,5,,4.0%,,,29,32,0,0,5,0
Rhyperior,161,stat_points,6,,2.4%,,,2,32,0,0,0,32
Rhyperior,161,stat_points,7,,2.4%,,,18,10,6,0,32,0
Rhyperior,161,stat_points,8,,2.1%,,,0,32,32,0,0,0
Rhyperior,161,stat_points,9,,2.0%,,,32,32,1,0,0,0
Rhyperior,161,stat_points,10,,1.9%,,,0,32,23,0,11,0
Rhyperior,161,ability,1,Solid Rock,83.9%,,,,,,,,
Rhyperior,161,ability,2,Lightning Rod,15.9%,,,,,,,,
Rhyperior,161,ability,3,Reckless,0.2%,,,,,,,,
