pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Roserade,237,move,1,Sludge Bomb,96.1%,,,,,,,,
Roserade,237,move,2,Protect,30.2%,,,,,,,,
Roserade,237,move,3,Giga Drain,16.7%,,,,,,,,
Roserade,237,move,4,Energy Ball,30.9%,,,,,,,,
Roserade,237,move,5,Leaf Storm,9.3%,,,,,,,,
Roserade,237,move,6,Sleep Powder,28.2%,,,,,,,,
Roserade,237,move,7,Dazzling Gleam,27.8%,,,,,,,,
Roserade,237,move,8,Toxic,23.2%,,,,,,,,
Roserade,237,move,9,Shadow Ball,1.4%,,,,,,,,
Roserade,237,move,10,Petal Dance,17.0%,,,,,,,,
Roserade,237,held_item,1,Choice Scarf,21.4%,,,,,,,,
Roserade,237,held_item,2,Big Root,19.7%,,,,,,,,
Roserade,237,held_item,3,Life Orb,6.9%,,,,,,,,
Roserade,237,held_item,4,Unknown Item 267,5.4%,,,,,,,,
Roserade,237,held_item,5,Focus Sash,13.5%,,,,,,,,
Roserade,237,held_item,6,Psychic Seed,13.5%,,,,,,,,
Roserade,237,held_item,7,Expert Belt,3.1%,,,,,,,,
Roserade,237,held_item,8,Unknown Item 253,11.9%,,,,,,,,
Roserade,237,held_item,9,Wide Lens,1.9%,,,,,,,,
Roserade,237,held_item,10,Bright Powder,1.2%,,,,,,,,
Roserade,237,teammate,1,Weavile,,,,,,,,,
Roserade,237,teammate,2,Greninja,,,,,,,,,
Roserade,237,teammate,3,Golisopod,,,,,,,,,
Roserade,237,teammate,4,Ceruledge,,,,,,,,,
Roserade,237,teammate,5,Infernape,,,,,,,,,
Roserade,237,teammate,6,Mimikyu,,,,,,,,,
Roserade,237,teammate,7,Dragonite,,,,,,,,,
Roserade,237,teammate,8,Camerupt,,,,,,,,,
Roserade,237,teammate,9,Toxicroak,,,,,,,,,
Roserade,237,teammate,10,Lycanroc Dusk Form,,,,,,,,,
Roserade,237,stat_alignment,1,Modest,39.9%,Sp. Atk,Attack,,,,,,
Roserade,237,stat_alignment,2,Timid,16.6%,Speed,Attack,,,,,,
Roserade,237,stat_alignment,3,Hasty,1.9%,Speed,Defense,,,,,,
Roserade,237,stat_alignment,4,Brave,0.8%,Attack,Speed,,,,,,
Roserade,237,stat_alignment,5,Mild,0.4%,Sp. Atk,Defense,,,,,,
Roserade,237,stat_alignment,6,Quiet,0.4%,Sp. Atk,Speed,,,,,,
Roserade,237,stat_points,1,,20.1%,,,5,0,0,31,0,30
Roserade,237,stat_points,2,,19.7%,,,0,0,0,32,32,2
Roserade,237,stat_points,3,,19.7%,,,2,0,0,32,0,32
Roserade,237,stat_points,4,,15.8%,,,6,0,9,32,0,19
Roserade,237,stat_points,5,,9.7%,,,0,0,2,32,0,32
Roserade,237,stat_points,6,,5.4%,,,0,0,10,32,16,8
Roserade,237,stat_points,7,,1.9%,,,0,0,0,32,2,32
Roserade,237,stat_points,8,,1.9%,,,32,0,27,0,0,7
Roserade,237,stat_points,9,,1.5%,,,0,0,0,32,0,32
Roserade,237,stat_points,10,,1.2%,,,0,0,10,32,24,0
Roserade,237,ability,1,Poison Point,78.0%,,,,,,,,
Roserade,237,ability,2,Technician,12.3%,,,,,,,,
Roserade,237,ability,3,Natural Cure,9.7%,,,,,,,,
