pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Rotom,258,move,1,Will-O-Wisp,79.2%,,,,,,,,
Rotom,258,move,2,Shadow Ball,54.3%,,,,,,,,
Rotom,258,move,3,Volt Switch,47.7%,,,,,,,,
Rotom,258,move,4,Trick,43.7%,,,,,,,,
Rotom,258,move,5,Discharge,35.5%,,,,,,,,
Rotom,258,move,6,Thunderbolt,33.5%,,,,,,,,
Rotom,258,move,7,Protect,29.9%,,,,,,,,
Rotom,258,move,8,Thunder,22.3%,,,,,,,,
Rotom,258,move,9,Hex,14.2%,,,,,,,,
Rotom,258,move,10,Dark Pulse,7.1%,,,,,,,,
Rotom,258,held_item,1,Choice Scarf,45.7%,,,,,,,,
Rotom,258,held_item,2,Focus Sash,19.3%,,,,,,,,
Rotom,258,held_item,3,Bright Powder,8.6%,,,,,,,,
Rotom,258,held_item,4,Wide Lens,8.6%,,,,,,,,
Rotom,258,held_item,5,Colbur Berry,7.6%,,,,,,,,
Rotom,258,held_item,6,Life Orb,4.6%,,,,,,,,
Rotom,258,held_item,7,Sitrus Berry,3.0%,,,,,,,,
Rotom,258,held_item,8,Expert Belt,1.0%,,,,,,,,
Rotom,258,held_item,9,Light Clay,1.0%,,,,,,,,
Rotom,258,held_item,10,Terrain Extender,0.5%,,,,,,,,
Rotom,258,teammate,1,Garchomp,,,,,,,,,
Rotom,258,teammate,2,Incineroar,,,,,,,,,
Rotom,258,teammate,3,Rillaboom,,,,,,,,,
Rotom,258,teammate,4,Golisopod,,,,,,,,,
Rotom,258,teammate,5,Pelipper,,,,,,,,,
Rotom,258,teammate,6,Charizard,,,,,,,,,
Rotom,258,teammate,7,Sceptile,,,,,,,,,
Rotom,258,teammate,8,Indeedee-F,,,,,,,,,
Rotom,258,teammate,9,Armarouge,,,,,,,,,
Rotom,258,teammate,10,Swampert,,,,,,,,,
Rotom,258,stat_alignment,1,Timid,66.5%,Speed,Attack,,,,,,
Rotom,258,stat_alignment,2,Modest,15.2%,Sp. Atk,Attack,,,,,,
Rotom,258,stat_alignment,3,Bold,8.6%,Defense,Attack,,,,,,
Rotom,258,stat_alignment,4,Calm,7.6%,Sp. Def,Attack,,,,,,
Rotom,258,stat_alignment,5,Quiet,2.0%,Sp. Atk,Speed,,,,,,
Rotom,258,stat_points,1,,25.9%,,,2,0,0,32,0,32
Rotom,258,stat_points,2,,15.2%,,,32,0,0,23,0,11
Rotom,258,stat_points,3,,8.6%,,,32,0,0,2,0,32
Rotom,258,stat_points,4,,8.6%,,,32,0,24,0,10,0
Rotom,258,stat_points,5,,8.1%,,,0,0,2,32,32,0
Rotom,258,stat_points,6,,7.6%,,,6,0,0,32,0,28
Rotom,258,stat_points,7,,4.6%,,,0,0,1,32,1,32
Rotom,258,stat_points,8,,3.6%,,,0,0,0,32,32,2
Rotom,258,stat_points,9,,3.0%,,,32,0,1,32,1,0
Rotom,258,stat_points,10,,2.5%,,,0,0,2,32,0,32
Rotom,258,ability,1,Levitate,100.0%,,,,,,,,
