pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Runerigus,177,move,1,Trick Room,91.2%,,,,,,,,
Runerigus,177,move,2,Body Press,52.1%,,,,,,,,
Runerigus,177,move,3,Will-O-Wisp,41.3%,,,,,,,,
Runerigus,177,move,4,Ally Switch,38.0%,,,,,,,,
Runerigus,177,move,5,Poltergeist,37.5%,,,,,,,,
Runerigus,177,move,6,Earthquake,21.1%,,,,,,,,
Runerigus,177,move,7,Destiny Bond,20.8%,,,,,,,,
Runerigus,177,move,8,Protect,15.5%,,,,,,,,
Runerigus,177,move,9,Iron Defense,13.6%,,,,,,,,
Runerigus,177,move,10,Rock Slide,13.5%,,,,,,,,
Runerigus,177,held_item,1,Leftovers,25.9%,,,,,,,,
Runerigus,177,held_item,2,Focus Sash,17.0%,,,,,,,,
Runerigus,177,held_item,3,Sitrus Berry,15.6%,,,,,,,,
Runerigus,177,held_item,4,Mental Herb,11.1%,,,,,,,,
Runerigus,177,held_item,5,Colbur Berry,7.1%,,,,,,,,
Runerigus,177,held_item,6,Rocky Helmet,4.1%,,,,,,,,
Runerigus,177,held_item,7,Grassy Seed,2.4%,,,,,,,,
Runerigus,177,held_item,8,Kasib Berry,2.0%,,,,,,,,
Runerigus,177,held_item,9,Psychic Seed,2.0%,,,,,,,,
Runerigus,177,held_item,10,Expert Belt,1.9%,,,,,,,,
Runerigus,177,teammate,1,Golisopod,,,,,,,,,
Runerigus,177,teammate,2,Rillaboom,,,,,,,,,
Runerigus,177,teammate,3,Tyranitar,,,,,,,,,
Runerigus,177,teammate,4,Mawile,,,,,,,,,
Runerigus,177,teammate,5,Torkoal,,,,,,,,,
Runerigus,177,teammate,6,Incineroar,,,,,,,,,
Runerigus,177,teammate,7,Indeedee-F,,,,,,,,,
Runerigus,177,teammate,8,Charizard,,,,,,,,,
Runerigus,177,teammate,9,Armarouge,,,,,,,,,
Runerigus,177,teammate,10,Ampharos,,,,,,,,,
Runerigus,177,stat_alignment,1,Relaxed,39.8%,Defense,Speed,,,,,,
Runerigus,177,stat_alignment,2,Sassy,20.7%,Sp. Def,Speed,,,,,,
Runerigus,177,stat_alignment,3,Brave,15.6%,Attack,Speed,,,,,,
Runerigus,177,stat_alignment,4,Impish,10.8%,Defense,Sp. Atk,,,,,,
Runerigus,177,stat_alignment,5,Careful,6.1%,Sp. Def,Sp. Atk,,,,,,
Runerigus,177,stat_alignment,6,Adamant,2.5%,Attack,Sp. Atk,,,,,,
Runerigus,177,stat_alignment,7,Quiet,1.9%,Sp. Atk,Speed,,,,,,
Runerigus,177,stat_alignment,8,Bold,1.9%,Defense,Attack,,,,,,
Runerigus,177,stat_alignment,9,Calm,0.6%,Sp. Def,Attack,,,,,,
Runerigus,177,stat_alignment,10,Jolly,0.2%,Speed,Sp. Atk,,,,,,
Runerigus,177,stat_points,1,,20.3%,,,32,0,32,0,2,0
Runerigus,177,stat_points,2,,6.7%,,,32,0,25,0,9,0
Runerigus,177,stat_points,3,,6.4%,,,32,0,2,0,32,0
Runerigus,177,stat_points,4,,4.1%,,,2,0,32,0,32,0
Runerigus,177,stat_points,5,,3.9%,,,32,0,19,0,15,0
Runerigus,177,stat_points,6,,3.6%,,,32,0,5,0,29,0
Runerigus,177,stat_points,7,,3.2%,,,32,2,0,0,32,0
Runerigus,177,stat_points,8,,3.1%,,,32,32,0,0,2,0
Runerigus,177,stat_points,9,,2.8%,,,2,32,32,0,0,0
Runerigus,177,stat_points,10,,2.8%,,,32,32,2,0,0,0
Runerigus,177,ability,1,Wandering Spirit,100.0%,,,,,,,,
