pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Scovillain,39,move,6,Flamethrower,31.1%,,,,,,,,
Scovillain,39,move,7,Burning Jealousy,3.2%,,,,,,,,
Scovillain,39,move,8,Energy Ball,2.0%,,,,,,,,
Scovillain,39,move,9,Spicy Extract,1.9%,,,,,,,,
Scovillain,39,move,10,Leaf Storm,1.9%,,,,,,,,
Scovillain,39,held_item,1,Scovillainite,95.8%,,,,,,,,
Scovillain,39,held_item,2,Leftovers,0.8%,,,,,,,,
Scovillain,39,held_item,3,Sitrus Berry,0.6%,,,,,,,,
Scovillain,39,held_item,4,Focus Sash,0.6%,,,,,,,,
Scovillain,39,held_item,5,Life Orb,0.5%,,,,,,,,
Scovillain,39,held_item,6,Big Root,0.2%,,,,,,,,
Scovillain,39,held_item,7,Choice Scarf,0.2%,,,,,,,,
Scovillain,39,held_item,8,Charcoal,0.2%,,,,,,,,
Scovillain,39,held_item,9,White Herb,0.1%,,,,,,,,
Scovillain,39,held_item,10,Quick Claw,0.1%,,,,,,,,
Scovillain,39,teammate,1,Basculegion Male,,,,,,,,,
Scovillain,39,teammate,2,Kingambit,,,,,,,,,
Scovillain,39,teammate,3,Sneasler,,,,,,,,,
Scovillain,39,teammate,4,Froslass,,,,,,,,,
Scovillain,39,teammate,5,Lycanroc Dusk Form,,,,,,,,,
Scovillain,39,teammate,6,Farigiraf,,,,,,,,,
Scovillain,39,teammate,7,Incineroar,,,,,,,,,
Scovillain,39,teammate,8,Tyranitar,,,,,,,,,
Scovillain,39,teammate,9,Garchomp,,,,,,,,,
Scovillain,39,teammate,10,Gholdengo,,,,,,,,,
Scovillain,39,stat_alignment,1,Bold,60.0%,Defense,Attack,,,,,,
Scovillain,39,stat_alignment,2,Calm,22.0%,Sp. Def,Attack,,,,,,
Scovillain,39,stat_alignment,3,Modest,8.1%,Sp. Atk,Attack,,,,,,
Scovillain,39,stat_alignment,4,Relaxed,2.7%,Defense,Speed,,,,,,
Scovillain,39,stat_alignment,5,Timid,2.0%,Speed,Attack,,,,,,
Scovillain,39,stat_alignment,6,Quiet,2.0%,Sp. Atk,Speed,,,,,,
Scovillain,39,stat_alignment,7,Sassy,1.0%,Sp. Def,Speed,,,,,,
Scovillain,39,stat_alignment,8,Mild,1.0%,Sp. Atk,Defense,,,,,,
Scovillain,39,stat_alignment,9,Impish,1.0%,Defense,Sp. Atk,,,,,,
Scovillain,39,stat_alignment,10,Serious,0.2%,,,,,,,,
Scovillain,39,stat_points,1,,18.7%,,,32,0,19,0,15,0
Scovillain,39,stat_points,2,,10.8%,,,32,0,15,0,19,0
Scovillain,39,stat_points,3,,10.1%,,,32,0,32,0,2,0
Scovillain,39,stat_points,4,,6.3%,,,32,0,10,2,10,12
Scovillain,39,stat_points,5,,2.3%,,,32,0,25,0,9,0
Scovillain,39,stat_points,6,,1.5%,,,31,0,17,0,18,0
Scovillain,39,stat_points,7,,1.5%,,,2,0,32,0,32,0
Scovillain,39,stat_points,8,,1.3%,,,32,0,2,0,32,0
Scovillain,39,stat_points,9,,1.2%,,,32,0,17,0,17,0
Scovillain,39,stat_points,10,,1.1%,,,32,0,9,0,25,0
Scovillain,39,ability,1,Moody,83.5%,,,,,,,,
Scovillain,39,ability,2,Chlorophyll,10.9%,,,,,,,,
Scovillain,39,ability,3,Insomnia,5.6%,,,,,,,,
