pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Sinistcha,24,move,1,Matcha Gotcha,98.1%,,,,,,,,
Sinistcha,24,move,2,Rage Powder,97.3%,,,,,,,,
Sinistcha,24,move,3,Trick Room,72.6%,,,,,,,,
Sinistcha,24,move,4,Protect,60.7%,,,,,,,,
Sinistcha,24,move,5,Life Dew,38.9%,,,,,,,,
Sinistcha,24,move,6,Shadow Ball,15.4%,,,,,,,,
Sinistcha,24,move,7,Strength Sap,7.8%,,,,,,,,
Sinistcha,24,move,8,Imprison,3.3%,,,,,,,,
Sinistcha,24,move,9,Scald,0.9%,,,,,,,,
Sinistcha,24,move,10,Psych Up,0.7%,,,,,,,,
Sinistcha,24,held_item,1,Sitrus Berry,28.9%,,,,,,,,
Sinistcha,24,held_item,2,Colbur Berry,26.3%,,,,,,,,
Sinistcha,24,held_item,3,Kasib Berry,10.6%,,,,,,,,
Sinistcha,24,held_item,4,Leftovers,7.7%,,,,,,,,
Sinistcha,24,held_item,5,Occa Berry,5.9%,,,,,,,,
Sinistcha,24,held_item,6,Rocky Helmet,4.6%,,,,,,,,
Sinistcha,24,held_item,7,Unknown Item 192,4.6%,,,,,,,,
Sinistcha,24,held_item,8,Focus Sash,3.6%,,,,,,,,
Sinistcha,24,held_item,9,Eject Button,2.1%,,,,,,,,
Sinistcha,24,held_item,10,Bright Powder,1.2%,,,,,,,,
Sinistcha,24,teammate,1,Golisopod,,,,,,,,,
Sinistcha,24,teammate,2,Incineroar,,,,,,,,,
Sinistcha,24,teammate,3,Archaludon,,,,,,,,,
Sinistcha,24,teammate,4,Pelipper,,,,,,,,,
Sinistcha,24,teammate,5,Sneasler,,,,,,,,,
Sinistcha,24,teammate,6,Grimmsnarl,,,,,,,,,
Sinistcha,24,teammate,7,Indeedee-F,,,,,,,,,
Sinistcha,24,teammate,8,Salamence,,,,,,,,,
Sinistcha,24,teammate,9,Tyranitar,,,,,,,,,
Sinistcha,24,teammate,10,Milotic,,,,,,,,,
Sinistcha,24,stat_alignment,1,Bold,47.4%,Defense,Attack,,,,,,
Sinistcha,24,stat_alignment,2,Calm,21.2%,Sp. Def,Attack,,,,,,
Sinistcha,24,stat_alignment,3,Relaxed,14.2%,Defense,Speed,,,,,,
Sinistcha,24,stat_alignment,4,Modest,6.6%,Sp. Atk,Attack,,,,,,
Sinistcha,24,stat_alignment,5,Sassy,6.6%,Sp. Def,Speed,,,,,,
Sinistcha,24,stat_alignment,6,Quiet,2.8%,Sp. Atk,Speed,,,,,,
Sinistcha,24,stat_alignment,7,Timid,0.8%,Speed,Attack,,,,,,
Sinistcha,24,stat_alignment,8,Mild,0.1%,Sp. Atk,Defense,,,,,,
Sinistcha,24,stat_alignment,9,Impish,0.1%,Defense,Sp. Atk,,,,,,
Sinistcha,24,stat_alignment,10,Careful,0.1%,Sp. Def,Sp. Atk,,,,,,
Sinistcha,24,stat_points,1,,18.8%,,,32,0,14,0,20,0
Sinistcha,24,stat_points,2,,17.1%,,,32,0,4,0,30,0
Sinistcha,24,stat_points,3,,6.9%,,,32,0,2,0,32,0
Sinistcha,24,stat_points,4,,2.8%,,,32,0,32,0,2,0
Sinistcha,24,stat_points,5,,2.6%,,,29,0,15,0,22,0
Sinistcha,24,stat_points,6,,2.3%,,,32,0,10,0,24,0
Sinistcha,24,stat_points,7,,2.1%,,,32,0,24,0,10,0
Sinistcha,24,stat_points,8,,1.1%,,,32,0,2,32,0,0
Sinistcha,24,stat_points,9,,1.1%,,,31,0,15,0,20,0
Sinistcha,24,stat_points,10,,1.0%,,,32,0,16,0,18,0
Sinistcha,24,ability,1,Hospitality,98.8%,,,,,,,,
Sinistcha,24,ability,2,Heatproof,1.2%,,,,,,,,
