pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Skarmory,123,move,1,Iron Head,90.7%,,,,,,,,
Skarmory,123,move,2,Brave Bird,75.7%,,,,,,,,
Skarmory,123,move,3,Protect,72.3%,,,,,,,,
Skarmory,123,move,4,Tailwind,36.9%,,,,,,,,
Skarmory,123,move,5,Swords Dance,20.3%,,,,,,,,
Skarmory,123,move,6,Drill Run,16.9%,,,,,,,,
Skarmory,123,move,7,Body Press,12.0%,,,,,,,,
Skarmory,123,move,8,Rock Slide,10.1%,,,,,,,,
Skarmory,123,move,9,Taunt,9.4%,,,,,,,,
Skarmory,123,move,10,Dual Wingbeat,8.9%,,,,,,,,
Skarmory,123,held_item,1,Skarmorite,86.0%,,,,,,,,
Skarmory,123,held_item,2,Rocky Helmet,5.1%,,,,,,,,
Skarmory,123,held_item,3,Leftovers,2.8%,,,,,,,,
Skarmory,123,held_item,4,Sitrus Berry,2.1%,,,,,,,,
Skarmory,123,held_item,5,Sharp Beak,1.3%,,,,,,,,
Skarmory,123,held_item,6,Quick Claw,0.5%,,,,,,,,
Skarmory,123,held_item,7,Occa Berry,0.4%,,,,,,,,
Skarmory,123,held_item,8,Bright Powder,0.3%,,,,,,,,
Skarmory,123,held_item,9,White Herb,0.3%,,,,,,,,
Skarmory,123,held_item,10,Life Orb,0.3%,,,,,,,,
Skarmory,123,teammate,1,Sneasler,,,,,,,,,
Skarmory,123,teammate,2,Garchomp,,,,,,,,,
Skarmory,123,teammate,3,Rillaboom,,,,,,,,,
Skarmory,123,teammate,4,Incineroar,,,,,,,,,
Skarmory,123,teammate,5,Milotic,,,,,,,,,
Skarmory,123,teammate,6,Indeedee-F,,,,,,,,,
Skarmory,123,teammate,7,Salamence,,,,,,,,,
Skarmory,123,teammate,8,Tyranitar,,,,,,,,,
Skarmory,123,teammate,9,Whimsicott,,,,,,,,,
Skarmory,123,teammate,10,Armarouge,,,,,,,,,
Skarmory,123,stat_alignment,1,Adamant,45.5%,Attack,Sp. Atk,,,,,,
Skarmory,123,stat_alignment,2,Jolly,41.4%,Speed,Sp. Atk,,,,,,
Skarmory,123,stat_alignment,3,Impish,7.3%,Defense,Sp. Atk,,,,,,
Skarmory,123,stat_alignment,4,Careful,3.6%,Sp. Def,Sp. Atk,,,,,,
Skarmory,123,stat_alignment,5,Brave,0.7%,Attack,Speed,,,,,,
Skarmory,123,stat_alignment,6,Lax,0.4%,Defense,Sp. Def,,,,,,
Skarmory,123,stat_alignment,7,Naughty,0.3%,Attack,Sp. Def,,,,,,
Skarmory,123,stat_alignment,8,Bold,0.2%,Defense,Attack,,,,,,
Skarmory,123,stat_alignment,9,Gentle,0.1%,Sp. Def,Defense,,,,,,
Skarmory,123,stat_alignment,10,Timid,0.1%,Speed,Attack,,,,,,
Skarmory,123,stat_points,1,,32.7%,,,2,32,0,0,0,32
Skarmory,123,stat_points,2,,4.9%,,,9,32,0,0,0,25
Skarmory,123,stat_points,3,,3.7%,,,0,32,0,0,2,32
Skarmory,123,stat_points,4,,3.5%,,,11,32,0,0,0,23
Skarmory,123,stat_points,5,,2.3%,,,11,30,0,0,0,25
Skarmory,123,stat_points,6,,1.7%,,,0,32,2,0,0,32
Skarmory,123,stat_points,7,,1.6%,,,0,32,0,0,0,32
Skarmory,123,stat_points,8,,1.5%,,,32,2,0,0,0,32
Skarmory,123,stat_points,9,,1.5%,,,2,32,32,0,0,0
Skarmory,123,stat_points,10,,1.5%,,,1,32,0,0,1,32
Skarmory,123,ability,1,Sturdy,68.8%,,,,,,,,
Skarmory,123,ability,2,Weak Armor,27.2%,,,,,,,,
Skarmory,123,ability,3,Keen Eye,4.0%,,,,,,,,
