pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Squawkabilly-Yellow,181,move,1,Brave Bird,77.6%,,,,,,,,
Squawkabilly-Yellow,181,move,2,Final Gambit,66.8%,,,,,,,,
Squawkabilly-Yellow,181,move,3,Parting Shot,57.1%,,,,,,,,
Squawkabilly-Yellow,181,move,4,Tailwind,43.4%,,,,,,,,
Squawkabilly-Yellow,181,move,5,Foul Play,22.2%,,,,,,,,
Squawkabilly-Yellow,181,move,6,U-turn,20.7%,,,,,,,,
Squawkabilly-Yellow,181,move,7,Protect,17.7%,,,,,,,,
Squawkabilly-Yellow,181,move,8,Lash Out,15.8%,,,,,,,,
Squawkabilly-Yellow,181,move,9,Fly,11.6%,,,,,,,,
Squawkabilly-Yellow,181,move,10,Endure,10.7%,,,,,,,,
Squawkabilly-Yellow,181,held_item,1,Choice Scarf,70.7%,,,,,,,,
Squawkabilly-Yellow,181,held_item,2,Focus Sash,19.9%,,,,,,,,
Squawkabilly-Yellow,181,held_item,3,Life Orb,5.8%,,,,,,,,
Squawkabilly-Yellow,181,held_item,4,Sitrus Berry,0.7%,,,,,,,,
Squawkabilly-Yellow,181,held_item,5,Sharp Beak,0.7%,,,,,,,,
Squawkabilly-Yellow,181,held_item,6,Quick Claw,0.5%,,,,,,,,
Squawkabilly-Yellow,181,held_item,7,Wide Lens,0.5%,,,,,,,,
Squawkabilly-Yellow,181,held_item,8,Rocky Helmet,0.4%,,,,,,,,
Squawkabilly-Yellow,181,held_item,9,Bright Powder,0.4%,,,,,,,,
Squawkabilly-Yellow,181,held_item,10,Iron Ball,0.3%,,,,,,,,
Squawkabilly-Yellow,181,teammate,1,Golisopod,,,,,,,,,
Squawkabilly-Yellow,181,teammate,2,Rillaboom,,,,,,,,,
Squawkabilly-Yellow,181,teammate,3,Farigiraf,,,,,,,,,
Squawkabilly-Yellow,181,teammate,4,Pelipper,,,,,,,,,
Squawkabilly-Yellow,181,teammate,5,Indeedee-F,,,,,,,,,
Squawkabilly-Yellow,181,teammate,6,Salamence,,,,,,,,,
Squawkabilly-Yellow,181,teammate,7,Basculegion,,,,,,,,,
Squawkabilly-Yellow,181,teammate,8,Politoed,,,,,,,,,
Squawkabilly-Yellow,181,teammate,9,Incineroar,,,,,,,,,
Squawkabilly-Yellow,181,teammate,10,Kingambit,,,,,,,,,
Squawkabilly-Yellow,181,stat_alignment,1,Jolly,67.1%,Speed,Sp. Atk,,,,,,
Squawkabilly-Yellow,181,stat_alignment,2,Adamant,14.0%,Attack,Sp. Atk,,,,,,
Squawkabilly-Yellow,181,stat_alignment,3,Lonely,10.8%,Attack,Defense,,,,,,
Squawkabilly-Yellow,181,stat_alignment,4,Naive,5.6%,Speed,Sp. Def,,,,,,
Squawkabilly-Yellow,181,stat_alignment,5,Naughty,1.7%,Attack,Sp. Def,,,,,,
Squawkabilly-Yellow,181,stat_alignment,6,Timid,0.3%,Speed,Attack,,,,,,
Squawkabilly-Yellow,181,stat_alignment,7,Brave,0.3%,Attack,Speed,,,,,,
Squawkabilly-Yellow,181,stat_alignment,8,Mild,0.2%,Sp. Atk,Defense,,,,,,
Squawkabilly-Yellow,181,stat_alignment,9,Hasty,0.1%,Speed,Defense,,,,,,
Squawkabilly-Yellow,181,stat_points,1,,48.7%,,,32,2,0,0,0,32
Squawkabilly-Yellow,181,stat_points,2,,15.4%,,,2,32,0,0,0,32
Squawkabilly-Yellow,181,stat_points,3,,11.1%,,,32,32,0,0,0,2
Squawkabilly-Yellow,181,stat_points,4,,6.0%,,,32,0,2,0,0,32
Squawkabilly-Yellow,181,stat_points,5,,4.1%,,,32,0,0,0,0,32
Squawkabilly-Yellow,181,stat_points,6,,3.2%,,,32,6,0,0,0,28
Squawkabilly-Yellow,181,stat_points,7,,3.0%,,,32,0,0,0,2,32
Squawkabilly-Yellow,181,stat_points,8,,2.0%,,,32,0,1,0,1,32
Squawkabilly-Yellow,181,stat_points,9,,1.7%,,,2,32,32,0,0,0
Squawkabilly-Yellow,181,stat_points,10,,1.6%,,,0,0,20,0,14,32
Squawkabilly-Yellow,181,ability,1,Intimidate,78.8%,,,,,,,,
Squawkabilly-Yellow,181,ability,2,Hustle,19.2%,,,,,,,,
Squawkabilly-Yellow,181,ability,3,Sheer Force,2.0%,,,,,,,,
