pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Starmie,110,move,1,Liquidation,51.6%,,,,,,,,
Starmie,110,move,2,Ice Spinner,51.3%,,,,,,,,
Starmie,110,move,3,Protect,50.6%,,,,,,,,
Starmie,110,move,4,Aqua Jet,49.9%,,,,,,,,
Starmie,110,move,5,Psycho Cut,23.5%,,,,,,,,
Starmie,110,move,6,Zen Headbutt,21.6%,,,,,,,,
Starmie,110,move,7,Expanding Force,17.7%,,,,,,,,
Starmie,110,move,8,Ice Beam,17.5%,,,,,,,,
Starmie,110,move,9,Flip Turn,11.3%,,,,,,,,
Starmie,110,move,10,Scald,10.5%,,,,,,,,
Starmie,110,held_item,1,Starminite,85.6%,,,,,,,,
Starmie,110,held_item,2,Colbur Berry,4.3%,,,,,,,,
Starmie,110,held_item,3,Life Orb,3.2%,,,,,,,,
Starmie,110,held_item,4,Choice Scarf,3.2%,,,,,,,,
Starmie,110,held_item,5,Focus Sash,1.0%,,,,,,,,
Starmie,110,held_item,6,Expert Belt,0.8%,,,,,,,,
Starmie,110,held_item,7,Twisted Spoon,0.6%,,,,,,,,
Starmie,110,held_item,8,Chesto Berry,0.4%,,,,,,,,
Starmie,110,held_item,9,Psychic Seed,0.3%,,,,,,,,
Starmie,110,held_item,10,Leftovers,0.2%,,,,,,,,
Starmie,110,teammate,1,Sneasler,,,,,,,,,
Starmie,110,teammate,2,Pelipper,,,,,,,,,
Starmie,110,teammate,3,Archaludon,,,,,,,,,
Starmie,110,teammate,4,Rillaboom,,,,,,,,,
Starmie,110,teammate,5,Golisopod,,,,,,,,,
Starmie,110,teammate,6,Indeedee Female,,,,,,,,,
Starmie,110,teammate,7,Incineroar,,,,,,,,,
Starmie,110,teammate,8,Farigiraf,,,,,,,,,
Starmie,110,teammate,9,Charizard,,,,,,,,,
Starmie,110,teammate,10,Kingambit,,,,,,,,,
Starmie,110,stat_alignment,1,Adamant,45.8%,Attack,Sp. Atk,,,,,,
Starmie,110,stat_alignment,2,Jolly,28.1%,Speed,Sp. Atk,,,,,,
Starmie,110,stat_alignment,3,Timid,15.0%,Speed,Attack,,,,,,
Starmie,110,stat_alignment,4,Modest,5.4%,Sp. Atk,Attack,,,,,,
Starmie,110,stat_alignment,5,Naive,2.2%,Speed,Sp. Def,,,,,,
Starmie,110,stat_alignment,6,Mild,1.0%,Sp. Atk,Defense,,,,,,
Starmie,110,stat_alignment,7,Hasty,0.8%,Speed,Defense,,,,,,
Starmie,110,stat_alignment,8,Quiet,0.5%,Sp. Atk,Speed,,,,,,
Starmie,110,stat_alignment,9,Naughty,0.4%,Attack,Sp. Def,,,,,,
Starmie,110,stat_alignment,10,Sassy,0.4%,Sp. Def,Speed,,,,,,
Starmie,110,stat_points,1,,46.2%,,,2,32,0,0,0,32
Starmie,110,stat_points,2,,6.1%,,,2,0,0,32,0,32
Starmie,110,stat_points,3,,5.0%,,,0,0,0,32,2,32
Starmie,110,stat_points,4,,3.0%,,,0,32,0,0,2,32
Starmie,110,stat_points,5,,1.7%,,,30,32,1,0,0,3
Starmie,110,stat_points,6,,1.5%,,,21,0,0,15,0,30
Starmie,110,stat_points,7,,1.4%,,,0,32,0,0,0,32
Starmie,110,stat_points,8,,1.3%,,,32,0,2,32,0,0
Starmie,110,stat_points,9,,1.2%,,,8,20,6,0,0,32
Starmie,110,stat_points,10,,1.1%,,,0,0,13,32,0,21
Starmie,110,ability,1,Natural Cure,68.4%,,,,,,,,
Starmie,110,ability,2,Illuminate,23.5%,,,,,,,,
Starmie,110,ability,3,Analytic,8.1%,,,,,,,,
