pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Swalot,212,move,1,Toxic,48.3%,,,,,,,,
Swalot,212,move,2,Protect,43.8%,,,,,,,,
Swalot,212,move,3,Stockpile,30.4%,,,,,,,,
Swalot,212,move,4,Sludge Bomb,28.1%,,,,,,,,
Swalot,212,move,5,Body Press,25.6%,,,,,,,,
Swalot,212,move,6,Yawn,24.9%,,,,,,,,
Swalot,212,move,7,Sludge Wave,23.3%,,,,,,,,
Swalot,212,move,8,Acid Spray,22.5%,,,,,,,,
Swalot,212,move,9,Gunk Shot,19.7%,,,,,,,,
Swalot,212,move,10,Swallow,17.9%,,,,,,,,
Swalot,212,held_item,1,Sitrus Berry,47.2%,,,,,,,,
Swalot,212,held_item,2,Leftovers,14.6%,,,,,,,,
Swalot,212,held_item,3,Grassy Seed,12.5%,,,,,,,,
Swalot,212,held_item,4,Bright Powder,8.0%,,,,,,,,
Swalot,212,held_item,5,Electric Seed,4.2%,,,,,,,,
Swalot,212,held_item,6,Expert Belt,3.8%,,,,,,,,
Swalot,212,held_item,7,Rocky Helmet,3.1%,,,,,,,,
Swalot,212,held_item,8,Payapa Berry,1.0%,,,,,,,,
Swalot,212,held_item,9,Air Balloon,1.0%,,,,,,,,
Swalot,212,held_item,10,Wide Lens,0.8%,,,,,,,,
Swalot,212,teammate,1,Rillaboom,,,,,,,,,
Swalot,212,teammate,2,Golisopod,,,,,,,,,
Swalot,212,teammate,3,Perrserker,,,,,,,,,
Swalot,212,teammate,4,Sinistcha,,,,,,,,,
Swalot,212,teammate,5,Basculegion,,,,,,,,,
Swalot,212,teammate,6,Garchomp,,,,,,,,,
Swalot,212,teammate,7,Primarina,,,,,,,,,
Swalot,212,teammate,8,Absol,,,,,,,,,
Swalot,212,teammate,9,Indeedee,,,,,,,,,
Swalot,212,teammate,10,Inteleon,,,,,,,,,
Swalot,212,stat_alignment,1,Calm,32.2%,Sp. Def,Attack,,,,,,
Swalot,212,stat_alignment,2,Adamant,19.3%,Attack,Sp. Atk,,,,,,
Swalot,212,stat_alignment,3,Modest,18.0%,Sp. Atk,Attack,,,,,,
Swalot,212,stat_alignment,4,Relaxed,9.6%,Defense,Speed,,,,,,
Swalot,212,stat_alignment,5,Bold,7.5%,Defense,Attack,,,,,,
Swalot,212,stat_alignment,6,Quiet,4.6%,Sp. Atk,Speed,,,,,,
Swalot,212,stat_alignment,7,Impish,3.7%,Defense,Sp. Atk,,,,,,
Swalot,212,stat_alignment,8,Careful,2.8%,Sp. Def,Sp. Atk,,,,,,
Swalot,212,stat_alignment,9,Sassy,1.2%,Sp. Def,Speed,,,,,,
Swalot,212,stat_alignment,10,Brave,1.0%,Attack,Speed,,,,,,
Swalot,212,stat_points,1,,21.5%,,,32,0,16,0,18,0
Swalot,212,stat_points,2,,17.1%,,,0,32,17,0,17,0
Swalot,212,stat_points,3,,13.8%,,,32,0,0,32,0,2
Swalot,212,stat_points,4,,7.5%,,,32,0,2,0,32,0
Swalot,212,stat_points,5,,5.1%,,,32,0,7,0,27,0
Swalot,212,stat_points,6,,3.7%,,,12,0,32,22,0,0
Swalot,212,stat_points,7,,3.5%,,,32,0,32,0,2,0
Swalot,212,stat_points,8,,3.4%,,,32,0,2,32,0,0
Swalot,212,stat_points,9,,2.9%,,,32,0,10,0,24,0
Swalot,212,stat_points,10,,2.6%,,,5,0,32,0,29,0
Swalot,212,ability,1,Liquid Ooze,51.6%,,,,,,,,
Swalot,212,ability,2,Sticky Hold,28.8%,,,,,,,,
Swalot,212,ability,3,Gluttony,19.6%,,,,,,,,
