pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Tsareena,63,move,1,Triple Axel,92.1%,,,,,,,,
Tsareena,63,move,2,Protect,64.5%,,,,,,,,
Tsareena,63,move,3,Power Whip,60.4%,,,,,,,,
Tsareena,63,move,4,High Jump Kick,39.3%,,,,,,,,
Tsareena,63,move,5,Trop Kick,35.5%,,,,,,,,
Tsareena,63,move,6,Low Kick,35.0%,,,,,,,,
Tsareena,63,move,7,Taunt,16.6%,,,,,,,,
Tsareena,63,move,8,U-turn,13.9%,,,,,,,,
Tsareena,63,move,9,Knock Off,11.8%,,,,,,,,
Tsareena,63,move,10,Helping Hand,8.1%,,,,,,,,
Tsareena,63,held_item,1,Wide Lens,53.6%,,,,,,,,
Tsareena,63,held_item,2,Focus Sash,11.7%,,,,,,,,
Tsareena,63,held_item,3,Choice Scarf,11.3%,,,,,,,,
Tsareena,63,held_item,4,Sitrus Berry,5.9%,,,,,,,,
Tsareena,63,held_item,5,Life Orb,3.5%,,,,,,,,
Tsareena,63,held_item,6,Expert Belt,2.3%,,,,,,,,
Tsareena,63,held_item,7,Occa Berry,1.8%,,,,,,,,
Tsareena,63,held_item,8,Miracle Seed,1.5%,,,,,,,,
Tsareena,63,held_item,9,Muscle Band,1.2%,,,,,,,,
Tsareena,63,held_item,10,Quick Claw,1.0%,,,,,,,,
Tsareena,63,teammate,1,Salamence,,,,,,,,,
Tsareena,63,teammate,2,Sneasler,,,,,,,,,
Tsareena,63,teammate,3,Milotic,,,,,,,,,
Tsareena,63,teammate,4,Whimsicott,,,,,,,,,
Tsareena,63,teammate,5,Incineroar,,,,,,,,,
Tsareena,63,teammate,6,Raichu,,,,,,,,,
Tsareena,63,teammate,7,Garchomp,,,,,,,,,
Tsareena,63,teammate,8,Kingambit,,,,,,,,,
Tsareena,63,teammate,9,Indeedee-F,,,,,,,,,
Tsareena,63,teammate,10,Pelipper,,,,,,,,,
Tsareena,63,stat_alignment,1,Adamant,62.1%,Attack,Sp. Atk,,,,,,
Tsareena,63,stat_alignment,2,Jolly,27.8%,Speed,Sp. Atk,,,,,,
Tsareena,63,stat_alignment,3,Brave,5.4%,Attack,Speed,,,,,,
Tsareena,63,stat_alignment,4,Impish,1.6%,Defense,Sp. Atk,,,,,,
Tsareena,63,stat_alignment,5,Careful,1.2%,Sp. Def,Sp. Atk,,,,,,
Tsareena,63,stat_alignment,6,Relaxed,0.5%,Defense,Speed,,,,,,
Tsareena,63,stat_alignment,7,Lonely,0.5%,Attack,Defense,,,,,,
Tsareena,63,stat_alignment,8,Hasty,0.3%,Speed,Defense,,,,,,
Tsareena,63,stat_alignment,9,Naive,0.2%,Speed,Sp. Def,,,,,,
Tsareena,63,stat_alignment,10,Timid,0.2%,Speed,Attack,,,,,,
Tsareena,63,stat_points,1,,32.0%,,,2,32,0,0,0,32
Tsareena,63,stat_points,2,,4.3%,,,32,32,2,0,0,0
Tsareena,63,stat_points,3,,3.8%,,,32,32,0,0,2,0
Tsareena,63,stat_points,4,,3.3%,,,32,32,1,0,1,0
Tsareena,63,stat_points,5,,3.1%,,,0,32,0,0,2,32
Tsareena,63,stat_points,6,,3.0%,,,0,32,2,0,0,32
Tsareena,63,stat_points,7,,2.8%,,,10,23,7,0,0,26
Tsareena,63,stat_points,8,,1.9%,,,0,32,0,0,0,32
Tsareena,63,stat_points,9,,1.7%,,,32,32,0,0,0,2
Tsareena,63,stat_points,10,,1.7%,,,14,32,0,0,0,20
Tsareena,63,ability,1,Queenly Majesty,99.3%,,,,,,,,
Tsareena,63,ability,2,Sweet Veil,0.4%,,,,,,,,
Tsareena,63,ability,3,Leaf Guard,0.3%,,,,,,,,
