pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Zoroark,191,move,1,Night Daze,71.2%,,,,,,,,
Zoroark,191,move,2,Flamethrower,55.2%,,,,,,,,
Zoroark,191,move,3,Sludge Bomb,40.2%,,,,,,,,
Zoroark,191,move,4,Protect,38.8%,,,,,,,,
Zoroark,191,move,5,Psychic,26.9%,,,,,,,,
Zoroark,191,move,6,Snarl,22.6%,,,,,,,,
Zoroark,191,move,7,Taunt,18.7%,,,,,,,,
Zoroark,191,move,8,Dark Pulse,14.6%,,,,,,,,
Zoroark,191,move,9,Focus Blast,14.1%,,,,,,,,
Zoroark,191,move,10,Detect,13.9%,,,,,,,,
Zoroark,191,held_item,1,Focus Sash,38.7%,,,,,,,,
Zoroark,191,held_item,2,Life Orb,18.2%,,,,,,,,
Zoroark,191,held_item,3,Choice Scarf,13.9%,,,,,,,,
Zoroark,191,held_item,4,Black Glasses,8.9%,,,,,,,,
Zoroark,191,held_item,5,Wise Glasses,5.0%,,,,,,,,
Zoroark,191,held_item,6,Expert Belt,4.3%,,,,,,,,
Zoroark,191,held_item,7,Quick Claw,1.6%,,,,,,,,
Zoroark,191,held_item,8,Psychic Seed,1.5%,,,,,,,,
Zoroark,191,held_item,9,Wide Lens,1.4%,,,,,,,,
Zoroark,191,held_item,10,Bright Powder,1.2%,,,,,,,,
Zoroark,191,teammate,1,Sneasler,,,,,,,,,
Zoroark,191,teammate,2,Rillaboom,,,,,,,,,
Zoroark,191,teammate,3,Indeedee-F,,,,,,,,,
Zoroark,191,teammate,4,Farigiraf,,,,,,,,,
Zoroark,191,teammate,5,Whimsicott,,,,,,,,,
Zoroark,191,teammate,6,Garchomp,,,,,,,,,
Zoroark,191,teammate,7,Charizard,,,,,,,,,
Zoroark,191,teammate,8,Basculegion,,,,,,,,,
Zoroark,191,teammate,9,Milotic,,,,,,,,,
Zoroark,191,teammate,10,Incineroar,,,,,,,,,
Zoroark,191,stat_alignment,1,Timid,47.2%,Speed,Attack,,,,,,
Zoroark,191,stat_alignment,2,Modest,36.3%,Sp. Atk,Attack,,,,,,
Zoroark,191,stat_alignment,3,Mild,6.4%,Sp. Atk,Defense,,,,,,
Zoroark,191,stat_alignment,4,Naive,2.4%,Speed,Sp. Def,,,,,,
Zoroark,191,stat_alignment,5,Rash,2.4%,Sp. Atk,Sp. Def,,,,,,
Zoroark,191,stat_alignment,6,Hasty,1.8%,Speed,Defense,,,,,,
Zoroark,191,stat_alignment,7,Jolly,1.1%,Speed,Sp. Atk,,,,,,
Zoroark,191,stat_alignment,8,Naughty,0.8%,Attack,Sp. Def,,,,,,
Zoroark,191,stat_alignment,9,Calm,0.6%,Sp. Def,Attack,,,,,,
Zoroark,191,stat_alignment,10,Adamant,0.3%,Attack,Sp. Atk,,,,,,
Zoroark,191,stat_points,1,,56.5%,,,2,0,0,32,0,32
Zoroark,191,stat_points,2,,14.9%,,,0,0,0,32,2,32
Zoroark,191,stat_points,3,,6.3%,,,0,0,2,32,0,32
Zoroark,191,stat_points,4,,4.4%,,,0,0,0,32,0,32
Zoroark,191,stat_points,5,,2.2%,,,0,32,0,2,0,32
Zoroark,191,stat_points,6,,1.6%,,,0,2,0,32,0,32
Zoroark,191,stat_points,7,,1.5%,,,0,0,2,32,32,0
Zoroark,191,stat_points,8,,1.3%,,,1,0,0,32,0,32
Zoroark,191,stat_points,9,,1.2%,,,2,32,0,0,0,32
Zoroark,191,stat_points,10,,1.1%,,,32,0,0,32,2,0
Zoroark,191,ability,1,Illusion,100.0%,,,,,,,,
