pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Noivern,130,move,1,Tailwind,83.0%,,,,,,,,
Noivern,130,move,2,Draco Meteor,65.0%,,,,,,,,
Noivern,130,move,3,Protect,48.6%,,,,,,,,
Noivern,130,move,4,Air Slash,33.9%,,,,,,,,
Noivern,130,move,5,Hurricane,21.7%,,,,,,,,
Noivern,130,move,6,Super Fang,18.5%,,,,,,,,
Noivern,130,move,7,Boomburst,18.3%,,,,,,,,
Noivern,130,move,8,Taunt,15.9%,,,,,,,,
Noivern,130,move,9,Dragon Pulse,15.3%,,,,,,,,
Noivern,130,move,10,Heat Wave,13.6%,,,,,,,,
Noivern,130,held_item,1,Focus Sash,45.5%,,,,,,,,
Noivern,130,held_item,2,White Herb,8.7%,,,,,,,,
Noivern,130,held_item,3,Yache Berry,5.1%,,,,,,,,
Noivern,130,held_item,4,Choice Scarf,4.8%,,,,,,,,
Noivern,130,held_item,5,Sitrus Berry,4.3%,,,,,,,,
Noivern,130,held_item,6,Dragon Fang,3.6%,,,,,,,,
Noivern,130,held_item,7,Bright Powder,3.2%,,,,,,,,
Noivern,130,held_item,8,King's Rock,2.8%,,,,,,,,
Noivern,130,held_item,9,Sharp Beak,2.8%,,,,,,,,
Noivern,130,held_item,10,Lum Berry,2.7%,,,,,,,,
Noivern,130,teammate,1,Sneasler,,,,,,,,,
Noivern,130,teammate,2,Garchomp,,,,,,,,,
Noivern,130,teammate,3,Incineroar,,,,,,,,,
Noivern,130,teammate,4,Charizard,,,,,,,,,
Noivern,130,teammate,5,Tyranitar,,,,,,,,,
Noivern,130,teammate,6,Milotic,,,,,,,,,
Noivern,130,teammate,7,Kingambit,,,,,,,,,
Noivern,130,teammate,8,Sinistcha,,,,,,,,,
Noivern,130,teammate,9,Basculegion,,,,,,,,,
Noivern,130,teammate,10,Glimmora,,,,,,,,,
Noivern,130,stat_alignment,1,Timid,73.4%,Speed,Attack,,,,,,
Noivern,130,stat_alignment,2,Modest,19.8%,Sp. Atk,Attack,,,,,,
Noivern,130,stat_alignment,3,Jolly,1.6%,Speed,Sp. Atk,,,,,,
Noivern,130,stat_alignment,4,Hasty,1.4%,Speed,Defense,,,,,,
Noivern,130,stat_alignment,5,Mild,0.8%,Sp. Atk,Defense,,,,,,
Noivern,130,stat_alignment,6,Bold,0.8%,Defense,Attack,,,,,,
Noivern,130,stat_alignment,7,Calm,0.4%,Sp. Def,Attack,,,,,,
Noivern,130,stat_alignment,8,Adamant,0.4%,Attack,Sp. Atk,,,,,,
Noivern,130,stat_alignment,9,Naive,0.3%,Speed,Sp. Def,,,,,,
Noivern,130,stat_alignment,10,Quiet,0.3%,Sp. Atk,Speed,,,,,,
Noivern,130,stat_points,1,,42.4%,,,2,0,0,32,0,32
Noivern,130,stat_points,2,,8.2%,,,0,0,0,32,2,32
Noivern,130,stat_points,3,,6.4%,,,0,0,2,32,0,32
Noivern,130,stat_points,4,,3.2%,,,0,0,0,32,0,32
Noivern,130,stat_points,5,,2.5%,,,0,0,1,32,1,32
Noivern,130,stat_points,6,,2.5%,,,1,0,1,32,0,32
Noivern,130,stat_points,7,,2.2%,,,32,0,0,2,0,32
Noivern,130,stat_points,8,,2.0%,,,1,0,0,32,1,32
Noivern,130,stat_points,9,,1.9%,,,1,0,0,32,0,32
Noivern,130,stat_points,10,,1.2%,,,4,0,0,32,0,30
Noivern,130,ability,1,Frisk,41.3%,,,,,,,,
Noivern,130,ability,2,Infiltrator,30.2%,,,,,,,,
Noivern,130,ability,3,Telepathy,28.4%,,,,,,,,
