pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Garbodor,197,move,1,Gunk Shot,66.3%,,,,,,,,
Garbodor,197,move,2,Explosion,48.8%,,,,,,,,
Garbodor,197,move,3,Drain Punch,40.6%,,,,,,,,
Garbodor,197,move,4,Toxic,33.9%,,,,,,,,
Garbodor,197,move,5,Stomping Tantrum,27.5%,,,,,,,,
Garbodor,197,move,6,Toxic Spikes,27.0%,,,,,,,,
Garbodor,197,move,7,Spikes,14.3%,,,,,,,,
Garbodor,197,move,8,Pain Split,14.0%,,,,,,,,
Garbodor,197,move,9,Poison Jab,13.3%,,,,,,,,
Garbodor,197,move,10,Rock Blast,11.3%,,,,,,,,
Garbodor,197,held_item,1,Focus Sash,24.6%,,,,,,,,
Garbodor,197,held_item,2,Sitrus Berry,19.2%,,,,,,,,
Garbodor,197,held_item,3,Leftovers,13.4%,,,,,,,,
Garbodor,197,held_item,4,Shuca Berry,11.9%,,,,,,,,
Garbodor,197,held_item,5,Quick Claw,4.3%,,,,,,,,
Garbodor,197,held_item,6,Poison Barb,3.6%,,,,,,,,
Garbodor,197,held_item,7,King's Rock,3.2%,,,,,,,,
Garbodor,197,held_item,8,Silk Scarf,3.1%,,,,,,,,
Garbodor,197,held_item,9,Lum Berry,2.8%,,,,,,,,
Garbodor,197,held_item,10,Light Ball,2.6%,,,,,,,,
Garbodor,197,teammate,1,Hydreigon,,,,,,,,,
Garbodor,197,teammate,2,Garchomp,,,,,,,,,
Garbodor,197,teammate,3,Charizard,,,,,,,,,
Garbodor,197,teammate,4,Dragonite,,,,,,,,,
Garbodor,197,teammate,5,Volcarona,,,,,,,,,
Garbodor,197,teammate,6,Basculegion,,,,,,,,,
Garbodor,197,teammate,7,Gyarados,,,,,,,,,
Garbodor,197,teammate,8,Mimikyu,,,,,,,,,
Garbodor,197,teammate,9,Lopunny,,,,,,,,,
Garbodor,197,teammate,10,Excadrill,,,,,,,,,
Garbodor,197,stat_alignment,1,Adamant,48.5%,Attack,Sp. Atk,,,,,,
Garbodor,197,stat_alignment,2,Impish,14.5%,Defense,Sp. Atk,,,,,,
Garbodor,197,stat_alignment,3,Jolly,11.5%,Speed,Sp. Atk,,,,,,
Garbodor,197,stat_alignment,4,Careful,11.5%,Sp. Def,Sp. Atk,,,,,,
Garbodor,197,stat_alignment,5,Calm,2.3%,Sp. Def,Attack,,,,,,
Garbodor,197,stat_alignment,6,Brave,1.6%,Attack,Speed,,,,,,
Garbodor,197,stat_alignment,7,Bold,1.5%,Defense,Attack,,,,,,
Garbodor,197,stat_alignment,8,Relaxed,1.5%,Defense,Speed,,,,,,
Garbodor,197,stat_alignment,9,Gentle,1.1%,Sp. Def,Defense,,,,,,
Garbodor,197,stat_alignment,10,Modest,1.0%,Sp. Atk,Attack,,,,,,
Garbodor,197,stat_points,1,,21.6%,,,2,32,0,0,0,32
Garbodor,197,stat_points,2,,5.9%,,,32,0,32,0,2,0
Garbodor,197,stat_points,3,,4.0%,,,32,0,2,0,32,0
Garbodor,197,stat_points,4,,4.0%,,,32,32,2,0,0,0
Garbodor,197,stat_points,5,,3.9%,,,32,32,0,0,0,2
Garbodor,197,stat_points,6,,2.6%,,,0,32,0,0,2,32
Garbodor,197,stat_points,7,,2.4%,,,32,32,0,0,2,0
Garbodor,197,stat_points,8,,2.1%,,,0,32,2,0,0,32
Garbodor,197,stat_points,9,,1.8%,,,0,32,6,0,0,27
Garbodor,197,stat_points,10,,1.8%,,,0,32,0,0,0,32
Garbodor,197,ability,1,Weak Armor,54.2%,,,,,,,,
Garbodor,197,ability,2,Aftermath,37.1%,,,,,,,,
Garbodor,197,ability,3,Stench,8.7%,,,,,,,,
