pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Gardevoir,53,move,1,Hyper Voice,71.2%,,,,,,,,
Gardevoir,53,move,2,Vacuum Wave,62.2%,,,,,,,,
Gardevoir,53,move,3,Psychic,46.2%,,,,,,,,
Gardevoir,53,move,4,Mystical Fire,43.5%,,,,,,,,
Gardevoir,53,move,5,Thunderbolt,28.8%,,,,,,,,
Gardevoir,53,move,6,Calm Mind,27.9%,,,,,,,,
Gardevoir,53,move,7,Psyshock,26.5%,,,,,,,,
Gardevoir,53,move,8,Moonblast,26.5%,,,,,,,,
Gardevoir,53,move,9,Psychic Noise,11.8%,,,,,,,,
Gardevoir,53,move,10,Trick,5.8%,,,,,,,,
Gardevoir,53,held_item,1,Gardevoirite,80.0%,,,,,,,,
Gardevoir,53,held_item,2,Choice Scarf,9.6%,,,,,,,,
Gardevoir,53,held_item,3,Focus Sash,4.4%,,,,,,,,
Gardevoir,53,held_item,4,Sitrus Berry,1.2%,,,,,,,,
Gardevoir,53,held_item,5,Quick Claw,0.7%,,,,,,,,
Gardevoir,53,held_item,6,Leftovers,0.6%,,,,,,,,
Gardevoir,53,held_item,7,Lum Berry,0.6%,,,,,,,,
Gardevoir,53,held_item,8,Fairy Feather,0.5%,,,,,,,,
Gardevoir,53,held_item,9,Bright Powder,0.4%,,,,,,,,
Gardevoir,53,held_item,10,Babiri Berry,0.3%,,,,,,,,
Gardevoir,53,teammate,1,Garchomp,,,,,,,,,
Gardevoir,53,teammate,2,Corviknight,,,,,,,,,
Gardevoir,53,teammate,3,Primarina,,,,,,,,,
Gardevoir,53,teammate,4,Kingambit,,,,,,,,,
Gardevoir,53,teammate,5,Meowscarada,,,,,,,,,
Gardevoir,53,teammate,6,Dragonite,,,,,,,,,
Gardevoir,53,teammate,7,Archaludon,,,,,,,,,
Gardevoir,53,teammate,8,Charizard,,,,,,,,,
Gardevoir,53,teammate,9,Aegislash,,,,,,,,,
Gardevoir,53,teammate,10,Basculegion,,,,,,,,,
Gardevoir,53,stat_alignment,1,Modest,69.2%,Sp. Atk,Attack,,,,,,
Gardevoir,53,stat_alignment,2,Timid,24.3%,Speed,Attack,,,,,,
Gardevoir,53,stat_alignment,3,Calm,2.7%,Sp. Def,Attack,,,,,,
Gardevoir,53,stat_alignment,4,Bold,2.3%,Defense,Attack,,,,,,
Gardevoir,53,stat_alignment,5,Quiet,0.5%,Sp. Atk,Speed,,,,,,
Gardevoir,53,stat_alignment,6,Mild,0.2%,Sp. Atk,Defense,,,,,,
Gardevoir,53,stat_alignment,7,Hasty,0.2%,Speed,Defense,,,,,,
Gardevoir,53,stat_alignment,8,Relaxed,0.1%,Defense,Speed,,,,,,
Gardevoir,53,stat_alignment,9,Sassy,0.1%,Sp. Def,Speed,,,,,,
Gardevoir,53,stat_alignment,10,Rash,0.1%,Sp. Atk,Sp. Def,,,,,,
Gardevoir,53,stat_points,1,,25.6%,,,2,0,0,32,0,32
Gardevoir,53,stat_points,2,,14.1%,,,32,0,11,5,0,18
Gardevoir,53,stat_points,3,,4.8%,,,32,0,18,15,0,1
Gardevoir,53,stat_points,4,,4.7%,,,32,0,0,32,0,2
Gardevoir,53,stat_points,5,,3.1%,,,0,0,2,32,0,32
Gardevoir,53,stat_points,6,,2.9%,,,0,0,0,32,2,32
Gardevoir,53,stat_points,7,,1.8%,,,32,0,2,32,0,0
Gardevoir,53,stat_points,8,,1.4%,,,32,0,22,11,0,1
Gardevoir,53,stat_points,9,,1.2%,,,0,0,0,32,0,32
Gardevoir,53,stat_points,10,,1.2%,,,32,0,0,32,2,0
Gardevoir,53,ability,1,Trace,89.9%,,,,,,,,
Gardevoir,53,ability,2,Synchronize,9.1%,,,,,,,,
Gardevoir,53,ability,3,Telepathy,1.0%,,,,,,,,
