pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Infernape,96,move,1,Close Combat,44.8%,,,,,,,,
Infernape,96,move,2,Stealth Rock,37.2%,,,,,,,,
Infernape,96,move,3,Flare Blitz,27.1%,,,,,,,,
Infernape,96,move,4,Mach Punch,25.9%,,,,,,,,
Infernape,96,move,5,Rock Tomb,23.5%,,,,,,,,
Infernape,96,move,6,Will-O-Wisp,22.5%,,,,,,,,
Infernape,96,move,7,Thunder Punch,19.9%,,,,,,,,
Infernape,96,move,8,Taunt,19.5%,,,,,,,,
Infernape,96,move,9,Overheat,17.3%,,,,,,,,
Infernape,96,move,10,U-turn,15.9%,,,,,,,,
Infernape,96,held_item,1,Focus Sash,51.9%,,,,,,,,
Infernape,96,held_item,2,Choice Scarf,13.8%,,,,,,,,
Infernape,96,held_item,3,Passho Berry,11.7%,,,,,,,,
Infernape,96,held_item,4,Black Belt,4.1%,,,,,,,,
Infernape,96,held_item,5,Shuca Berry,3.0%,,,,,,,,
Infernape,96,held_item,6,White Herb,2.6%,,,,,,,,
Infernape,96,held_item,7,Charcoal,2.3%,,,,,,,,
Infernape,96,held_item,8,Sitrus Berry,2.0%,,,,,,,,
Infernape,96,held_item,9,Lum Berry,1.8%,,,,,,,,
Infernape,96,held_item,10,Quick Claw,1.1%,,,,,,,,
Infernape,96,teammate,1,Garchomp,,,,,,,,,
Infernape,96,teammate,2,Gyarados,,,,,,,,,
Infernape,96,teammate,3,Aegislash,,,,,,,,,
Infernape,96,teammate,4,Dragonite,,,,,,,,,
Infernape,96,teammate,5,Primarina,,,,,,,,,
Infernape,96,teammate,6,Froslass,,,,,,,,,
Infernape,96,teammate,7,Gengar,,,,,,,,,
Infernape,96,teammate,8,Meowscarada,,,,,,,,,
Infernape,96,teammate,9,Scizor,,,,,,,,,
Infernape,96,teammate,10,Archaludon,,,,,,,,,
Infernape,96,stat_alignment,1,Jolly,52.4%,Speed,Sp. Atk,,,,,,
Infernape,96,stat_alignment,2,Adamant,14.5%,Attack,Sp. Atk,,,,,,
Infernape,96,stat_alignment,3,Naive,11.4%,Speed,Sp. Def,,,,,,
Infernape,96,stat_alignment,4,Timid,9.2%,Speed,Attack,,,,,,
Infernape,96,stat_alignment,5,Hasty,4.5%,Speed,Defense,,,,,,
Infernape,96,stat_alignment,6,Modest,2.8%,Sp. Atk,Attack,,,,,,
Infernape,96,stat_alignment,7,Naughty,1.9%,Attack,Sp. Def,,,,,,
Infernape,96,stat_alignment,8,Lonely,1.0%,Attack,Defense,,,,,,
Infernape,96,stat_alignment,9,Rash,0.5%,Sp. Atk,Sp. Def,,,,,,
Infernape,96,stat_alignment,10,Mild,0.4%,Sp. Atk,Defense,,,,,,
Infernape,96,stat_points,1,,33.0%,,,2,32,0,0,0,32
Infernape,96,stat_points,2,,10.2%,,,10,0,0,0,26,30
Infernape,96,stat_points,3,,7.1%,,,2,0,0,32,0,32
Infernape,96,stat_points,4,,6.0%,,,0,32,2,0,0,32
Infernape,96,stat_points,5,,4.3%,,,0,32,0,0,2,32
Infernape,96,stat_points,6,,3.6%,,,0,32,0,2,0,32
Infernape,96,stat_points,7,,2.9%,,,0,32,0,0,0,32
Infernape,96,stat_points,8,,2.5%,,,0,32,1,0,1,32
Infernape,96,stat_points,9,,1.5%,,,0,2,0,32,0,32
Infernape,96,stat_points,10,,1.3%,,,0,0,2,32,0,32
Infernape,96,ability,1,Blaze,55.4%,,,,,,,,
Infernape,96,ability,2,Iron Fist,44.6%,,,,,,,,
