pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Samurott,202,move,1,Ice Beam,67.7%,,,,,,,,
Samurott,202,move,2,Aqua Jet,40.7%,,,,,,,,
Samurott,202,move,3,Hydro Pump,36.8%,,,,,,,,
Samurott,202,move,4,Vacuum Wave,36.1%,,,,,,,,
Samurott,202,move,5,Surf,35.4%,,,,,,,,
Samurott,202,move,6,Encore,30.2%,,,,,,,,
Samurott,202,move,7,Flip Turn,20.3%,,,,,,,,
Samurott,202,move,8,Grass Knot,16.7%,,,,,,,,
Samurott,202,move,9,Taunt,11.7%,,,,,,,,
Samurott,202,move,10,Sacred Sword,11.5%,,,,,,,,
Samurott,202,held_item,1,Sitrus Berry,26.7%,,,,,,,,
Samurott,202,held_item,2,Mystic Water,18.5%,,,,,,,,
Samurott,202,held_item,3,Focus Sash,11.1%,,,,,,,,
Samurott,202,held_item,4,Leftovers,9.6%,,,,,,,,
Samurott,202,held_item,5,Rindo Berry,8.2%,,,,,,,,
Samurott,202,held_item,6,Quick Claw,5.1%,,,,,,,,
Samurott,202,held_item,7,Lum Berry,4.3%,,,,,,,,
Samurott,202,held_item,8,Choice Scarf,2.8%,,,,,,,,
Samurott,202,held_item,9,Bright Powder,2.3%,,,,,,,,
Samurott,202,held_item,10,Scope Lens,1.7%,,,,,,,,
Samurott,202,teammate,1,Garchomp,,,,,,,,,
Samurott,202,teammate,2,Serperior,,,,,,,,,
Samurott,202,teammate,3,Hydreigon,,,,,,,,,
Samurott,202,teammate,4,Charizard,,,,,,,,,
Samurott,202,teammate,5,Excadrill,,,,,,,,,
Samurott,202,teammate,6,Emboar,,,,,,,,,
Samurott,202,teammate,7,Volcarona,,,,,,,,,
Samurott,202,teammate,8,Dragonite,,,,,,,,,
Samurott,202,teammate,9,Lucario,,,,,,,,,
Samurott,202,teammate,10,Scizor,,,,,,,,,
Samurott,202,stat_alignment,1,Modest,42.5%,Sp. Atk,Attack,,,,,,
Samurott,202,stat_alignment,2,Adamant,12.6%,Attack,Sp. Atk,,,,,,
Samurott,202,stat_alignment,3,Quiet,9.9%,Sp. Atk,Speed,,,,,,
Samurott,202,stat_alignment,4,Bold,6.2%,Defense,Attack,,,,,,
Samurott,202,stat_alignment,5,Rash,4.2%,Sp. Atk,Sp. Def,,,,,,
Samurott,202,stat_alignment,6,Timid,3.9%,Speed,Attack,,,,,,
Samurott,202,stat_alignment,7,Sassy,3.0%,Sp. Def,Speed,,,,,,
Samurott,202,stat_alignment,8,Jolly,2.7%,Speed,Sp. Atk,,,,,,
Samurott,202,stat_alignment,9,Relaxed,2.6%,Defense,Speed,,,,,,
Samurott,202,stat_alignment,10,Impish,2.6%,Defense,Sp. Atk,,,,,,
Samurott,202,stat_points,1,,6.3%,,,32,0,32,0,2,0
Samurott,202,stat_points,2,,5.1%,,,32,0,0,32,2,0
Samurott,202,stat_points,3,,4.7%,,,32,0,2,32,0,0
Samurott,202,stat_points,4,,4.5%,,,24,0,0,32,10,0
Samurott,202,stat_points,5,,3.9%,,,2,0,0,32,0,32
Samurott,202,stat_points,6,,2.8%,,,32,0,0,32,0,2
Samurott,202,stat_points,7,,2.7%,,,2,32,0,0,0,32
Samurott,202,stat_points,8,,2.3%,,,1,0,0,32,1,32
Samurott,202,stat_points,9,,2.3%,,,32,0,4,26,4,0
Samurott,202,stat_points,10,,2.0%,,,32,0,32,2,0,0
Samurott,202,ability,1,Shell Armor,61.9%,,,,,,,,
Samurott,202,ability,2,Torrent,38.1%,,,,,,,,
