pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Tauros-Paldea-Combat,210,move,1,Raging Bull,53.3%,,,,,,,,
Tauros-Paldea-Combat,210,move,2,Earthquake,45.4%,,,,,,,,
Tauros-Paldea-Combat,210,move,3,Close Combat,34.1%,,,,,,,,
Tauros-Paldea-Combat,210,move,4,Wild Charge,30.5%,,,,,,,,
Tauros-Paldea-Combat,210,move,5,Bulk Up,25.3%,,,,,,,,
Tauros-Paldea-Combat,210,move,6,Iron Head,19.4%,,,,,,,,
Tauros-Paldea-Combat,210,move,7,Throat Chop,17.7%,,,,,,,,
Tauros-Paldea-Combat,210,move,8,Sleep Talk,16.3%,,,,,,,,
Tauros-Paldea-Combat,210,move,9,Scary Face,16.0%,,,,,,,,
Tauros-Paldea-Combat,210,move,10,Snore,15.7%,,,,,,,,
Tauros-Paldea-Combat,210,held_item,1,Sitrus Berry,29.8%,,,,,,,,
Tauros-Paldea-Combat,210,held_item,2,Kangaskhanite,15.7%,,,,,,,,
Tauros-Paldea-Combat,210,held_item,3,Choice Scarf,15.3%,,,,,,,,
Tauros-Paldea-Combat,210,held_item,4,Focus Sash,7.6%,,,,,,,,
Tauros-Paldea-Combat,210,held_item,5,Lum Berry,7.4%,,,,,,,,
Tauros-Paldea-Combat,210,held_item,6,Leftovers,6.1%,,,,,,,,
Tauros-Paldea-Combat,210,held_item,7,Black Belt,3.3%,,,,,,,,
Tauros-Paldea-Combat,210,held_item,8,White Herb,2.6%,,,,,,,,
Tauros-Paldea-Combat,210,held_item,9,Quick Claw,2.1%,,,,,,,,
Tauros-Paldea-Combat,210,held_item,10,Bright Powder,1.3%,,,,,,,,
Tauros-Paldea-Combat,210,teammate,1,Kingambit,,,,,,,,,
Tauros-Paldea-Combat,210,teammate,2,Watchog,,,,,,,,,
Tauros-Paldea-Combat,210,teammate,3,Primarina,,,,,,,,,
Tauros-Paldea-Combat,210,teammate,4,Dragonite,,,,,,,,,
Tauros-Paldea-Combat,210,teammate,5,Charizard,,,,,,,,,
Tauros-Paldea-Combat,210,teammate,6,Garchomp,,,,,,,,,
Tauros-Paldea-Combat,210,teammate,7,Gengar,,,,,,,,,
Tauros-Paldea-Combat,210,teammate,8,Archaludon,,,,,,,,,
Tauros-Paldea-Combat,210,teammate,9,Volcarona,,,,,,,,,
Tauros-Paldea-Combat,210,teammate,10,Meowscarada,,,,,,,,,
Tauros-Paldea-Combat,210,stat_alignment,1,Adamant,40.6%,Attack,Sp. Atk,,,,,,
Tauros-Paldea-Combat,210,stat_alignment,2,Jolly,23.3%,Speed,Sp. Atk,,,,,,
Tauros-Paldea-Combat,210,stat_alignment,3,Modest,15.7%,Sp. Atk,Attack,,,,,,
Tauros-Paldea-Combat,210,stat_alignment,4,Impish,10.4%,Defense,Sp. Atk,,,,,,
Tauros-Paldea-Combat,210,stat_alignment,5,Careful,2.7%,Sp. Def,Sp. Atk,,,,,,
Tauros-Paldea-Combat,210,stat_alignment,6,Lonely,2.7%,Attack,Defense,,,,,,
Tauros-Paldea-Combat,210,stat_alignment,7,Hasty,1.3%,Speed,Defense,,,,,,
Tauros-Paldea-Combat,210,stat_alignment,8,Naive,1.1%,Speed,Sp. Def,,,,,,
Tauros-Paldea-Combat,210,stat_alignment,9,Timid,0.5%,Speed,Attack,,,,,,
Tauros-Paldea-Combat,210,stat_alignment,10,Naughty,0.4%,Attack,Sp. Def,,,,,,
Tauros-Paldea-Combat,210,stat_points,1,,21.8%,,,2,32,0,0,0,32
Tauros-Paldea-Combat,210,stat_points,2,,15.7%,,,9,9,9,9,9,9
Tauros-Paldea-Combat,210,stat_points,3,,8.2%,,,0,32,2,0,0,32
Tauros-Paldea-Combat,210,stat_points,4,,8.0%,,,0,32,0,0,2,32
Tauros-Paldea-Combat,210,stat_points,5,,4.2%,,,32,2,32,0,0,0
Tauros-Paldea-Combat,210,stat_points,6,,2.8%,,,0,32,0,0,32,2
Tauros-Paldea-Combat,210,stat_points,7,,2.5%,,,1,32,0,0,1,32
Tauros-Paldea-Combat,210,stat_points,8,,2.4%,,,0,32,32,0,0,2
Tauros-Paldea-Combat,210,stat_points,9,,2.0%,,,32,32,0,0,2,0
Tauros-Paldea-Combat,210,stat_points,10,,1.5%,,,1,32,1,0,0,32
Tauros-Paldea-Combat,210,ability,1,Intimidate,72.0%,,,,,,,,
Tauros-Paldea-Combat,210,ability,2,Cud Chew,20.1%,,,,,,,,
Tauros-Paldea-Combat,210,ability,3,Anger Point,7.8%,,,,,,,,
