pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Liepard,121,move,1,Fake Out,84.4%,,,,,,,,
Liepard,121,move,2,Encore,78.4%,,,,,,,,
Liepard,121,move,3,Knock Off,57.8%,,,,,,,,
Liepard,121,move,4,Yawn,44.7%,,,,,,,,
Liepard,121,move,5,Foul Play,15.6%,,,,,,,,
Liepard,121,move,6,Fake Tears,13.6%,,,,,,,,
Liepard,121,move,7,Rain Dance,13.2%,,,,,,,,
Liepard,121,move,8,Thunder Wave,12.8%,,,,,,,,
Liepard,121,move,9,Copycat,11.3%,,,,,,,,
Liepard,121,move,10,Taunt,10.4%,,,,,,,,
Liepard,121,held_item,1,Focus Sash,75.6%,,,,,,,,
Liepard,121,held_item,2,Chople Berry,5.1%,,,,,,,,
Liepard,121,held_item,3,Roseli Berry,3.8%,,,,,,,,
Liepard,121,held_item,4,Sitrus Berry,3.5%,,,,,,,,
Liepard,121,held_item,5,Black Glasses,3.3%,,,,,,,,
Liepard,121,held_item,6,Bright Powder,3.0%,,,,,,,,
Liepard,121,held_item,7,Mental Herb,2.0%,,,,,,,,
Liepard,121,held_item,8,Leftovers,0.7%,,,,,,,,
Liepard,121,held_item,9,Choice Scarf,0.7%,,,,,,,,
Liepard,121,held_item,10,Lum Berry,0.5%,,,,,,,,
Liepard,121,teammate,1,Aerodactyl,,,,,,,,,
Liepard,121,teammate,2,Scizor,,,,,,,,,
Liepard,121,teammate,3,Zoroark-Hisui,,,,,,,,,
Liepard,121,teammate,4,Decidueye-Hisui,,,,,,,,,
Liepard,121,teammate,5,Aurorus,,,,,,,,,
Liepard,121,teammate,6,Sinistcha,,,,,,,,,
Liepard,121,teammate,7,Milotic,,,,,,,,,
Liepard,121,teammate,8,Sneasler,,,,,,,,,
Liepard,121,teammate,9,Garchomp,,,,,,,,,
Liepard,121,teammate,10,Archaludon,,,,,,,,,
Liepard,121,stat_alignment,1,Jolly,64.2%,Speed,Sp. Atk,,,,,,
Liepard,121,stat_alignment,2,Timid,9.4%,Speed,Attack,,,,,,
Liepard,121,stat_alignment,3,Adamant,8.1%,Attack,Sp. Atk,,,,,,
Liepard,121,stat_alignment,4,Impish,6.6%,Defense,Sp. Atk,,,,,,
Liepard,121,stat_alignment,5,Careful,2.3%,Sp. Def,Sp. Atk,,,,,,
Liepard,121,stat_alignment,6,Calm,1.5%,Sp. Def,Attack,,,,,,
Liepard,121,stat_alignment,7,Bold,1.5%,Defense,Attack,,,,,,
Liepard,121,stat_alignment,8,Modest,1.3%,Sp. Atk,Attack,,,,,,
Liepard,121,stat_alignment,9,Hasty,1.2%,Speed,Defense,,,,,,
Liepard,121,stat_alignment,10,Naive,0.7%,Speed,Sp. Def,,,,,,
Liepard,121,stat_points,1,,49.6%,,,2,32,0,0,0,32
Liepard,121,stat_points,2,,3.6%,,,32,0,2,0,0,32
Liepard,121,stat_points,3,,2.9%,,,32,2,0,0,0,32
Liepard,121,stat_points,4,,2.6%,,,32,0,32,0,2,0
Liepard,121,stat_points,5,,2.5%,,,0,32,2,0,0,32
Liepard,121,stat_points,6,,2.4%,,,32,0,1,0,1,32
Liepard,121,stat_points,7,,2.1%,,,2,0,0,32,0,32
Liepard,121,stat_points,8,,2.0%,,,32,0,0,0,2,32
Liepard,121,stat_points,9,,2.0%,,,0,32,0,0,2,32
Liepard,121,stat_points,10,,1.7%,,,2,0,32,0,32,0
Liepard,121,ability,1,Prankster,97.5%,,,,,,,,
Liepard,121,ability,2,Unburden,1.5%,,,,,,,,
Liepard,121,ability,3,Limber,1.0%,,,,,,,,
