pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Milotic,22,move,1,Scald,67.1%,,,,,,,,
Milotic,22,move,2,Protect,59.9%,,,,,,,,
Milotic,22,move,3,Icy Wind,42.1%,,,,,,,,
Milotic,22,move,4,Recover,39.7%,,,,,,,,
Milotic,22,move,5,Life Dew,34.8%,,,,,,,,
Milotic,22,move,6,Muddy Water,32.3%,,,,,,,,
Milotic,22,move,7,Ice Beam,31.6%,,,,,,,,
Milotic,22,move,8,Hypnosis,28.2%,,,,,,,,
Milotic,22,move,9,Coil,26.4%,,,,,,,,
Milotic,22,move,10,Mirror Coat,5.8%,,,,,,,,
Milotic,22,held_item,1,Leftovers,74.5%,,,,,,,,
Milotic,22,held_item,2,Sitrus Berry,15.2%,,,,,,,,
Milotic,22,held_item,3,Mystic Water,3.6%,,,,,,,,
Milotic,22,held_item,4,Quick Claw,1.3%,,,,,,,,
Milotic,22,held_item,5,Shell Bell,1.1%,,,,,,,,
Milotic,22,held_item,6,Bright Powder,0.8%,,,,,,,,
Milotic,22,held_item,7,Lum Berry,0.7%,,,,,,,,
Milotic,22,held_item,8,Wacan Berry,0.7%,,,,,,,,
Milotic,22,held_item,9,Rindo Berry,0.6%,,,,,,,,
Milotic,22,held_item,10,Choice Scarf,0.3%,,,,,,,,
Milotic,22,teammate,1,Sneasler,,,,,,,,,
Milotic,22,teammate,2,Charizard,,,,,,,,,
Milotic,22,teammate,3,Garchomp,,,,,,,,,
Milotic,22,teammate,4,Incineroar,,,,,,,,,
Milotic,22,teammate,5,Sinistcha,,,,,,,,,
Milotic,22,teammate,6,Tyranitar,,,,,,,,,
Milotic,22,teammate,7,Kingambit,,,,,,,,,
Milotic,22,teammate,8,Whimsicott,,,,,,,,,
Milotic,22,teammate,9,Aerodactyl,,,,,,,,,
Milotic,22,teammate,10,Venusaur,,,,,,,,,
Milotic,22,stat_alignment,1,Bold,36.0%,Defense,Attack,,,,,,
Milotic,22,stat_alignment,2,Modest,30.9%,Sp. Atk,Attack,,,,,,
Milotic,22,stat_alignment,3,Calm,22.4%,Sp. Def,Attack,,,,,,
Milotic,22,stat_alignment,4,Sassy,3.0%,Sp. Def,Speed,,,,,,
Milotic,22,stat_alignment,5,Timid,2.7%,Speed,Attack,,,,,,
Milotic,22,stat_alignment,6,Quiet,2.5%,Sp. Atk,Speed,,,,,,
Milotic,22,stat_alignment,7,Relaxed,1.2%,Defense,Speed,,,,,,
Milotic,22,stat_alignment,8,Mild,0.4%,Sp. Atk,Defense,,,,,,
Milotic,22,stat_alignment,9,Impish,0.2%,Defense,Sp. Atk,,,,,,
Milotic,22,stat_alignment,10,Careful,0.1%,Sp. Def,Sp. Atk,,,,,,
Milotic,22,stat_points,1,,6.9%,,,32,0,32,0,2,0
Milotic,22,stat_points,2,,5.2%,,,32,0,2,32,0,0
Milotic,22,stat_points,3,,4.7%,,,31,0,21,1,12,1
Milotic,22,stat_points,4,,2.7%,,,32,0,32,2,0,0
Milotic,22,stat_points,5,,2.7%,,,32,0,29,0,5,0
Milotic,22,stat_points,6,,2.6%,,,32,0,21,10,1,2
Milotic,22,stat_points,7,,2.0%,,,32,0,2,0,32,0
Milotic,22,stat_points,8,,1.9%,,,32,0,0,32,2,0
Milotic,22,stat_points,9,,1.7%,,,31,0,31,2,1,1
Milotic,22,stat_points,10,,1.6%,,,32,0,0,32,0,2
Milotic,22,ability,1,Competitive,97.7%,,,,,,,,
Milotic,22,ability,2,Marvel Scale,1.7%,,,,,,,,
Milotic,22,ability,3,Cute Charm,0.6%,,,,,,,,
