pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Avalugg,169,move,1,Body Press,84.6%,,,,,,,,
Avalugg,169,move,2,Recover,71.3%,,,,,,,,
Avalugg,169,move,3,Iron Defense,55.3%,,,,,,,,
Avalugg,169,move,4,Mirror Coat,49.6%,,,,,,,,
Avalugg,169,move,5,Icicle Spear,30.4%,,,,,,,,
Avalugg,169,move,6,Avalanche,25.1%,,,,,,,,
Avalugg,169,move,7,Earthquake,16.6%,,,,,,,,
Avalugg,169,move,8,Icicle Crash,9.4%,,,,,,,,
Avalugg,169,move,9,Ice Spinner,8.8%,,,,,,,,
Avalugg,169,move,10,Rapid Spin,7.9%,,,,,,,,
Avalugg,169,held_item,1,Leftovers,36.4%,,,,,,,,
Avalugg,169,held_item,2,Sitrus Berry,23.5%,,,,,,,,
Avalugg,169,held_item,3,Quick Claw,11.2%,,,,,,,,
Avalugg,169,held_item,4,Lum Berry,7.4%,,,,,,,,
Avalugg,169,held_item,5,Never-Melt Ice,6.6%,,,,,,,,
Avalugg,169,held_item,6,Chople Berry,3.0%,,,,,,,,
Avalugg,169,held_item,7,Bright Powder,3.0%,,,,,,,,
Avalugg,169,held_item,8,Focus Band,2.0%,,,,,,,,
Avalugg,169,held_item,9,Black Belt,1.1%,,,,,,,,
Avalugg,169,held_item,10,Occa Berry,0.8%,,,,,,,,
Avalugg,169,teammate,1,Garchomp,,,,,,,,,
Avalugg,169,teammate,2,Charizard,,,,,,,,,
Avalugg,169,teammate,3,Froslass,,,,,,,,,
Avalugg,169,teammate,4,Venusaur,,,,,,,,,
Avalugg,169,teammate,5,Archaludon,,,,,,,,,
Avalugg,169,teammate,6,Glimmora,,,,,,,,,
Avalugg,169,teammate,7,Gengar,,,,,,,,,
Avalugg,169,teammate,8,Dragonite,,,,,,,,,
Avalugg,169,teammate,9,Tyranitar,,,,,,,,,
Avalugg,169,teammate,10,Skeledirge,,,,,,,,,
Avalugg,169,stat_alignment,1,Impish,58.7%,Defense,Sp. Atk,,,,,,
Avalugg,169,stat_alignment,2,Relaxed,16.6%,Defense,Speed,,,,,,
Avalugg,169,stat_alignment,3,Adamant,11.6%,Attack,Sp. Atk,,,,,,
Avalugg,169,stat_alignment,4,Brave,3.9%,Attack,Speed,,,,,,
Avalugg,169,stat_alignment,5,Careful,2.4%,Sp. Def,Sp. Atk,,,,,,
Avalugg,169,stat_alignment,6,Lax,1.8%,Defense,Sp. Def,,,,,,
Avalugg,169,stat_alignment,7,Bold,1.5%,Defense,Attack,,,,,,
Avalugg,169,stat_alignment,8,Sassy,1.4%,Sp. Def,Speed,,,,,,
Avalugg,169,stat_alignment,9,Naughty,1.3%,Attack,Sp. Def,,,,,,
Avalugg,169,stat_alignment,10,Jolly,0.3%,Speed,Sp. Atk,,,,,,
Avalugg,169,stat_points,1,,27.1%,,,32,2,32,0,0,0
Avalugg,169,stat_points,2,,16.6%,,,32,0,32,0,2,0
Avalugg,169,stat_points,3,,7.8%,,,2,32,32,0,0,0
Avalugg,169,stat_points,4,,7.3%,,,32,32,2,0,0,0
Avalugg,169,stat_points,5,,5.7%,,,31,3,32,0,0,0
Avalugg,169,stat_points,6,,3.7%,,,32,0,32,0,0,0
Avalugg,169,stat_points,7,,2.2%,,,32,0,32,0,0,2
Avalugg,169,stat_points,8,,2.2%,,,32,0,2,0,32,0
Avalugg,169,stat_points,9,,1.9%,,,32,1,32,0,0,0
Avalugg,169,stat_points,10,,1.6%,,,31,0,32,0,3,0
Avalugg,169,ability,1,Sturdy,87.8%,,,,,,,,
Avalugg,169,ability,2,Ice Body,8.2%,,,,,,,,
Avalugg,169,ability,3,Own Tempo,4.0%,,,,,,,,
