pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Emolga,173,move,1,Nuzzle,71.3%,,,,,,,,
Emolga,173,move,2,Encore,61.0%,,,,,,,,
Emolga,173,move,3,Air Slash,52.6%,,,,,,,,
Emolga,173,move,4,Volt Switch,34.1%,,,,,,,,
Emolga,173,move,5,Taunt,26.6%,,,,,,,,
Emolga,173,move,6,Charm,21.6%,,,,,,,,
Emolga,173,move,7,Thunderbolt,15.3%,,,,,,,,
Emolga,173,move,8,Eerie Impulse,12.1%,,,,,,,,
Emolga,173,move,9,U-turn,11.5%,,,,,,,,
Emolga,173,move,10,Baton Pass,11.4%,,,,,,,,
Emolga,173,held_item,1,Focus Sash,51.9%,,,,,,,,
Emolga,173,held_item,2,Bright Powder,10.3%,,,,,,,,
Emolga,173,held_item,3,Sitrus Berry,8.4%,,,,,,,,
Emolga,173,held_item,4,Leftovers,4.9%,,,,,,,,
Emolga,173,held_item,5,King's Rock,4.7%,,,,,,,,
Emolga,173,held_item,6,Magnet,3.6%,,,,,,,,
Emolga,173,held_item,7,Lum Berry,2.4%,,,,,,,,
Emolga,173,held_item,8,Light Ball,2.1%,,,,,,,,
Emolga,173,held_item,9,Mental Herb,1.5%,,,,,,,,
Emolga,173,held_item,10,Choice Scarf,1.2%,,,,,,,,
Emolga,173,teammate,1,Garchomp,,,,,,,,,
Emolga,173,teammate,2,Archaludon,,,,,,,,,
Emolga,173,teammate,3,Charizard,,,,,,,,,
Emolga,173,teammate,4,Primarina,,,,,,,,,
Emolga,173,teammate,5,Meowscarada,,,,,,,,,
Emolga,173,teammate,6,Lopunny,,,,,,,,,
Emolga,173,teammate,7,Lucario,,,,,,,,,
Emolga,173,teammate,8,Gyarados,,,,,,,,,
Emolga,173,teammate,9,Gengar,,,,,,,,,
Emolga,173,teammate,10,Mimikyu,,,,,,,,,
Emolga,173,stat_alignment,1,Timid,58.5%,Speed,Attack,,,,,,
Emolga,173,stat_alignment,2,Jolly,19.9%,Speed,Sp. Atk,,,,,,
Emolga,173,stat_alignment,3,Modest,4.3%,Sp. Atk,Attack,,,,,,
Emolga,173,stat_alignment,4,Calm,3.5%,Sp. Def,Attack,,,,,,
Emolga,173,stat_alignment,5,Naive,3.2%,Speed,Sp. Def,,,,,,
Emolga,173,stat_alignment,6,Hasty,2.8%,Speed,Defense,,,,,,
Emolga,173,stat_alignment,7,Bold,2.6%,Defense,Attack,,,,,,
Emolga,173,stat_alignment,8,Adamant,1.6%,Attack,Sp. Atk,,,,,,
Emolga,173,stat_alignment,9,Impish,1.6%,Defense,Sp. Atk,,,,,,
Emolga,173,stat_alignment,10,Careful,0.7%,Sp. Def,Sp. Atk,,,,,,
Emolga,173,stat_points,1,,25.1%,,,2,0,0,32,0,32
Emolga,173,stat_points,2,,8.7%,,,1,0,1,32,0,32
Emolga,173,stat_points,3,,5.8%,,,32,0,2,0,0,32
Emolga,173,stat_points,4,,4.1%,,,2,32,0,0,0,32
Emolga,173,stat_points,5,,3.7%,,,32,0,1,0,1,32
Emolga,173,stat_points,6,,2.6%,,,0,0,0,32,0,32
Emolga,173,stat_points,7,,2.5%,,,1,0,0,32,1,32
Emolga,173,stat_points,8,,2.1%,,,0,0,0,32,2,32
Emolga,173,stat_points,9,,2.0%,,,32,0,0,0,2,32
Emolga,173,stat_points,10,,2.0%,,,2,0,32,0,0,32
Emolga,173,ability,1,Motor Drive,70.8%,,,,,,,,
Emolga,173,ability,2,Static,29.2%,,,,,,,,
