pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Runerigus,132,move,1,Stealth Rock,70.2%,,,,,,,,
Runerigus,132,move,2,Earthquake,54.4%,,,,,,,,
Runerigus,132,move,3,Will-O-Wisp,50.2%,,,,,,,,
Runerigus,132,move,4,Trick Room,38.3%,,,,,,,,
Runerigus,132,move,5,Curse,33.9%,,,,,,,,
Runerigus,132,move,6,Poltergeist,29.3%,,,,,,,,
Runerigus,132,move,7,Body Press,24.5%,,,,,,,,
Runerigus,132,move,8,Memento,22.2%,,,,,,,,
Runerigus,132,move,9,Destiny Bond,14.4%,,,,,,,,
Runerigus,132,move,10,Toxic Spikes,10.0%,,,,,,,,
Runerigus,132,held_item,1,Sitrus Berry,36.3%,,,,,,,,
Runerigus,132,held_item,2,Leftovers,19.3%,,,,,,,,
Runerigus,132,held_item,3,Mental Herb,11.4%,,,,,,,,
Runerigus,132,held_item,4,Focus Sash,8.0%,,,,,,,,
Runerigus,132,held_item,5,Quick Claw,4.7%,,,,,,,,
Runerigus,132,held_item,6,Kasib Berry,3.2%,,,,,,,,
Runerigus,132,held_item,7,Lum Berry,2.6%,,,,,,,,
Runerigus,132,held_item,8,Passho Berry,2.5%,,,,,,,,
Runerigus,132,held_item,9,Chesto Berry,1.7%,,,,,,,,
Runerigus,132,held_item,10,Bright Powder,1.5%,,,,,,,,
Runerigus,132,teammate,1,Archaludon,,,,,,,,,
Runerigus,132,teammate,2,Charizard,,,,,,,,,
Runerigus,132,teammate,3,Basculegion,,,,,,,,,
Runerigus,132,teammate,4,Meowscarada,,,,,,,,,
Runerigus,132,teammate,5,Garchomp,,,,,,,,,
Runerigus,132,teammate,6,Scizor,,,,,,,,,
Runerigus,132,teammate,7,Gyarados,,,,,,,,,
Runerigus,132,teammate,8,Gengar,,,,,,,,,
Runerigus,132,teammate,9,Primarina,,,,,,,,,
Runerigus,132,teammate,10,Crabominable,,,,,,,,,
Runerigus,132,stat_alignment,1,Impish,39.4%,Defense,Sp. Atk,,,,,,
Runerigus,132,stat_alignment,2,Careful,18.7%,Sp. Def,Sp. Atk,,,,,,
Runerigus,132,stat_alignment,3,Relaxed,12.7%,Defense,Speed,,,,,,
Runerigus,132,stat_alignment,4,Sassy,12.2%,Sp. Def,Speed,,,,,,
Runerigus,132,stat_alignment,5,Adamant,6.2%,Attack,Sp. Atk,,,,,,
Runerigus,132,stat_alignment,6,Brave,4.7%,Attack,Speed,,,,,,
Runerigus,132,stat_alignment,7,Bold,3.4%,Defense,Attack,,,,,,
Runerigus,132,stat_alignment,8,Calm,1.9%,Sp. Def,Attack,,,,,,
Runerigus,132,stat_alignment,9,Jolly,0.3%,Speed,Sp. Atk,,,,,,
Runerigus,132,stat_alignment,10,Naughty,0.1%,Attack,Sp. Def,,,,,,
Runerigus,132,stat_points,1,,25.6%,,,32,0,32,0,2,0
Runerigus,132,stat_points,2,,16.7%,,,32,0,2,0,32,0
Runerigus,132,stat_points,3,,4.1%,,,32,2,32,0,0,0
Runerigus,132,stat_points,4,,3.0%,,,32,32,0,0,2,0
Runerigus,132,stat_points,5,,2.5%,,,0,32,32,0,2,0
Runerigus,132,stat_points,6,,2.2%,,,32,0,0,0,32,0
Runerigus,132,stat_points,7,,1.9%,,,32,0,32,0,0,0
Runerigus,132,stat_points,8,,1.8%,,,2,0,32,0,32,0
Runerigus,132,stat_points,9,,1.7%,,,32,32,2,0,0,0
Runerigus,132,stat_points,10,,1.7%,,,31,0,3,0,32,0
Runerigus,132,ability,1,Wandering Spirit,100.0%,,,,,,,,
