pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Raichu,16,move,1,Zap Cannon,77.9%,,,,,,,,
Raichu,16,move,2,Focus Blast,76.0%,,,,,,,,
Raichu,16,move,3,Protect,71.8%,,,,,,,,
Raichu,16,move,4,Fake Out,67.0%,,,,,,,,
Raichu,16,move,5,Grass Knot,20.5%,,,,,,,,
Raichu,16,move,6,Volt Switch,18.8%,,,,,,,,
Raichu,16,move,7,Encore,8.3%,,,,,,,,
Raichu,16,move,8,Volt Tackle,7.6%,,,,,,,,
Raichu,16,move,9,Dazzling Gleam,7.2%,,,,,,,,
Raichu,16,move,10,Thunderbolt,3.7%,,,,,,,,
Raichu,16,held_item,1,Raichunite Y,78.6%,,,,,,,,
Raichu,16,held_item,2,Raichunite X,9.8%,,,,,,,,
Raichu,16,held_item,3,Focus Sash,6.0%,,,,,,,,
Raichu,16,held_item,4,Shuca Berry,1.6%,,,,,,,,
Raichu,16,held_item,5,Sitrus Berry,0.8%,,,,,,,,
Raichu,16,held_item,6,Magnet,0.7%,,,,,,,,
Raichu,16,held_item,7,Life Orb,0.3%,,,,,,,,
Raichu,16,held_item,8,Choice Scarf,0.3%,,,,,,,,
Raichu,16,held_item,9,Quick Claw,0.2%,,,,,,,,
Raichu,16,held_item,10,Bright Powder,0.2%,,,,,,,,
Raichu,16,teammate,1,Whimsicott,,,,,,,,,
Raichu,16,teammate,2,Garchomp,,,,,,,,,
Raichu,16,teammate,3,Basculegion,,,,,,,,,
Raichu,16,teammate,4,Incineroar,,,,,,,,,
Raichu,16,teammate,5,Sinistcha,,,,,,,,,
Raichu,16,teammate,6,Kingambit,,,,,,,,,
Raichu,16,teammate,7,Pelipper,,,,,,,,,
Raichu,16,teammate,8,Sneasler,,,,,,,,,
Raichu,16,teammate,9,Sylveon,,,,,,,,,
Raichu,16,teammate,10,Staraptor,,,,,,,,,
Raichu,16,stat_alignment,1,Timid,66.1%,Speed,Attack,,,,,,
Raichu,16,stat_alignment,2,Modest,20.0%,Sp. Atk,Attack,,,,,,
Raichu,16,stat_alignment,3,Jolly,9.4%,Speed,Sp. Atk,,,,,,
Raichu,16,stat_alignment,4,Adamant,1.0%,Attack,Sp. Atk,,,,,,
Raichu,16,stat_alignment,5,Hasty,1.0%,Speed,Defense,,,,,,
Raichu,16,stat_alignment,6,Naive,0.6%,Speed,Sp. Def,,,,,,
Raichu,16,stat_alignment,7,Bold,0.6%,Defense,Attack,,,,,,
Raichu,16,stat_alignment,8,Mild,0.3%,Sp. Atk,Defense,,,,,,
Raichu,16,stat_alignment,9,Rash,0.2%,Sp. Atk,Sp. Def,,,,,,
Raichu,16,stat_alignment,10,Quiet,0.2%,Sp. Atk,Speed,,,,,,
Raichu,16,stat_points,1,,47.3%,,,2,0,0,32,0,32
Raichu,16,stat_points,2,,8.1%,,,2,32,0,0,0,32
Raichu,16,stat_points,3,,4.8%,,,0,0,2,32,0,32
Raichu,16,stat_points,4,,4.1%,,,30,0,13,0,0,23
Raichu,16,stat_points,5,,3.3%,,,16,0,2,24,0,24
Raichu,16,stat_points,6,,2.0%,,,0,0,0,32,2,32
Raichu,16,stat_points,7,,1.3%,,,19,0,22,1,0,24
Raichu,16,stat_points,8,,1.2%,,,0,0,0,32,0,32
Raichu,16,stat_points,9,,1.2%,,,32,0,0,2,0,32
Raichu,16,stat_points,10,,1.0%,,,32,0,11,0,0,23
Raichu,16,ability,1,Lightning Rod,96.9%,,,,,,,,
Raichu,16,ability,2,Static,3.1%,,,,,,,,
