pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Banette,81,move,1,Destiny Bond,96.9%,,,,,,,,
Banette,81,move,2,Poltergeist,95.0%,,,,,,,,
Banette,81,move,3,Encore,74.4%,,,,,,,,
Banette,81,move,4,Shadow Sneak,58.0%,,,,,,,,
Banette,81,move,5,Will-O-Wisp,22.4%,,,,,,,,
Banette,81,move,6,Taunt,13.8%,,,,,,,,
Banette,81,move,7,Gunk Shot,11.7%,,,,,,,,
Banette,81,move,8,Sucker Punch,7.7%,,,,,,,,
Banette,81,move,9,Trick Room,2.3%,,,,,,,,
Banette,81,move,10,Shadow Claw,1.9%,,,,,,,,
Banette,81,held_item,1,Banettite,98.3%,,,,,,,,
Banette,81,held_item,2,Focus Sash,0.8%,,,,,,,,
Banette,81,held_item,3,Choice Scarf,0.1%,,,,,,,,
Banette,81,held_item,4,Quick Claw,0.1%,,,,,,,,
Banette,81,held_item,5,Spell Tag,0.1%,,,,,,,,
Banette,81,held_item,6,Sitrus Berry,0.0%,,,,,,,,
Banette,81,held_item,7,Leftovers,0.0%,,,,,,,,
Banette,81,held_item,8,Bright Powder,0.0%,,,,,,,,
Banette,81,held_item,9,Life Orb,0.0%,,,,,,,,
Banette,81,held_item,10,Kasib Berry,0.0%,,,,,,,,
Banette,81,teammate,1,Garchomp,,,,,,,,,
Banette,81,teammate,2,Mimikyu,,,,,,,,,
Banette,81,teammate,3,Archaludon,,,,,,,,,
Banette,81,teammate,4,Meowscarada,,,,,,,,,
Banette,81,teammate,5,Basculegion,,,,,,,,,
Banette,81,teammate,6,Primarina,,,,,,,,,
Banette,81,teammate,7,Corviknight,,,,,,,,,
Banette,81,teammate,8,Kingambit,,,,,,,,,
Banette,81,teammate,9,Blaziken,,,,,,,,,
Banette,81,teammate,10,Staraptor,,,,,,,,,
Banette,81,stat_alignment,1,Adamant,71.3%,Attack,Sp. Atk,,,,,,
Banette,81,stat_alignment,2,Brave,20.5%,Attack,Speed,,,,,,
Banette,81,stat_alignment,3,Jolly,1.8%,Speed,Sp. Atk,,,,,,
Banette,81,stat_alignment,4,Impish,1.6%,Defense,Sp. Atk,,,,,,
Banette,81,stat_alignment,5,Careful,1.0%,Sp. Def,Sp. Atk,,,,,,
Banette,81,stat_alignment,6,Naughty,1.0%,Attack,Sp. Def,,,,,,
Banette,81,stat_alignment,7,Relaxed,0.6%,Defense,Speed,,,,,,
Banette,81,stat_alignment,8,Lonely,0.6%,Attack,Defense,,,,,,
Banette,81,stat_alignment,9,Sassy,0.4%,Sp. Def,Speed,,,,,,
Banette,81,stat_alignment,10,Timid,0.2%,Speed,Attack,,,,,,
Banette,81,stat_points,1,,36.7%,,,32,32,2,0,0,0
Banette,81,stat_points,2,,13.1%,,,32,32,0,0,2,0
Banette,81,stat_points,3,,11.1%,,,32,32,0,0,0,2
Banette,81,stat_points,4,,2.9%,,,2,32,0,0,0,32
Banette,81,stat_points,5,,2.3%,,,32,32,1,0,1,0
Banette,81,stat_points,6,,2.3%,,,32,25,0,0,8,1
Banette,81,stat_points,7,,1.7%,,,32,32,0,0,0,0
Banette,81,stat_points,8,,1.4%,,,31,32,0,0,0,3
Banette,81,stat_points,9,,1.4%,,,32,5,13,0,16,0
Banette,81,stat_points,10,,1.3%,,,32,32,1,0,0,1
Banette,81,ability,1,Frisk,83.3%,,,,,,,,
Banette,81,ability,2,Insomnia,10.0%,,,,,,,,
Banette,81,ability,3,Cursed Body,6.7%,,,,,,,,
