pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Florges,200,move,1,Moonblast,83.6%,,,,,,,,
Florges,200,move,2,Calm Mind,67.2%,,,,,,,,
Florges,200,move,3,Synthesis,45.1%,,,,,,,,
Florges,200,move,4,Giga Drain,34.1%,,,,,,,,
Florges,200,move,5,Draining Kiss,23.6%,,,,,,,,
Florges,200,move,6,Psychic,18.5%,,,,,,,,
Florges,200,move,7,Psychic Noise,17.0%,,,,,,,,
Florges,200,move,8,Wish,12.5%,,,,,,,,
Florges,200,move,9,Energy Ball,10.0%,,,,,,,,
Florges,200,move,10,Stored Power,9.6%,,,,,,,,
Florges,200,held_item,1,Leftovers,39.9%,,,,,,,,
Florges,200,held_item,2,Sitrus Berry,21.1%,,,,,,,,
Florges,200,held_item,3,Big Root,7.1%,,,,,,,,
Florges,200,held_item,4,Fairy Feather,4.7%,,,,,,,,
Florges,200,held_item,5,Quick Claw,4.4%,,,,,,,,
Florges,200,held_item,6,Lum Berry,3.8%,,,,,,,,
Florges,200,held_item,7,Choice Scarf,3.0%,,,,,,,,
Florges,200,held_item,8,Bright Powder,2.7%,,,,,,,,
Florges,200,held_item,9,Life Orb,2.0%,,,,,,,,
Florges,200,held_item,10,Wise Glasses,1.7%,,,,,,,,
Florges,200,teammate,1,Garchomp,,,,,,,,,
Florges,200,teammate,2,Meowscarada,,,,,,,,,
Florges,200,teammate,3,Dragonite,,,,,,,,,
Florges,200,teammate,4,Raichu,,,,,,,,,
Florges,200,teammate,5,Dragapult,,,,,,,,,
Florges,200,teammate,6,Charizard,,,,,,,,,
Florges,200,teammate,7,Metagross,,,,,,,,,
Florges,200,teammate,8,Staraptor,,,,,,,,,
Florges,200,teammate,9,Corviknight,,,,,,,,,
Florges,200,teammate,10,Basculegion,,,,,,,,,
Florges,200,stat_alignment,1,Calm,47.7%,Sp. Def,Attack,,,,,,
Florges,200,stat_alignment,2,Modest,22.3%,Sp. Atk,Attack,,,,,,
Florges,200,stat_alignment,3,Bold,18.5%,Defense,Attack,,,,,,
Florges,200,stat_alignment,4,Timid,4.0%,Speed,Attack,,,,,,
Florges,200,stat_alignment,5,Quiet,2.6%,Sp. Atk,Speed,,,,,,
Florges,200,stat_alignment,6,Sassy,1.7%,Sp. Def,Speed,,,,,,
Florges,200,stat_alignment,7,Mild,1.1%,Sp. Atk,Defense,,,,,,
Florges,200,stat_alignment,8,Gentle,0.9%,Sp. Def,Defense,,,,,,
Florges,200,stat_alignment,9,Relaxed,0.5%,Defense,Speed,,,,,,
Florges,200,stat_alignment,10,Hasty,0.3%,Speed,Defense,,,,,,
Florges,200,stat_points,1,,14.6%,,,32,0,0,2,32,0
Florges,200,stat_points,2,,8.1%,,,32,0,2,0,32,0
Florges,200,stat_points,3,,6.6%,,,32,0,32,0,2,0
Florges,200,stat_points,4,,5.9%,,,2,0,0,32,32,0
Florges,200,stat_points,5,,4.3%,,,32,0,0,32,2,0
Florges,200,stat_points,6,,3.9%,,,32,0,32,2,0,0
Florges,200,stat_points,7,,3.8%,,,0,0,2,32,32,0
Florges,200,stat_points,8,,3.2%,,,32,0,2,32,0,0
Florges,200,stat_points,9,,2.9%,,,32,0,0,24,10,0
Florges,200,stat_points,10,,2.7%,,,0,0,0,32,32,2
Florges,200,ability,1,Flower Veil,78.3%,,,,,,,,
Florges,200,ability,2,Symbiosis,21.7%,,,,,,,,
