pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Torkoal,121,move,1,Stealth Rock,57.5%,,,,,,,,
Torkoal,121,move,2,Yawn,55.5%,,,,,,,,
Torkoal,121,move,3,Solar Beam,42.9%,,,,,,,,
Torkoal,121,move,4,Eruption,32.0%,,,,,,,,
Torkoal,121,move,5,Earth Power,19.5%,,,,,,,,
Torkoal,121,move,6,Overheat,19.4%,,,,,,,,
Torkoal,121,move,7,Will-O-Wisp,18.2%,,,,,,,,
Torkoal,121,move,8,Flamethrower,16.9%,,,,,,,,
Torkoal,121,move,9,Lava Plume,14.8%,,,,,,,,
Torkoal,121,move,10,Weather Ball,13.6%,,,,,,,,
Torkoal,121,held_item,1,Heat Rock,41.1%,,,,,,,,
Torkoal,121,held_item,2,Charcoal,15.8%,,,,,,,,
Torkoal,121,held_item,3,Sitrus Berry,14.2%,,,,,,,,
Torkoal,121,held_item,4,Leftovers,9.2%,,,,,,,,
Torkoal,121,held_item,5,Quick Claw,4.2%,,,,,,,,
Torkoal,121,held_item,6,Life Orb,2.4%,,,,,,,,
Torkoal,121,held_item,7,Shuca Berry,2.3%,,,,,,,,
Torkoal,121,held_item,8,White Herb,1.9%,,,,,,,,
Torkoal,121,held_item,9,Focus Sash,1.6%,,,,,,,,
Torkoal,121,held_item,10,Lum Berry,1.0%,,,,,,,,
Torkoal,121,teammate,1,Garchomp,,,,,,,,,
Torkoal,121,teammate,2,Venusaur,,,,,,,,,
Torkoal,121,teammate,3,Charizard,,,,,,,,,
Torkoal,121,teammate,4,Mimikyu,,,,,,,,,
Torkoal,121,teammate,5,Blaziken,,,,,,,,,
Torkoal,121,teammate,6,Meowscarada,,,,,,,,,
Torkoal,121,teammate,7,Basculegion,,,,,,,,,
Torkoal,121,teammate,8,Raichu,,,,,,,,,
Torkoal,121,teammate,9,Staraptor,,,,,,,,,
Torkoal,121,teammate,10,Pyroar,,,,,,,,,
Torkoal,121,stat_alignment,1,Quiet,29.3%,Sp. Atk,Speed,,,,,,
Torkoal,121,stat_alignment,2,Relaxed,18.9%,Defense,Speed,,,,,,
Torkoal,121,stat_alignment,3,Bold,17.2%,Defense,Attack,,,,,,
Torkoal,121,stat_alignment,4,Modest,13.2%,Sp. Atk,Attack,,,,,,
Torkoal,121,stat_alignment,5,Sassy,8.5%,Sp. Def,Speed,,,,,,
Torkoal,121,stat_alignment,6,Calm,7.9%,Sp. Def,Attack,,,,,,
Torkoal,121,stat_alignment,7,Impish,1.6%,Defense,Sp. Atk,,,,,,
Torkoal,121,stat_alignment,8,Adamant,0.7%,Attack,Sp. Atk,,,,,,
Torkoal,121,stat_alignment,9,Brave,0.7%,Attack,Speed,,,,,,
Torkoal,121,stat_alignment,10,Careful,0.6%,Sp. Def,Sp. Atk,,,,,,
Torkoal,121,stat_points,1,,13.9%,,,32,0,2,0,32,0
Torkoal,121,stat_points,2,,11.5%,,,32,0,32,0,2,0
Torkoal,121,stat_points,3,,11.4%,,,32,0,0,32,2,0
Torkoal,121,stat_points,4,,10.5%,,,32,0,2,32,0,0
Torkoal,121,stat_points,5,,4.0%,,,2,0,32,32,0,0
Torkoal,121,stat_points,6,,3.8%,,,32,0,32,2,0,0
Torkoal,121,stat_points,7,,3.2%,,,2,0,0,32,32,0
Torkoal,121,stat_points,8,,2.8%,,,0,0,32,32,2,0
Torkoal,121,stat_points,9,,2.1%,,,0,0,2,32,32,0
Torkoal,121,stat_points,10,,1.5%,,,32,0,0,2,32,0
Torkoal,121,ability,1,Drought,96.6%,,,,,,,,
Torkoal,121,ability,2,Shell Armor,2.5%,,,,,,,,
Torkoal,121,ability,3,White Smoke,0.9%,,,,,,,,
