pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Appletun,212,move,1,Apple Acid,87.9%,,,,,,,,
Appletun,212,move,2,Protect,53.8%,,,,,,,,
Appletun,212,move,3,Dragon Pulse,42.4%,,,,,,,,
Appletun,212,move,4,Leech Seed,40.6%,,,,,,,,
Appletun,212,move,5,Draco Meteor,29.3%,,,,,,,,
Appletun,212,move,6,Recover,25.6%,,,,,,,,
Appletun,212,move,7,Giga Drain,15.5%,,,,,,,,
Appletun,212,move,8,Iron Defense,15.3%,,,,,,,,
Appletun,212,move,9,Recycle,12.4%,,,,,,,,
Appletun,212,move,10,Amnesia,11.5%,,,,,,,,
Appletun,212,held_item,1,Sitrus Berry,39.3%,,,,,,,,
Appletun,212,held_item,2,Leftovers,26.6%,,,,,,,,
Appletun,212,held_item,3,Yache Berry,8.2%,,,,,,,,
Appletun,212,held_item,4,White Herb,4.6%,,,,,,,,
Appletun,212,held_item,5,Life Orb,4.5%,,,,,,,,
Appletun,212,held_item,6,Miracle Seed,4.1%,,,,,,,,
Appletun,212,held_item,7,Big Root,3.8%,,,,,,,,
Appletun,212,held_item,8,Dragon Fang,2.6%,,,,,,,,
Appletun,212,held_item,9,Quick Claw,2.1%,,,,,,,,
Appletun,212,held_item,10,Metronome,2.1%,,,,,,,,
Appletun,212,teammate,1,Farigiraf,,,,,,,,,
Appletun,212,teammate,2,Torkoal,,,,,,,,,
Appletun,212,teammate,3,Incineroar,,,,,,,,,
Appletun,212,teammate,4,Sinistcha,,,,,,,,,
Appletun,212,teammate,5,Oranguru,,,,,,,,,
Appletun,212,teammate,6,Mawile,,,,,,,,,
Appletun,212,teammate,7,Sylveon,,,,,,,,,
Appletun,212,teammate,8,Kingambit,,,,,,,,,
Appletun,212,teammate,9,Raichu,,,,,,,,,
Appletun,212,teammate,10,Hatterene,,,,,,,,,
Appletun,212,stat_alignment,1,Quiet,32.6%,Sp. Atk,Speed,,,,,,
Appletun,212,stat_alignment,2,Modest,20.6%,Sp. Atk,Attack,,,,,,
Appletun,212,stat_alignment,3,Sassy,14.0%,Sp. Def,Speed,,,,,,
Appletun,212,stat_alignment,4,Bold,10.8%,Defense,Attack,,,,,,
Appletun,212,stat_alignment,5,Relaxed,9.5%,Defense,Speed,,,,,,
Appletun,212,stat_alignment,6,Calm,7.2%,Sp. Def,Attack,,,,,,
Appletun,212,stat_alignment,7,Mild,1.9%,Sp. Atk,Defense,,,,,,
Appletun,212,stat_alignment,8,Gentle,0.7%,Sp. Def,Defense,,,,,,
Appletun,212,stat_alignment,9,Brave,0.7%,Attack,Speed,,,,,,
Appletun,212,stat_alignment,10,Timid,0.6%,Speed,Attack,,,,,,
Appletun,212,stat_points,1,,17.8%,,,32,0,0,32,2,0
Appletun,212,stat_points,2,,7.3%,,,2,0,0,32,32,0
Appletun,212,stat_points,3,,6.3%,,,32,0,2,32,0,0
Appletun,212,stat_points,4,,5.8%,,,32,0,2,0,32,0
Appletun,212,stat_points,5,,3.6%,,,32,0,32,0,2,0
Appletun,212,stat_points,6,,2.7%,,,2,0,32,32,0,0
Appletun,212,stat_points,7,,2.6%,,,32,0,17,0,17,0
Appletun,212,stat_points,8,,2.4%,,,0,0,2,32,32,0
Appletun,212,ability,1,Thick Fat,77.5%,,,,,,,,
Appletun,212,ability,2,Ripen,20.5%,,,,,,,,
Appletun,212,ability,3,Gluttony,2.0%,,,,,,,,
