pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Houndoom,161,move,1,Dark Pulse,82.5%,,,,,,,,
Houndoom,161,move,2,Flamethrower,64.2%,,,,,,,,
Houndoom,161,move,3,Destiny Bond,45.2%,,,,,,,,
Houndoom,161,move,4,Sludge Bomb,30.2%,,,,,,,,
Houndoom,161,move,5,Sucker Punch,23.1%,,,,,,,,
Houndoom,161,move,6,Overheat,22.0%,,,,,,,,
Houndoom,161,move,7,Solar Beam,20.7%,,,,,,,,
Houndoom,161,move,8,Nasty Plot,17.8%,,,,,,,,
Houndoom,161,move,9,Counter,16.2%,,,,,,,,
Houndoom,161,move,10,Scorching Sands,1.2%,,,,,,,,
Houndoom,161,held_item,1,Houndoominite,59.5%,,,,,,,,
Houndoom,161,held_item,2,Focus Sash,29.9%,,,,,,,,
Houndoom,161,held_item,3,Choice Scarf,2.6%,,,,,,,,
Houndoom,161,held_item,4,Life Orb,1.9%,,,,,,,,
Houndoom,161,held_item,5,Sitrus Berry,0.8%,,,,,,,,
Houndoom,161,held_item,6,Quick Claw,0.7%,,,,,,,,
Houndoom,161,held_item,7,Leftovers,0.6%,,,,,,,,
Houndoom,161,held_item,8,Charcoal,0.5%,,,,,,,,
Houndoom,161,held_item,9,Expert Belt,0.5%,,,,,,,,
Houndoom,161,held_item,10,Black Glasses,0.4%,,,,,,,,
Houndoom,161,teammate,1,Garchomp,,,,,,,,,
Houndoom,161,teammate,2,Torkoal,,,,,,,,,
Houndoom,161,teammate,3,Venusaur,,,,,,,,,
Houndoom,161,teammate,4,Meowscarada,,,,,,,,,
Houndoom,161,teammate,5,Mimikyu,,,,,,,,,
Houndoom,161,teammate,6,Ninetales,,,,,,,,,
Houndoom,161,teammate,7,Scizor,,,,,,,,,
Houndoom,161,teammate,8,Gyarados,,,,,,,,,
Houndoom,161,teammate,9,Raichu,,,,,,,,,
Houndoom,161,teammate,10,Greninja,,,,,,,,,
Houndoom,161,stat_alignment,1,Timid,64.7%,Speed,Attack,,,,,,
Houndoom,161,stat_alignment,2,Modest,13.9%,Sp. Atk,Attack,,,,,,
Houndoom,161,stat_alignment,3,Hasty,9.4%,Speed,Defense,,,,,,
Houndoom,161,stat_alignment,4,Naive,2.3%,Speed,Sp. Def,,,,,,
Houndoom,161,stat_alignment,5,Mild,2.3%,Sp. Atk,Defense,,,,,,
Houndoom,161,stat_alignment,6,Jolly,2.1%,Speed,Sp. Atk,,,,,,
Houndoom,161,stat_alignment,7,Calm,1.0%,Sp. Def,Attack,,,,,,
Houndoom,161,stat_alignment,8,Rash,1.0%,Sp. Atk,Sp. Def,,,,,,
Houndoom,161,stat_alignment,9,Adamant,0.7%,Attack,Sp. Atk,,,,,,
Houndoom,161,stat_alignment,10,Bold,0.7%,Defense,Attack,,,,,,
Houndoom,161,stat_points,1,,38.4%,,,2,0,0,32,0,32
Houndoom,161,stat_points,2,,12.3%,,,1,0,1,32,0,32
Houndoom,161,stat_points,3,,7.5%,,,1,0,0,32,1,32
Houndoom,161,stat_points,4,,6.0%,,,0,0,2,32,0,32
Houndoom,161,stat_points,5,,5.6%,,,0,0,0,32,2,32
Houndoom,161,stat_points,6,,1.4%,,,1,1,0,32,0,32
Houndoom,161,stat_points,7,,1.0%,,,1,0,0,32,0,32
Houndoom,161,stat_points,8,,0.9%,,,2,32,0,0,0,32
Houndoom,161,ability,1,Flash Fire,87.4%,,,,,,,,
Houndoom,161,ability,2,Unnerve,7.8%,,,,,,,,
Houndoom,161,ability,3,Early Bird,4.8%,,,,,,,,
