pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Sinistcha,71,move,1,Matcha Gotcha,95.1%,,,,,,,,
Sinistcha,71,move,2,Strength Sap,92.0%,,,,,,,,
Sinistcha,71,move,3,Shadow Ball,73.6%,,,,,,,,
Sinistcha,71,move,4,Calm Mind,58.6%,,,,,,,,
Sinistcha,71,move,5,Scald,16.8%,,,,,,,,
Sinistcha,71,move,6,Trick Room,11.6%,,,,,,,,
Sinistcha,71,move,7,Curse,10.3%,,,,,,,,
Sinistcha,71,move,8,Hex,7.5%,,,,,,,,
Sinistcha,71,move,9,Iron Defense,5.5%,,,,,,,,
Sinistcha,71,move,10,Foul Play,3.7%,,,,,,,,
Sinistcha,71,held_item,1,Leftovers,36.2%,,,,,,,,
Sinistcha,71,held_item,2,Sitrus Berry,27.7%,,,,,,,,
Sinistcha,71,held_item,3,Big Root,17.6%,,,,,,,,
Sinistcha,71,held_item,4,Lum Berry,4.5%,,,,,,,,
Sinistcha,71,held_item,5,Kasib Berry,4.2%,,,,,,,,
Sinistcha,71,held_item,6,Focus Sash,3.8%,,,,,,,,
Sinistcha,71,held_item,7,Bright Powder,1.7%,,,,,,,,
Sinistcha,71,held_item,8,Yache Berry,1.4%,,,,,,,,
Sinistcha,71,held_item,9,Colbur Berry,1.4%,,,,,,,,
Sinistcha,71,held_item,10,Life Orb,1.3%,,,,,,,,
Sinistcha,71,teammate,1,Garchomp,,,,,,,,,
Sinistcha,71,teammate,2,Mimikyu,,,,,,,,,
Sinistcha,71,teammate,3,Metagross,,,,,,,,,
Sinistcha,71,teammate,4,Primarina,,,,,,,,,
Sinistcha,71,teammate,5,Delphox,,,,,,,,,
Sinistcha,71,teammate,6,Archaludon,,,,,,,,,
Sinistcha,71,teammate,7,Blaziken,,,,,,,,,
Sinistcha,71,teammate,8,Gyarados,,,,,,,,,
Sinistcha,71,teammate,9,Charizard,,,,,,,,,
Sinistcha,71,teammate,10,Mawile,,,,,,,,,
Sinistcha,71,stat_alignment,1,Bold,70.0%,Defense,Attack,,,,,,
Sinistcha,71,stat_alignment,2,Modest,12.4%,Sp. Atk,Attack,,,,,,
Sinistcha,71,stat_alignment,3,Calm,10.4%,Sp. Def,Attack,,,,,,
Sinistcha,71,stat_alignment,4,Quiet,2.0%,Sp. Atk,Speed,,,,,,
Sinistcha,71,stat_alignment,5,Relaxed,1.9%,Defense,Speed,,,,,,
Sinistcha,71,stat_alignment,6,Timid,1.7%,Speed,Attack,,,,,,
Sinistcha,71,stat_alignment,7,Sassy,0.8%,Sp. Def,Speed,,,,,,
Sinistcha,71,stat_alignment,8,Mild,0.3%,Sp. Atk,Defense,,,,,,
Sinistcha,71,stat_alignment,9,Gentle,0.1%,Sp. Def,Defense,,,,,,
Sinistcha,71,stat_alignment,10,Impish,0.1%,Defense,Sp. Atk,,,,,,
Sinistcha,71,stat_points,1,,29.9%,,,32,0,32,0,2,0
Sinistcha,71,stat_points,2,,8.5%,,,32,0,32,2,0,0
Sinistcha,71,stat_points,3,,5.1%,,,31,0,32,0,3,0
Sinistcha,71,stat_points,4,,4.0%,,,32,0,32,0,0,2
Sinistcha,71,stat_points,5,,3.2%,,,32,0,2,0,32,0
Sinistcha,71,stat_points,6,,1.9%,,,32,0,0,32,2,0
Sinistcha,71,stat_points,7,,1.6%,,,32,0,2,32,0,0
Sinistcha,71,stat_points,8,,1.5%,,,32,0,24,0,10,0
Sinistcha,71,ability,1,Heatproof,93.9%,,,,,,,,
Sinistcha,71,ability,2,Hospitality,6.1%,,,,,,,,
