pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Armarouge,86,move,1,Armor Cannon,94.3%,,,,,,,,
Armarouge,86,move,2,Destiny Bond,60.2%,,,,,,,,
Armarouge,86,move,3,Psychic,55.1%,,,,,,,,
Armarouge,86,move,4,Energy Ball,34.4%,,,,,,,,
Armarouge,86,move,5,Psychic Terrain,29.8%,,,,,,,,
Armarouge,86,move,6,Expanding Force,29.1%,,,,,,,,
Armarouge,86,move,7,Aura Sphere,18.6%,,,,,,,,
Armarouge,86,move,8,Trick Room,11.5%,,,,,,,,
Armarouge,86,move,9,Psyshock,8.7%,,,,,,,,
Armarouge,86,move,10,Focus Blast,7.1%,,,,,,,,
Armarouge,86,held_item,1,Focus Sash,69.0%,,,,,,,,
Armarouge,86,held_item,2,Life Orb,5.1%,,,,,,,,
Armarouge,86,held_item,3,Shuca Berry,3.8%,,,,,,,,
Armarouge,86,held_item,4,Sitrus Berry,3.5%,,,,,,,,
Armarouge,86,held_item,5,White Herb,3.1%,,,,,,,,
Armarouge,86,held_item,6,Choice Scarf,2.8%,,,,,,,,
Armarouge,86,held_item,7,Quick Claw,2.1%,,,,,,,,
Armarouge,86,held_item,8,Charcoal,2.1%,,,,,,,,
Armarouge,86,held_item,9,Expert Belt,1.6%,,,,,,,,
Armarouge,86,held_item,10,Wise Glasses,1.1%,,,,,,,,
Armarouge,86,teammate,1,Garchomp,,,,,,,,,
Armarouge,86,teammate,2,Meowscarada,,,,,,,,,
Armarouge,86,teammate,3,Mimikyu,,,,,,,,,
Armarouge,86,teammate,4,Gyarados,,,,,,,,,
Armarouge,86,teammate,5,Raichu,,,,,,,,,
Armarouge,86,teammate,6,Archaludon,,,,,,,,,
Armarouge,86,teammate,7,Primarina,,,,,,,,,
Armarouge,86,teammate,8,Metagross,,,,,,,,,
Armarouge,86,teammate,9,Mawile,,,,,,,,,
Armarouge,86,teammate,10,Dragonite,,,,,,,,,
Armarouge,86,stat_alignment,1,Modest,74.2%,Sp. Atk,Attack,,,,,,
Armarouge,86,stat_alignment,2,Timid,16.9%,Speed,Attack,,,,,,
Armarouge,86,stat_alignment,3,Quiet,3.7%,Sp. Atk,Speed,,,,,,
Armarouge,86,stat_alignment,4,Bold,2.1%,Defense,Attack,,,,,,
Armarouge,86,stat_alignment,5,Mild,0.7%,Sp. Atk,Defense,,,,,,
Armarouge,86,stat_alignment,6,Calm,0.7%,Sp. Def,Attack,,,,,,
Armarouge,86,stat_alignment,7,Hasty,0.4%,Speed,Defense,,,,,,
Armarouge,86,stat_alignment,8,Sassy,0.3%,Sp. Def,Speed,,,,,,
Armarouge,86,stat_alignment,9,Relaxed,0.2%,Defense,Speed,,,,,,
Armarouge,86,stat_alignment,10,Naive,0.1%,Speed,Sp. Def,,,,,,
Armarouge,86,stat_points,1,,41.2%,,,2,0,0,32,0,32
Armarouge,86,stat_points,2,,8.0%,,,1,0,1,32,0,32
Armarouge,86,stat_points,3,,5.4%,,,0,0,2,32,0,32
Armarouge,86,stat_points,4,,4.8%,,,0,0,0,32,2,32
Armarouge,86,stat_points,5,,4.6%,,,1,0,0,32,1,32
Armarouge,86,stat_points,6,,4.1%,,,32,0,2,32,0,0
Armarouge,86,stat_points,7,,2.5%,,,32,0,0,32,2,0
Armarouge,86,stat_points,8,,2.1%,,,0,0,0,32,0,32
Armarouge,86,stat_points,9,,1.4%,,,31,0,3,32,0,0
Armarouge,86,stat_points,10,,1.4%,,,32,0,0,32,0,2
Armarouge,86,ability,1,Weak Armor,79.2%,,,,,,,,
Armarouge,86,ability,2,Flash Fire,20.8%,,,,,,,,
