pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Meganium,38,move,1,Weather Ball,96.7%,,,,,,,,
Meganium,38,move,2,Solar Beam,96.2%,,,,,,,,
Meganium,38,move,3,Synthesis,70.2%,,,,,,,,
Meganium,38,move,4,Dazzling Gleam,64.6%,,,,,,,,
Meganium,38,move,5,Substitute,19.0%,,,,,,,,
Meganium,38,move,6,Earth Power,14.7%,,,,,,,,
Meganium,38,move,7,Trailblaze,13.6%,,,,,,,,
Meganium,38,move,8,Ancient Power,6.7%,,,,,,,,
Meganium,38,move,9,Encore,5.5%,,,,,,,,
Meganium,38,move,10,Leech Seed,4.1%,,,,,,,,
Meganium,38,held_item,1,Meganiumite,99.4%,,,,,,,,
Meganium,38,held_item,2,Leftovers,0.1%,,,,,,,,
Meganium,38,held_item,3,Sitrus Berry,0.0%,,,,,,,,
Meganium,38,held_item,4,Big Root,0.0%,,,,,,,,
Meganium,38,held_item,5,Light Clay,0.0%,,,,,,,,
Meganium,38,held_item,6,Quick Claw,0.0%,,,,,,,,
Meganium,38,held_item,7,Focus Sash,0.0%,,,,,,,,
Meganium,38,held_item,8,Lum Berry,0.0%,,,,,,,,
Meganium,38,held_item,9,Miracle Seed,0.0%,,,,,,,,
Meganium,38,held_item,10,Bright Powder,0.0%,,,,,,,,
Meganium,38,teammate,1,Garchomp,,,,,,,,,
Meganium,38,teammate,2,Hippowdon,,,,,,,,,
Meganium,38,teammate,3,Archaludon,,,,,,,,,
Meganium,38,teammate,4,Toxapex,,,,,,,,,
Meganium,38,teammate,5,Mimikyu,,,,,,,,,
Meganium,38,teammate,6,Samurott-Hisui,,,,,,,,,
Meganium,38,teammate,7,Gyarados,,,,,,,,,
Meganium,38,teammate,8,Primarina,,,,,,,,,
Meganium,38,teammate,9,Glimmora,,,,,,,,,
Meganium,38,teammate,10,Basculegion,,,,,,,,,
Meganium,38,stat_alignment,1,Modest,74.3%,Sp. Atk,Attack,,,,,,
Meganium,38,stat_alignment,2,Bold,11.5%,Defense,Attack,,,,,,
Meganium,38,stat_alignment,3,Timid,11.3%,Speed,Attack,,,,,,
Meganium,38,stat_alignment,4,Calm,1.5%,Sp. Def,Attack,,,,,,
Meganium,38,stat_alignment,5,Quiet,0.7%,Sp. Atk,Speed,,,,,,
Meganium,38,stat_alignment,6,Mild,0.2%,Sp. Atk,Defense,,,,,,
Meganium,38,stat_alignment,7,Sassy,0.1%,Sp. Def,Speed,,,,,,
Meganium,38,stat_alignment,8,Relaxed,0.1%,Defense,Speed,,,,,,
Meganium,38,stat_alignment,9,Hasty,0.1%,Speed,Defense,,,,,,
Meganium,38,stat_alignment,10,Adamant,0.1%,Attack,Sp. Atk,,,,,,
Meganium,38,stat_points,1,,20.7%,,,32,0,0,32,0,2
Meganium,38,stat_points,2,,11.9%,,,2,0,0,32,0,32
Meganium,38,stat_points,3,,7.1%,,,20,0,0,27,0,19
Meganium,38,stat_points,4,,5.6%,,,32,0,20,0,0,14
Meganium,38,stat_points,5,,3.9%,,,32,0,2,32,0,0
Meganium,38,stat_points,6,,2.7%,,,32,0,0,32,2,0
Meganium,38,stat_points,7,,2.6%,,,32,0,32,0,2,0
Meganium,38,stat_points,8,,1.9%,,,32,0,1,32,1,0
Meganium,38,stat_points,9,,1.9%,,,32,0,0,17,0,17
Meganium,38,stat_points,10,,1.6%,,,32,0,20,0,14,0
Meganium,38,ability,1,Overgrow,62.2%,,,,,,,,
Meganium,38,ability,2,Leaf Guard,37.8%,,,,,,,,
