pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Noivern,155,move,1,Draco Meteor,87.2%,,,,,,,,
Noivern,155,move,2,Air Slash,56.5%,,,,,,,,
Noivern,155,move,3,Flamethrower,47.6%,,,,,,,,
Noivern,155,move,4,U-turn,35.3%,,,,,,,,
Noivern,155,move,5,Boomburst,26.2%,,,,,,,,
Noivern,155,move,6,Taunt,22.4%,,,,,,,,
Noivern,155,move,7,Switcheroo,21.5%,,,,,,,,
Noivern,155,move,8,Hurricane,14.5%,,,,,,,,
Noivern,155,move,9,Tailwind,11.1%,,,,,,,,
Noivern,155,move,10,Super Fang,10.6%,,,,,,,,
Noivern,155,held_item,1,Choice Scarf,33.4%,,,,,,,,
Noivern,155,held_item,2,Life Orb,20.5%,,,,,,,,
Noivern,155,held_item,3,Focus Sash,17.6%,,,,,,,,
Noivern,155,held_item,4,White Herb,8.9%,,,,,,,,
Noivern,155,held_item,5,Wise Glasses,2.1%,,,,,,,,
Noivern,155,held_item,6,Sitrus Berry,2.0%,,,,,,,,
Noivern,155,held_item,7,King's Rock,1.8%,,,,,,,,
Noivern,155,held_item,8,Wide Lens,1.5%,,,,,,,,
Noivern,155,held_item,9,Expert Belt,1.5%,,,,,,,,
Noivern,155,held_item,10,Quick Claw,1.4%,,,,,,,,
Noivern,155,teammate,1,Greninja,,,,,,,,,
Noivern,155,teammate,2,Garchomp,,,,,,,,,
Noivern,155,teammate,3,Meowscarada,,,,,,,,,
Noivern,155,teammate,4,Mimikyu,,,,,,,,,
Noivern,155,teammate,5,Charizard,,,,,,,,,
Noivern,155,teammate,6,Metagross,,,,,,,,,
Noivern,155,teammate,7,Scizor,,,,,,,,,
Noivern,155,teammate,8,Raichu,,,,,,,,,
Noivern,155,teammate,9,Gyarados,,,,,,,,,
Noivern,155,teammate,10,Hippowdon,,,,,,,,,
Noivern,155,stat_alignment,1,Timid,60.7%,Speed,Attack,,,,,,
Noivern,155,stat_alignment,2,Modest,30.8%,Sp. Atk,Attack,,,,,,
Noivern,155,stat_alignment,3,Mild,2.1%,Sp. Atk,Defense,,,,,,
Noivern,155,stat_alignment,4,Hasty,1.9%,Speed,Defense,,,,,,
Noivern,155,stat_alignment,5,Naive,1.2%,Speed,Sp. Def,,,,,,
Noivern,155,stat_alignment,6,Jolly,0.6%,Speed,Sp. Atk,,,,,,
Noivern,155,stat_alignment,7,Calm,0.5%,Sp. Def,Attack,,,,,,
Noivern,155,stat_alignment,8,Bold,0.4%,Defense,Attack,,,,,,
Noivern,155,stat_alignment,9,Quiet,0.4%,Sp. Atk,Speed,,,,,,
Noivern,155,stat_alignment,10,Rash,0.3%,Sp. Atk,Sp. Def,,,,,,
Noivern,155,stat_points,1,,47.3%,,,2,0,0,32,0,32
Noivern,155,stat_points,2,,10.8%,,,1,0,1,32,0,32
Noivern,155,stat_points,3,,8.6%,,,0,0,2,32,0,32
Noivern,155,stat_points,4,,6.7%,,,1,0,0,32,1,32
Noivern,155,stat_points,5,,6.2%,,,0,0,0,32,2,32
Noivern,155,stat_points,6,,2.9%,,,0,0,0,32,0,32
Noivern,155,stat_points,7,,2.4%,,,0,0,1,32,1,32
Noivern,155,stat_points,8,,1.3%,,,32,0,0,32,0,2
Noivern,155,stat_points,9,,0.8%,,,7,0,0,32,0,27
Noivern,155,stat_points,10,,0.6%,,,1,0,0,32,0,32
Noivern,155,ability,1,Infiltrator,55.8%,,,,,,,,
Noivern,155,ability,2,Frisk,42.0%,,,,,,,,
Noivern,155,ability,3,Telepathy,2.2%,,,,,,,,
