pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Simipour,224,move,1,Ice Beam,60.3%,,,,,,,,
Simipour,224,move,2,Focus Blast,37.8%,,,,,,,,
Simipour,224,move,3,Scald,37.4%,,,,,,,,
Simipour,224,move,4,Hydro Pump,33.9%,,,,,,,,
Simipour,224,move,5,Fake Out,28.2%,,,,,,,,
Simipour,224,move,6,Surf,21.2%,,,,,,,,
Simipour,224,move,7,Flip Turn,19.3%,,,,,,,,
Simipour,224,move,8,Grass Knot,18.9%,,,,,,,,
Simipour,224,move,9,Icy Wind,10.7%,,,,,,,,
Simipour,224,move,10,Taunt,10.5%,,,,,,,,
Simipour,224,held_item,1,Focus Sash,26.3%,,,,,,,,
Simipour,224,held_item,2,Choice Scarf,19.9%,,,,,,,,
Simipour,224,held_item,3,Sitrus Berry,15.3%,,,,,,,,
Simipour,224,held_item,4,Life Orb,8.6%,,,,,,,,
Simipour,224,held_item,5,Mystic Water,7.8%,,,,,,,,
Simipour,224,held_item,6,Expert Belt,3.3%,,,,,,,,
Simipour,224,held_item,7,Light Ball,2.2%,,,,,,,,
Simipour,224,held_item,8,Quick Claw,2.0%,,,,,,,,
Simipour,224,held_item,9,Never-Melt Ice,1.8%,,,,,,,,
Simipour,224,held_item,10,Lum Berry,1.7%,,,,,,,,
Simipour,224,teammate,1,Simisear,,,,,,,,,
Simipour,224,teammate,2,Simisage,,,,,,,,,
Simipour,224,teammate,3,Garchomp,,,,,,,,,
Simipour,224,teammate,4,Basculegion,,,,,,,,,
Simipour,224,teammate,5,Blaziken,,,,,,,,,
Simipour,224,teammate,6,Mimikyu,,,,,,,,,
Simipour,224,teammate,7,Archaludon,,,,,,,,,
Simipour,224,teammate,8,Raichu,,,,,,,,,
Simipour,224,teammate,9,Hippowdon,,,,,,,,,
Simipour,224,teammate,10,Meowscarada,,,,,,,,,
Simipour,224,stat_alignment,1,Timid,37.1%,Speed,Attack,,,,,,
Simipour,224,stat_alignment,2,Modest,25.4%,Sp. Atk,Attack,,,,,,
Simipour,224,stat_alignment,3,Jolly,9.4%,Speed,Sp. Atk,,,,,,
Simipour,224,stat_alignment,4,Bold,6.9%,Defense,Attack,,,,,,
Simipour,224,stat_alignment,5,Naive,5.4%,Speed,Sp. Def,,,,,,
Simipour,224,stat_alignment,6,Adamant,4.8%,Attack,Sp. Atk,,,,,,
Simipour,224,stat_alignment,7,Hasty,3.8%,Speed,Defense,,,,,,
Simipour,224,stat_alignment,8,Mild,1.9%,Sp. Atk,Defense,,,,,,
Simipour,224,stat_alignment,9,Rash,1.1%,Sp. Atk,Sp. Def,,,,,,
Simipour,224,stat_alignment,10,Calm,1.1%,Sp. Def,Attack,,,,,,
Simipour,224,stat_points,1,,30.3%,,,2,0,0,32,0,32
Simipour,224,stat_points,2,,9.1%,,,1,0,1,32,0,32
Simipour,224,stat_points,3,,5.7%,,,0,0,0,32,2,32
Simipour,224,stat_points,4,,5.5%,,,0,0,2,32,0,32
Simipour,224,stat_points,5,,5.0%,,,32,0,32,0,0,2
Simipour,224,stat_points,6,,3.6%,,,0,0,1,32,1,32
Simipour,224,stat_points,7,,3.1%,,,2,32,0,0,0,32
Simipour,224,stat_points,8,,2.7%,,,0,0,0,32,0,32
Simipour,224,stat_points,9,,2.5%,,,1,32,0,0,1,32
Simipour,224,stat_points,10,,2.5%,,,1,0,0,32,1,32
Simipour,224,ability,1,Torrent,87.4%,,,,,,,,
Simipour,224,ability,2,Gluttony,12.6%,,,,,,,,
