pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points,source_time_seconds
Gliscor,27,move,1,Protect,51.2%,,,,,,,,,2925.47
Gliscor,27,move,2,Dual Wingbeat,47.6%,,,,,,,,,2925.47
Gliscor,27,move,3,High Horsepower,47.3%,,,,,,,,,2925.47
Gliscor,27,move,4,Tailwind,45.6%,,,,,,,,,2925.47
Gliscor,27,move,5,Earthquake,45.0%,,,,,,,,,2925.47
Gliscor,27,move,6,Rock Slide,33.8%,,,,,,,,,2929.86
Gliscor,27,move,7,Acrobatics,15.8%,,,,,,,,,2929.86
Gliscor,27,move,8,Ice Fang,11.8%,,,,,,,,,2929.86
Gliscor,27,move,9,Toxic,10.3%,,,,,,,,,2929.86
Gliscor,27,move,10,Knock Off,9.4%,,,,,,,,,2929.86
Gliscor,27,held_item,1,Sitrus Berry,21.3%,,,,,,,,,2933.75
Gliscor,27,held_item,2,Leftovers,12.9%,,,,,,,,,2933.75
Gliscor,27,held_item,3,Life Orb,11.1%,,,,,,,,,2933.75
Gliscor,27,held_item,4,Focus Sash,8.1%,,,,,,,,,2933.75
Gliscor,27,held_item,5,Bright Powder,7.5%,,,,,,,,,2933.75
Gliscor,27,held_item,6,Yache Berry,6.0%,,,,,,,,,2941.22
Gliscor,27,held_item,7,Expert Belt,5.8%,,,,,,,,,2941.22
Gliscor,27,held_item,8,Choice Scarf,5.6%,,,,,,,,,2941.22
Gliscor,27,held_item,9,Wide Lens,4.1%,,,,,,,,,2941.22
Gliscor,27,held_item,10,Quick Claw,2.6%,,,,,,,,,2941.22
Gliscor,27,teammate,1,Tyranitar,,,,,,,,,,2947.81
Gliscor,27,teammate,2,Sinistcha,,,,,,,,,,2947.81
Gliscor,27,teammate,3,Basculegion Male,,,,,,,,,,2947.81
Gliscor,27,teammate,4,Raichu,,,,,,,,,,2947.81
Gliscor,27,teammate,5,Alolan Ninetales,,,,,,,,,,2947.81
Gliscor,27,teammate,6,Tsareena,,,,,,,,,,2950.81
Gliscor,27,teammate,7,Staraptor,,,,,,,,,,2950.81
Gliscor,27,teammate,8,Charizard,,,,,,,,,,2950.81
Gliscor,27,teammate,9,Whimsicott,,,,,,,,,,2950.81
Gliscor,27,teammate,10,Kingambit,,,,,,,,,,2950.81
Gliscor,27,stat_alignment,1,Adamant,33.2%,Attack,Sp. Atk,,,,,,,2952.89
Gliscor,27,stat_alignment,2,Jolly,22.3%,Speed,Sp. Atk,,,,,,,2952.89
Gliscor,27,stat_alignment,3,Careful,12.6%,Sp. Def,Sp. Atk,,,,,,,2952.89
Gliscor,27,stat_alignment,4,Impish,6.9%,Defense,Sp. Atk,,,,,,,2952.89
Gliscor,27,stat_alignment,5,Brave,1.7%,Attack,Speed,,,,,,,2952.89
Gliscor,27,stat_alignment,6,Naughty,1.6%,Attack,Sp. Def,,,,,,,2955.99
Gliscor,27,stat_alignment,7,Relaxed,0.4%,Defense,Speed,,,,,,,2955.99
Gliscor,27,stat_alignment,8,Sassy,0.4%,Sp. Def,Speed,,,,,,,2955.99
Gliscor,27,stat_alignment,9,Hasty,0.4%,Speed,Defense,,,,,,,2955.99
Gliscor,27,stat_alignment,10,Lonely,0.1%,Attack,Defense,,,,,,,2955.99
Gliscor,27,stat_points,1,,18.7%,,,2,32,0,0,0,32,2958.22
Gliscor,27,stat_points,2,,5.3%,,,32,32,0,0,2,0,2958.22
Gliscor,27,stat_points,3,,5.1%,,,0,32,2,0,0,32,2958.22
Gliscor,27,stat_points,4,,4.1%,,,0,32,0,0,2,32,2958.22
Gliscor,27,stat_points,5,,3.7%,,,32,9,0,0,25,0,2958.22
Gliscor,27,stat_points,6,,2.0%,,,0,32,2,0,32,0,2981.37
Gliscor,27,stat_points,7,,1.9%,,,0,32,32,0,0,2,2981.37
Gliscor,27,stat_points,8,,1.8%,,,2,32,15,0,17,0,2981.37
Gliscor,27,ability,1,Hyper Cutter,75.3%,,,,,,,,,2995.95
Gliscor,27,ability,2,Sand Veil,15.2%,,,,,,,,,2995.95
Gliscor,27,ability,3,Poison Heal,9.5%,,,,,,,,,2995.95
