pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points,source_time_seconds
Camerupt,184,move,1,Earth Power,95.6%,,,,,,,,,30324.03
Camerupt,184,move,2,Ancient Power,61.8%,,,,,,,,,30324.03
Camerupt,184,move,3,Eruption,54.9%,,,,,,,,,30324.03
Camerupt,184,move,4,Flamethrower,50.1%,,,,,,,,,30324.03
Camerupt,184,move,5,Flash Cannon,44.2%,,,,,,,,,30324.03
Camerupt,184,move,6,Fire Blast,23.3%,,,,,,,,,30328.46
Camerupt,184,move,7,Rock Slide,6.5%,,,,,,,,,30328.46
Camerupt,184,move,8,Overheat,6.1%,,,,,,,,,30328.46
Camerupt,184,move,9,Yawn,5.9%,,,,,,,,,30328.46
Camerupt,184,move,10,Heat Wave,3.1%,,,,,,,,,30328.46
Camerupt,184,held_item,1,Cameruptite,86.4%,,,,,,,,,30331.38
Camerupt,184,held_item,2,Passho Berry,3.3%,,,,,,,,,30331.38
Camerupt,184,held_item,3,Quick Claw,3.0%,,,,,,,,,30331.38
Camerupt,184,held_item,4,Sitrus Berry,1.1%,,,,,,,,,30331.38
Camerupt,184,held_item,5,Wise Glasses,0.9%,,,,,,,,,30331.38
Camerupt,184,held_item,6,Life Orb,0.9%,,,,,,,,,30338.76
Camerupt,184,held_item,7,Focus Sash,0.9%,,,,,,,,,30338.76
Camerupt,184,held_item,8,Leftovers,0.8%,,,,,,,,,30338.76
Camerupt,184,held_item,9,Expert Belt,0.4%,,,,,,,,,30338.76
Camerupt,184,held_item,10,Shuca Berry,0.3%,,,,,,,,,30338.76
Camerupt,184,teammate,1,Hatterene,,,,,,,,,,30345.19
Camerupt,184,teammate,2,Mimikyu,,,,,,,,,,30345.19
Camerupt,184,teammate,3,Mawile,,,,,,,,,,30345.19
Camerupt,184,teammate,4,Meowscarada,,,,,,,,,,30345.19
Camerupt,184,teammate,5,Archaludon,,,,,,,,,,30345.19
Camerupt,184,teammate,6,Slowbro,,,,,,,,,,30348.14
Camerupt,184,teammate,7,Sceptile,,,,,,,,,,30348.14
Camerupt,184,teammate,8,Basculegion Male,,,,,,,,,,30348.14
Camerupt,184,teammate,9,Swampert,,,,,,,,,,30348.14
Camerupt,184,teammate,10,Kingambit,,,,,,,,,,30348.14
Camerupt,184,stat_alignment,1,Quiet,75.7%,Sp. Atk,Speed,,,,,,,30350.27
Camerupt,184,stat_alignment,2,Modest,16.3%,Sp. Atk,Attack,,,,,,,30350.27
Camerupt,184,stat_alignment,3,Relaxed,2.9%,Defense,Speed,,,,,,,30350.27
Camerupt,184,stat_alignment,4,Mild,1.6%,Sp. Atk,Defense,,,,,,,30350.27
Camerupt,184,stat_alignment,5,Brave,0.7%,Attack,Speed,,,,,,,30350.27
Camerupt,184,stat_alignment,6,Sassy,0.6%,Sp. Def,Speed,,,,,,,30354.37
Camerupt,184,stat_alignment,7,Calm,0.6%,Sp. Def,Attack,,,,,,,30354.37
Camerupt,184,stat_alignment,8,Bold,0.6%,Defense,Attack,,,,,,,30354.37
Camerupt,184,stat_alignment,9,Timid,0.4%,Speed,Attack,,,,,,,30354.37
Camerupt,184,stat_alignment,10,Adamant,0.2%,Attack,Sp. Atk,,,,,,,30354.37
Camerupt,184,stat_points,1,,49.3%,,,32,0,2,32,0,0,30356.59
Camerupt,184,stat_points,2,,18.9%,,,32,0,0,32,2,0,30356.59
Camerupt,184,stat_points,3,,5.4%,,,2,0,32,32,0,0,30356.59
Camerupt,184,stat_points,4,,2.7%,,,32,0,1,32,1,0,30356.59
Camerupt,184,stat_points,5,,2.7%,,,30,0,4,32,0,0,30356.59
Camerupt,184,stat_points,6,,1.2%,,,32,0,32,2,0,0,30378.55
Camerupt,184,stat_points,7,,1.2%,,,32,0,0,7,27,0,30378.55
Camerupt,184,stat_points,8,,0.9%,,,32,2,0,32,0,0,30378.55
Camerupt,184,ability,1,Solid Rock,89.0%,,,,,,,,,30392.49
Camerupt,184,ability,2,Anger Point,6.4%,,,,,,,,,30392.49
Camerupt,184,ability,3,Magma Armor,4.6%,,,,,,,,,30392.49
