pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points,source_time_seconds
Drampa,171,move,1,Hyper Voice,56.9%,,,,,,,,,29185.07
Drampa,171,move,2,Flamethrower,56.8%,,,,,,,,,29185.07
Drampa,171,move,3,Draco Meteor,55.4%,,,,,,,,,29185.07
Drampa,171,move,4,Thunderbolt,53.3%,,,,,,,,,29185.07
Drampa,171,move,5,Earth Power,24.5%,,,,,,,,,29185.07
Drampa,171,move,6,Ice Beam,23.5%,,,,,,,,,29189.43
Drampa,171,move,7,Dragon Pulse,21.9%,,,,,,,,,29189.43
Drampa,171,move,8,Roost,17.7%,,,,,,,,,29189.43
Drampa,171,move,9,Energy Ball,15.7%,,,,,,,,,29189.43
Drampa,171,move,10,Surf,13.0%,,,,,,,,,29189.43
Drampa,171,held_item,1,Drampanite,64.2%,,,,,,,,,29195.67
Drampa,171,held_item,2,Quick Claw,8.1%,,,,,,,,,29195.67
Drampa,171,held_item,3,Life Orb,6.5%,,,,,,,,,29195.67
Drampa,171,held_item,4,Sitrus Berry,6.2%,,,,,,,,,29195.67
Drampa,171,held_item,5,Focus Sash,3.6%,,,,,,,,,29195.67
Drampa,171,held_item,6,Expert Belt,2.5%,,,,,,,,,29202.94
Drampa,171,held_item,7,White Herb,2.1%,,,,,,,,,29202.94
Drampa,171,held_item,8,Leftovers,1.0%,,,,,,,,,29202.94
Drampa,171,held_item,9,Wise Glasses,0.8%,,,,,,,,,29202.94
Drampa,171,held_item,10,Bright Powder,0.7%,,,,,,,,,29202.94
Drampa,171,teammate,1,Hatterene,,,,,,,,,,29209.39
Drampa,171,teammate,2,Mimikyu,,,,,,,,,,29209.39
Drampa,171,teammate,3,Mawile,,,,,,,,,,29209.39
Drampa,171,teammate,4,Garchomp,,,,,,,,,,29209.39
Drampa,171,teammate,5,Azumarill,,,,,,,,,,29209.39
Drampa,171,teammate,6,Charizard,,,,,,,,,,29212.29
Drampa,171,teammate,7,Primarina,,,,,,,,,,29212.29
Drampa,171,teammate,8,Gengar,,,,,,,,,,29212.29
Drampa,171,teammate,9,Whimsicott,,,,,,,,,,29212.29
Drampa,171,teammate,10,Meowscarada,,,,,,,,,,29212.29
Drampa,171,stat_alignment,1,Modest,46.3%,Sp. Atk,Attack,,,,,,,29214.36
Drampa,171,stat_alignment,2,Quiet,43.4%,Sp. Atk,Speed,,,,,,,29214.36
Drampa,171,stat_alignment,3,Calm,4.8%,Sp. Def,Attack,,,,,,,29214.36
Drampa,171,stat_alignment,4,Bold,3.4%,Defense,Attack,,,,,,,29214.36
Drampa,171,stat_alignment,5,Relaxed,1.0%,Defense,Speed,,,,,,,29214.36
Drampa,171,stat_alignment,6,Timid,0.4%,Speed,Attack,,,,,,,29217.41
Drampa,171,stat_alignment,7,Sassy,0.4%,Sp. Def,Speed,,,,,,,29217.41
Drampa,171,stat_alignment,8,Mild,0.2%,Sp. Atk,Defense,,,,,,,29217.41
Drampa,171,stat_alignment,9,Gentle,0.0%,Sp. Def,Defense,,,,,,,29217.41
Drampa,171,stat_alignment,10,Rash,0.0%,Sp. Atk,Sp. Def,,,,,,,29217.41
Drampa,171,stat_points,1,,36.7%,,,32,0,2,32,0,0,29219.60
Drampa,171,stat_points,2,,16.1%,,,32,0,0,32,0,2,29219.60
Drampa,171,stat_points,3,,9.4%,,,32,0,0,32,2,0,29219.60
Drampa,171,stat_points,4,,5.2%,,,31,0,3,32,0,0,29219.60
Drampa,171,stat_points,5,,2.4%,,,0,0,20,32,14,0,29219.60
Drampa,171,stat_points,6,,1.4%,,,32,0,0,32,0,0,29241.52
Drampa,171,stat_points,7,,1.3%,,,2,0,32,32,0,0,29241.52
Drampa,171,stat_points,8,,1.3%,,,0,0,32,32,2,0,29241.52
Drampa,171,ability,1,Berserk,65.9%,,,,,,,,,29255.29
Drampa,171,ability,2,Cloud Nine,19.7%,,,,,,,,,29255.29
Drampa,171,ability,3,Sap Sipper,14.4%,,,,,,,,,29255.29
