pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points,source_time_seconds
Greninja,15,move,1,Ice Beam,88.1%,,,,,,,,,14420.45
Greninja,15,move,2,Dark Pulse,86.4%,,,,,,,,,14420.45
Greninja,15,move,3,Sludge Wave,69.3%,,,,,,,,,14420.45
Greninja,15,move,4,Water Shuriken,63.4%,,,,,,,,,14420.45
Greninja,15,move,5,Surf,41.9%,,,,,,,,,14420.45
Greninja,15,move,6,Grass Knot,10.4%,,,,,,,,,14427.78
Greninja,15,move,7,Hydro Pump,7.2%,,,,,,,,,14427.78
Greninja,15,move,8,Toxic Spikes,4.0%,,,,,,,,,14427.78
Greninja,15,move,9,Mud Shot,4.0%,,,,,,,,,14427.78
Greninja,15,move,10,Flip Turn,3.3%,,,,,,,,,14427.78
Greninja,15,held_item,1,Greninjite,51.0%,,,,,,,,,14431.95
Greninja,15,held_item,2,Focus Sash,38.0%,,,,,,,,,14431.95
Greninja,15,held_item,3,Choice Scarf,4.5%,,,,,,,,,14431.95
Greninja,15,held_item,4,Life Orb,4.2%,,,,,,,,,14431.95
Greninja,15,held_item,5,Expert Belt,0.7%,,,,,,,,,14431.95
Greninja,15,held_item,6,King's Rock,0.2%,,,,,,,,,14439.08
Greninja,15,held_item,7,Mystic Water,0.2%,,,,,,,,,14439.08
Greninja,15,held_item,8,Light Ball,0.2%,,,,,,,,,14439.08
Greninja,15,held_item,9,Sitrus Berry,0.2%,,,,,,,,,14439.08
Greninja,15,held_item,10,Wise Glasses,0.1%,,,,,,,,,14439.08
Greninja,15,teammate,1,Mimikyu,,,,,,,,,,14445.42
Greninja,15,teammate,2,Garchomp,,,,,,,,,,14445.42
Greninja,15,teammate,3,Hippowdon,,,,,,,,,,14445.42
Greninja,15,teammate,4,Archaludon,,,,,,,,,,14445.42
Greninja,15,teammate,5,Meowscarada,,,,,,,,,,14445.42
Greninja,15,teammate,6,Metagross,,,,,,,,,,14448.28
Greninja,15,teammate,7,Blaziken,,,,,,,,,,14448.28
Greninja,15,teammate,8,Charizard,,,,,,,,,,14448.28
Greninja,15,teammate,9,Dragonite,,,,,,,,,,14448.28
Greninja,15,teammate,10,Primarina,,,,,,,,,,14448.28
Greninja,15,stat_alignment,1,Timid,53.8%,Speed,Attack,,,,,,,14450.28
Greninja,15,stat_alignment,2,Modest,39.7%,Sp. Atk,Attack,,,,,,,14450.28
Greninja,15,stat_alignment,3,Naive,3.0%,Speed,Sp. Def,,,,,,,14450.28
Greninja,15,stat_alignment,4,Hasty,1.2%,Speed,Defense,,,,,,,14450.28
Greninja,15,stat_alignment,5,Rash,0.7%,Sp. Atk,Sp. Def,,,,,,,14450.28
Greninja,15,stat_alignment,6,Mild,0.7%,Sp. Atk,Defense,,,,,,,14453.24
Greninja,15,stat_alignment,7,Jolly,0.4%,Speed,Sp. Atk,,,,,,,14453.24
Greninja,15,stat_alignment,8,Naughty,0.2%,Attack,Sp. Def,,,,,,,14453.24
Greninja,15,stat_alignment,9,Adamant,0.2%,Attack,Sp. Atk,,,,,,,14453.24
Greninja,15,stat_alignment,10,Quiet,0.1%,Sp. Atk,Speed,,,,,,,14453.24
Greninja,15,stat_points,1,,62.5%,,,2,0,0,32,0,32,14455.39
Greninja,15,stat_points,2,,7.5%,,,0,0,2,32,0,32,14455.39
Greninja,15,stat_points,3,,3.3%,,,0,0,0,32,2,32,14455.39
Greninja,15,stat_points,4,,2.5%,,,6,0,1,32,0,27,14455.39
Greninja,15,stat_points,5,,2.4%,,,8,0,0,32,0,26,14455.39
Greninja,15,stat_points,6,,1.7%,,,6,0,0,32,0,28,14477.11
Greninja,15,stat_points,7,,1.5%,,,0,0,0,32,0,32,14477.11
Greninja,15,stat_points,8,,1.3%,,,0,2,0,32,0,32,14477.11
Greninja,15,ability,1,Protean,75.2%,,,,,,,,,14490.67
Greninja,15,ability,2,Torrent,24.8%,,,,,,,,,14490.67
